id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-0.9307402968406676,-0.5600880980491638,patient,patient,-0.3706521987915038,patient
1,sells,book,easily,This book sells easily.,-0.2474684864282608,-1.657398700714111,patient,agent,1.4099302142858503,agent
2,sells,novel,easily,This novel sells easily.,-0.3124397695064544,-1.438731074333191,patient,agent,1.1262913048267365,agent
3,sells,magazine,easily,This magazine sells easily.,-0.7081046104431152,-0.7685666084289551,patient,agent,0.060461997985839844,patient
4,sells,hat,easily,This hat sells easily.,-0.711723268032074,-0.7251567244529724,patient,agent,0.013433456420898438,patient
5,sells,lotion,easily,This lotion sells easily.,-0.4697221219539642,-1.057439208030701,patient,agent,0.5877170860767367,agent
6,sells,album,easily,This album sells easily.,-0.7032166123390198,-0.733518660068512,patient,agent,0.030302047729492188,patient
7,sells,car,easily,This car sells easily.,-0.3782970011234283,-1.3026067018508911,patient,agent,0.9243097007274628,agent
8,sells,suv,easily,This SUV sells easily.,-0.6962178349494934,-0.755787193775177,patient,agent,0.059569358825683594,patient
9,sells,product,easily,This product sells easily.,-0.4085634052753448,-1.2082116603851318,patient,agent,0.799648255109787,agent
10,sells,make,easily,This make sells easily.,-0.5728306770324707,-0.960625171661377,patient,agent,0.38779449462890625,agent
11,sells,item,easily,This item sells easily.,-0.4431695938110351,-1.1616411209106443,patient,agent,0.7184715270996092,agent
12,sells,cd,easily,This CD sells easily.,-0.6207325458526611,-0.8661644458770752,patient,agent,0.24543190002441406,agent
13,sells,drug,easily,This drug sells easily.,-0.3882603645324707,-1.3113417625427246,patient,agent,0.9230813980102539,agent
14,sells,snack,easily,This snack sells easily.,-0.5797334909439087,-0.950976014137268,patient,agent,0.37124252319335926,agent
15,sells,salesman,easily,This salesman sells easily.,-0.1744341850280761,-1.987861156463623,agent,agent,1.8134269714355469,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.2030895501375198,-1.8663157224655151,agent,agent,1.6632261723279953,agent
17,sells,businessman,easily,This businessman sells easily.,-0.22504423558712,-1.805158615112305,agent,agent,1.5801143795251849,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.2826646268367767,-1.587668776512146,agent,agent,1.3050041496753693,agent
19,sells,trader,easily,This trader sells easily.,-0.2140914350748062,-1.924732327461243,agent,agent,1.7106408923864367,agent
20,sells,peddler,easily,This peddler sells easily.,-0.3701315522193908,-1.2966375350952148,agent,agent,0.926505982875824,agent
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.2155301719903946,-1.82370924949646,agent,agent,1.6081790775060654,agent
