verb,overall_acc,avg_LL_delta
bakes,1.0,-5.869507605130952
carves,1.0,-5.369285027404167
cleans,1.0,-4.497582065592593
cooks,1.0,-5.764130637677777
cuts,1.0,-4.97222247985
drives,1.0,-4.759145707847222
embroiders,1.0,-4.759809830821429
flies,1.0,-4.353428932166667
knits,1.0,-5.511813779014285
packs,1.0,-4.8574783077624994
paints,1.0,-4.837027389625001
performs,1.0,-4.408114561884616
photographs,1.0,-5.350195231555556
plays,1.0,-7.170237659653848
reads,1.0,-3.6541048532941183
sculpts,1.0,-4.951959589333333
sells,0.9861111111111112,-3.1760951988888886
sews,1.0,-4.5156538207
shaves,1.0,-5.297558653133332
stitches,1.0,-5.693227319843751
turns,1.0,-4.511462266318183
washes,1.0,-4.086989562653846
writes,1.0,-3.9520395700882354
