id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-3.4284182,-0.055157624,agent,patient,-3.373260576,agent
1,sells,book,easily,This book sells something easily.,-3.2026772,-0.08053279,agent,patient,-3.12214441,agent
2,sells,novel,easily,This novel sells something easily.,-2.9412806,-0.08898171,agent,patient,-2.8522988899999997,agent
3,sells,magazine,easily,This magazine sells something easily.,-2.862057,-0.09233349,agent,patient,-2.76972351,agent
4,sells,hat,easily,This hat sells something easily.,-3.0523765,-0.09569439,agent,patient,-2.95668211,agent
5,sells,lotion,easily,This lotion sells something easily.,-2.667841,-0.10917496,agent,patient,-2.5586660400000003,agent
6,sells,album,easily,This album sells something easily.,-3.5116422,-0.07097889,agent,patient,-3.4406633099999997,agent
7,sells,car,easily,This car sells something easily.,-2.4316876,-0.15881835,agent,patient,-2.2728692500000003,agent
8,sells,suv,easily,This SUV sells something easily.,-2.0055597,-0.22854805,agent,patient,-1.77701165,agent
9,sells,product,easily,This product sells something easily.,-2.401116,-0.18986939,agent,patient,-2.21124661,agent
10,sells,make,easily,This make sells something easily.,-3.087954,-0.09400051,agent,patient,-2.99395349,agent
11,sells,item,easily,This item sells something easily.,-3.2301497,-0.08646379,agent,patient,-3.1436859100000003,agent
12,sells,cd,easily,This CD sells something easily.,-3.3359582,-0.076375954,agent,patient,-3.259582246,agent
13,sells,drug,easily,This drug sells something easily.,-2.7712252,-0.1264957,agent,patient,-2.6447295,agent
14,sells,snack,easily,This snack sells something easily.,-2.812837,-0.09484424,agent,patient,-2.71799276,agent
15,sells,salesman,easily,This salesman sells something easily.,-1.3188618,-0.82571304,agent,patient,-0.4931487600000001,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-2.2956805,-0.19204088,agent,patient,-2.10363962,agent
17,sells,businessman,easily,This businessman sells something easily.,-1.6239445,-0.61104697,agent,patient,-1.01289753,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-3.4291565,-0.112174444,agent,patient,-3.316982056,agent
19,sells,trader,easily,This trader sells something easily.,-2.091446,-0.27248377,agent,patient,-1.81896223,agent
20,sells,peddler,easily,This peddler sells something easily.,-2.3025172,-0.36571163,agent,patient,-1.93680557,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-2.4793353,-0.14998029,agent,patient,-2.32935501,agent
22,sells,dealer,easily,This dealer sells something easily.,-2.190087,-0.25444853,agent,patient,-1.9356384700000002,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-2.7423804,-0.18084542,agent,patient,-2.5615349800000002,agent
24,sells,toy,well,This toy sells something well.,-3.8664937,-0.0387103,agent,patient,-3.8277834,agent
25,sells,book,well,This book sells something well.,-3.5864422,-0.058244977,agent,patient,-3.528197223,agent
26,sells,novel,well,This novel sells something well.,-3.4665067,-0.059375715,agent,patient,-3.4071309850000002,agent
27,sells,magazine,well,This magazine sells something well.,-3.5026507,-0.05227462,agent,patient,-3.45037608,agent
28,sells,hat,well,This hat sells something well.,-3.9025912,-0.047777064,agent,patient,-3.854814136,agent
29,sells,lotion,well,This lotion sells something well.,-3.2811005,-0.06564625,agent,patient,-3.21545425,agent
30,sells,album,well,This album sells something well.,-4.0000877,-0.0477258,agent,patient,-3.9523619,agent
31,sells,car,well,This car sells something well.,-3.0310564,-0.09266183,agent,patient,-2.9383945700000003,agent
32,sells,suv,well,This SUV sells something well.,-2.620974,-0.1294522,agent,patient,-2.4915218,agent
33,sells,product,well,This product sells something well.,-2.7383158,-0.13593517,agent,patient,-2.60238063,agent
34,sells,make,well,This make sells something well.,-3.6284664,-0.059716064,agent,patient,-3.5687503360000004,agent
35,sells,item,well,This item sells something well.,-3.8033605,-0.05654792,agent,patient,-3.7468125800000003,agent
36,sells,cd,well,This CD sells something well.,-3.9820683,-0.045472518,agent,patient,-3.936595782,agent
37,sells,drug,well,This drug sells something well.,-3.187073,-0.090679556,agent,patient,-3.096393444,agent
38,sells,snack,well,This snack sells something well.,-3.3989203,-0.057995267,agent,patient,-3.340925033,agent
39,sells,salesman,well,This salesman sells something well.,-1.8953907,-0.44200626,agent,patient,-1.4533844400000002,agent
40,sells,saleswoman,well,This saleswoman sells something well.,-3.1842546,-0.08879598,agent,patient,-3.09545862,agent
41,sells,businessman,well,This businessman sells something well.,-2.0920258,-0.40546048,agent,patient,-1.6865653200000001,agent
42,sells,businesswoman,well,This businesswoman sells something well.,-4.081682,-0.065789476,agent,patient,-4.015892524,agent
