verb,overall_acc,avg_LL_delta
bakes,0.9761904761904762,-1.3231680664285714
carves,0.75,-0.7958657314583335
cleans,1.0,-1.9536413704814821
cooks,1.0,-1.4909789311111115
cuts,0.775,-1.3073180703499996
drives,0.7222222222222222,-0.3066454472222222
embroiders,1.0,-1.6278628787142855
flies,0.5833333333333334,-0.15099670291666664
knits,1.0,-1.5753765251428573
packs,1.0,-1.64668550125
paints,0.875,-1.3759136693750003
performs,0.6153846153846154,-0.27299401230769227
photographs,0.8888888888888888,-1.6709051897777776
plays,0.7692307692307693,-0.4890449761538462
reads,1.0,-1.3893892355882356
sculpts,0.8,-0.8742622180000001
sells,0.9861111111111112,-1.2114130255555553
sews,1.0,-1.319281279
shaves,1.0,-1.106972152
stitches,0.875,-1.3341795509583338
turns,0.6818181818181818,-0.2832759304545454
washes,1.0,-1.999659791730769
writes,0.8235294117647058,-0.4311011744117647
