id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,Something sells this toy easily.,-2.822049,-0.06915737,patient,patient,-2.7528916299999997
1,sells,book,easily,Something sells this book easily.,-1.6168162,-0.24477258,patient,patient,-1.37204362
2,sells,novel,easily,Something sells this novel easily.,-0.9468999,-0.52381086,patient,patient,-0.42308904
3,sells,magazine,easily,Something sells this magazine easily.,-2.3591363,-0.11316948,patient,patient,-2.24596682
4,sells,hat,easily,Something sells this hat easily.,-2.5976577,-0.08801422,patient,patient,-2.5096434800000003
5,sells,lotion,easily,Something sells this lotion easily.,-2.9785354,-0.060811915,patient,patient,-2.9177234850000002
6,sells,album,easily,Something sells this album easily.,-1.349603,-0.32596433,patient,patient,-1.02363867
7,sells,car,easily,Something sells this car easily.,-1.7178304,-0.21510673,patient,patient,-1.50272367
8,sells,suv,easily,Something sells this SUV easily.,-2.0816891,-0.15245576,patient,patient,-1.9292333400000001
9,sells,product,easily,Something sells this product easily.,-0.7969371,-0.71730524,patient,patient,-0.07963186
10,sells,make,easily,Something sells this make easily.,-1.1780232,-0.3949498,patient,patient,-0.7830733999999999
11,sells,item,easily,Something sells this item easily.,-0.6249763,-0.8134891,patient,agent,0.18851279999999992
12,sells,cd,easily,Something sells this CD easily.,-1.6991534,-0.22583157,patient,patient,-1.47332183
13,sells,drug,easily,Something sells this drug easily.,-1.4514438,-0.2845766,patient,patient,-1.1668672
14,sells,snack,easily,Something sells this snack easily.,-2.9795177,-0.06650894,patient,patient,-2.9130087600000003
15,sells,salesman,easily,Something sells this salesman easily.,-2.745833,-0.078101695,patient,patient,-2.667731305
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-2.9762397,-0.070509516,patient,patient,-2.905730184
17,sells,businessman,easily,Something sells this businessman easily.,-2.8547535,-0.08373211,patient,patient,-2.77102139
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-3.3245924,-0.050797485,patient,patient,-3.273794915
19,sells,trader,easily,Something sells this trader easily.,-2.5825894,-0.09557771,patient,patient,-2.4870116899999997
20,sells,peddler,easily,Something sells this peddler easily.,-3.4087076,-0.041190658,patient,patient,-3.367516942
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-2.8324423,-0.07236602,patient,patient,-2.76007628
22,sells,dealer,easily,Something sells this dealer easily.,-2.3276832,-0.13093925,patient,patient,-2.19674395
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-4.120401,-0.026182804,patient,patient,-4.094218196
24,sells,toy,well,Something sells this toy well.,-2.2900016,-0.11807714,patient,patient,-2.17192446
25,sells,book,well,Something sells this book well.,-1.2510484,-0.36747763,patient,patient,-0.88357077
26,sells,novel,well,Something sells this novel well.,-0.57341313,-0.88727987,patient,agent,0.3138667399999999
27,sells,magazine,well,Something sells this magazine well.,-2.116266,-0.14538917,patient,patient,-1.97087683
28,sells,hat,well,Something sells this hat well.,-2.234772,-0.12918873,patient,patient,-2.10558327
29,sells,lotion,well,Something sells this lotion well.,-2.4581976,-0.10141761,patient,patient,-2.35677999
30,sells,album,well,Something sells this album well.,-0.9839445,-0.5089565,patient,patient,-0.47498799999999997
31,sells,car,well,Something sells this car well.,-1.5319364,-0.2566951,patient,patient,-1.2752413
32,sells,suv,well,Something sells this SUV well.,-1.7731013,-0.21418048,patient,patient,-1.55892082
33,sells,product,well,Something sells this product well.,-0.6998462,-0.78465563,patient,agent,0.08480943000000007
