verb,overall_acc,avg_LL_delta
bakes,1.0,-2.631601790764502
carves,1.0,-2.4270644349356494
cleans,1.0,-2.114313476063587
cooks,1.0,-2.5638688152035076
cuts,1.0,-2.393020823225379
drives,1.0,-2.318325466993782
embroiders,1.0,-2.243914747344596
flies,1.0,-1.9751437387118738
knits,1.0,-1.8798850919519152
packs,1.0,-2.3737444074824454
paints,1.0,-2.2219541190812984
performs,1.0,-1.3434533316355486
photographs,1.0,-2.069096452660031
plays,1.0,-2.6079755921203356
reads,1.0,-1.8439547007574755
sculpts,1.0,-2.3999931424856187
sells,1.0,-1.6640783916744921
sews,1.0,-1.96156996935606
shaves,1.0,-2.121214277545611
stitches,1.0,-1.8989088935777545
turns,1.0,-2.1016987121917983
washes,1.0,-1.9900043400434346
writes,1.0,-1.3115573157282436
