verb,overall_acc,avg_LL_delta
bakes,0.42857142857142855,-0.26929317059971036
carves,0.20833333333333334,-0.24627272288004556
cleans,0.9259259259259259,0.5078047138673288
cooks,0.7333333333333333,0.2362354748778873
cuts,0.05,-0.8103697273880244
drives,0.3888888888888889,-0.21960083064105776
embroiders,0.0,-1.0934668694223677
flies,0.2916666666666667,-0.33688990275065106
knits,0.08571428571428572,-0.7394473774092538
packs,0.1,-0.6503763206303119
paints,0.22916666666666666,-0.4145377439757188
performs,0.6923076923076923,0.25902740542705244
photographs,0.0,-0.8743300437927246
plays,0.0,-1.1932263786976154
reads,0.2647058823529412,-0.34048451132634105
sculpts,0.13333333333333333,-0.500446230173111
sells,0.9305555555555556,0.7886278937674231
sews,0.2,-0.5626196920871734
shaves,0.2,-0.2545942962169647
stitches,0.16666666666666666,-0.7429660350705186
turns,0.2727272727272727,-0.6135727580298077
washes,1.0,0.5354614979945697
writes,0.7058823529411765,0.3094642512938556
