verb,overall_acc,avg_LL_delta
bakes,1.0,0.5933770594142732
carves,1.0,0.3779219767699639
cleans,0.9814814814814815,0.8007669752394712
cooks,1.0,0.7750264399581486
cuts,0.675,0.21949358880519867
drives,0.5,-0.0023808976014455282
embroiders,0.9285714285714286,0.6236532224076135
flies,0.9166666666666666,0.7155602847536405
knits,0.4857142857142857,-0.061520922183990454
packs,0.85,0.5242006741464138
paints,0.8333333333333334,0.3999582175165415
performs,1.0,0.8839152180231534
photographs,0.5555555555555556,0.27158483035034603
plays,0.7307692307692307,0.2148587291057293
reads,0.6176470588235294,0.1617621262283886
sculpts,0.9,0.3556439816951752
sells,0.9861111111111112,0.837937682453129
sews,1.0,0.6533137261867523
shaves,0.6,0.1453943928082784
stitches,0.6666666666666666,0.26066958780090016
turns,0.29545454545454547,-0.3081346594474532
washes,0.9615384615384616,0.8621950206848291
writes,0.6176470588235294,0.15503797811620376
