id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-1.2541024684906006,-0.555772602558136,patient,patient,-0.6983298659324646,patient
1,sells,book,easily,Something sells this book easily.,-0.6636413335800171,-0.9774307012557985,patient,agent,0.31378936767578136,patient
2,sells,novel,easily,Something sells this novel easily.,-0.4525680541992187,-1.2934036254882812,patient,agent,0.8408355712890625,patient
3,sells,magazine,easily,Something sells this magazine easily.,-0.8892732858657837,-0.6930986642837524,patient,patient,-0.19617462158203125,patient
4,sells,hat,easily,Something sells this hat easily.,-1.020720362663269,-0.6247090101242065,patient,patient,-0.3960113525390625,patient
5,sells,lotion,easily,Something sells this lotion easily.,-0.8296704292297363,-0.7240719795227051,patient,patient,-0.10559844970703125,patient
6,sells,album,easily,Something sells this album easily.,-1.0883861780166626,-0.596316933631897,patient,patient,-0.4920692443847656,patient
7,sells,car,easily,Something sells this car easily.,-1.108055591583252,-0.6890302300453186,patient,patient,-0.41902536153793335,patient
8,sells,suv,easily,Something sells this SUV easily.,-1.7424540519714355,-0.3512415587902069,patient,patient,-1.3912124931812286,patient
9,sells,product,easily,Something sells this product easily.,-0.700698733329773,-0.8977431058883667,patient,agent,0.19704437255859375,patient
10,sells,make,easily,Something sells this make easily.,-0.9112591743469238,-0.6976780891418457,patient,patient,-0.21358108520507812,patient
11,sells,item,easily,Something sells this item easily.,-0.7809680104255676,-0.8669512867927551,patient,agent,0.0859832763671875,patient
12,sells,cd,easily,Something sells this CD easily.,-1.6562986373901367,-0.4119061827659607,patient,patient,-1.244392454624176,patient
13,sells,drug,easily,Something sells this drug easily.,-1.030866622924805,-0.6462078094482422,patient,patient,-0.3846588134765627,patient
14,sells,snack,easily,Something sells this snack easily.,-0.9808716177940368,-0.6738075613975525,patient,patient,-0.30706405639648426,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.8487195372581482,-0.7211942076683044,patient,patient,-0.12752532958984375,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.6232879757881165,-0.9650772213935852,patient,agent,0.34178924560546875,patient
17,sells,businessman,easily,Something sells this businessman easily.,-0.9476236701011658,-0.6874803900718689,patient,patient,-0.2601432800292969,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-1.1411244869232178,-0.6250684857368469,patient,patient,-0.5160560011863708,patient
19,sells,trader,easily,Something sells this trader easily.,-0.8735640048980713,-0.7193357944488525,patient,patient,-0.15422821044921875,patient
20,sells,peddler,easily,Something sells this peddler easily.,-0.9782289862632751,-0.7102465033531189,patient,patient,-0.26798248291015625,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-0.9456148743629456,-0.7282305359840393,patient,patient,-0.21738433837890625,patient
22,sells,dealer,easily,Something sells this dealer easily.,-0.9736087322235109,-0.6500728130340576,patient,patient,-0.32353591918945324,patient
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-0.7574769854545593,-0.8782731890678406,patient,agent,0.12079620361328125,patient
24,sells,toy,well,Something sells this toy well.,-1.4290480613708496,-0.49258953332901,patient,patient,-0.9364585280418396,patient
25,sells,book,well,Something sells this book well.,-0.722840428352356,-0.8996974229812622,patient,agent,0.17685699462890625,patient
26,sells,novel,well,Something sells this novel well.,-0.5015947818756104,-1.1980230808258057,patient,agent,0.6964282989501953,patient
27,sells,magazine,well,Something sells this magazine well.,-1.0477092266082764,-0.5772426128387451,patient,patient,-0.47046661376953125,patient
28,sells,hat,well,Something sells this hat well.,-1.1819196939468384,-0.5420500040054321,patient,patient,-0.6398696899414062,patient
29,sells,lotion,well,Something sells this lotion well.,-0.9858894348144532,-0.6161766052246094,patient,patient,-0.36971282958984386,patient
30,sells,album,well,Something sells this album well.,-1.2864396572113037,-0.4889543056488037,patient,patient,-0.7974853515625,patient
31,sells,car,well,Something sells this car well.,-1.286595106124878,-0.5866287350654602,patient,patient,-0.6999663710594177,patient
32,sells,suv,well,Something sells this SUV well.,-2.0072543621063232,-0.290598601102829,patient,patient,-1.7166557610034943,patient
33,sells,product,well,Something sells this product well.,-0.7864060401916504,-0.8152604103088379,patient,agent,0.0288543701171875,patient
34,sells,make,well,Something sells this make well.,-1.068250060081482,-0.6307653188705444,patient,patient,-0.4374847412109375,patient
35,sells,item,well,Something sells this item well.,-0.8756728172302246,-0.7848067283630371,patient,patient,-0.0908660888671875,patient
36,sells,cd,well,Something sells this CD well.,-1.8307983875274656,-0.3567459881305694,patient,patient,-1.4740523993968961,patient
37,sells,drug,well,Something sells this drug well.,-1.103679656982422,-0.6085852980613708,patient,patient,-0.49509435892105125,patient
38,sells,snack,well,Something sells this snack well.,-1.1874125003814695,-0.5537950992584229,patient,patient,-0.6336174011230467,patient
39,sells,salesman,well,Something sells this salesman well.,-0.9749579429626464,-0.6347250938415527,patient,patient,-0.34023284912109364,patient
40,sells,saleswoman,well,Something sells this saleswoman well.,-0.7317282557487488,-0.8457419276237488,patient,agent,0.114013671875,patient
41,sells,businessman,well,Something sells this businessman well.,-1.0676710605621338,-0.6025145649909973,patient,patient,-0.4651564955711365,patient
42,sells,businesswoman,well,Something sells this businesswoman well.,-1.2828617095947266,-0.5595493316650391,patient,patient,-0.7233123779296875,patient
43,sells,trader,well,Something sells this trader well.,-0.9682949781417848,-0.6540096998214722,patient,patient,-0.3142852783203126,patient
44,sells,peddler,well,Something sells this peddler well.,-1.1199172735214231,-0.6256774663925171,patient,patient,-0.49423980712890603,patient
45,sells,telemarketer,well,Something sells this telemarketer well.,-1.0148922204971311,-0.6869503259658813,patient,patient,-0.3279418945312498,patient
46,sells,dealer,well,Something sells this dealer well.,-1.09869122505188,-0.5843135714530945,patient,patient,-0.5143776535987856,patient
47,sells,shopkeeper,well,Something sells this shopkeeper well.,-0.8880035877227783,-0.7657806873321533,patient,patient,-0.122222900390625,patient
