id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-1.6012298,-0.24002378,patient,patient,-1.36120602,patient
1,sells,book,easily,This book sells easily.,-1.209101,-0.3796523,patient,patient,-0.8294486999999999,agent
2,sells,novel,easily,This novel sells easily.,-1.3624184,-0.31734696,patient,patient,-1.0450714399999999,patient
3,sells,magazine,easily,This magazine sells easily.,-1.3075498,-0.33493876,patient,patient,-0.9726110400000001,agent
4,sells,hat,easily,This hat sells easily.,-1.3491241,-0.32048273,patient,patient,-1.02864137,patient
5,sells,lotion,easily,This lotion sells easily.,-1.6052331,-0.23912853,patient,patient,-1.36610457,patient
6,sells,album,easily,This album sells easily.,-1.3140749,-0.3335719,patient,patient,-0.9805030000000001,agent
7,sells,car,easily,This car sells easily.,-1.1829753,-0.38817358,patient,patient,-0.79480172,agent
8,sells,suv,easily,This SUV sells easily.,-1.1632975,-0.40161693,patient,patient,-0.7616805700000001,agent
9,sells,product,easily,This product sells easily.,-1.5612714,-0.25713894,patient,patient,-1.3041324600000002,patient
10,sells,make,easily,This make sells easily.,-1.4779019,-0.27684462,patient,patient,-1.2010572800000001,patient
11,sells,item,easily,This item sells easily.,-1.4026121,-0.30381322,patient,patient,-1.09879888,patient
12,sells,cd,easily,This CD sells easily.,-1.3183991,-0.3376137,patient,patient,-0.9807853999999999,agent
13,sells,drug,easily,This drug sells easily.,-1.4765037,-0.27960047,patient,patient,-1.1969032300000002,patient
14,sells,snack,easily,This snack sells easily.,-1.5155919,-0.27001497,patient,patient,-1.24557693,patient
15,sells,salesman,easily,This salesman sells easily.,-0.875622,-0.5713827,agent,patient,-0.3042393,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-1.0069116,-0.4867319,agent,patient,-0.5201797,agent
17,sells,businessman,easily,This businessman sells easily.,-0.72029877,-0.7174549,agent,patient,-0.0028438699999999706,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.9100724,-0.5568067,agent,patient,-0.3532657,agent
19,sells,trader,easily,This trader sells easily.,-1.0111597,-0.47648597,agent,patient,-0.5346737300000002,agent
