verb,overall_acc,avg_LL_delta
bakes,0.14285714285714285,0.31056860373133705
carves,0.0625,0.6782350533952316
cleans,0.0,1.0366210534616753
cooks,0.0,0.720535366402732
cuts,0.0,0.7438683263957501
drives,0.1111111111111111,0.3624517404370838
embroiders,0.0,0.7502414530941418
flies,0.0,0.7136816208561262
knits,0.0,0.9018063179084232
packs,0.0,0.6687554657459259
paints,0.0,0.7654847080508868
performs,0.0,1.2448680664484317
photographs,0.1111111111111111,0.22114378545019361
plays,0.0,0.7755070878909185
reads,0.0,1.0787223687066751
sculpts,0.0,0.6187188416719437
sells,0.0,1.1013520893951256
sews,0.0,0.7860654324293137
shaves,0.0,0.49214726090431216
stitches,0.0,0.7127577234059572
turns,0.0,0.5878515460274436
washes,0.0,1.0493379848507733
writes,0.0,1.3203945672687363
