verb,overall_acc,avg_LL_delta
bakes,0.11904761904761904,-0.4792771733333332
carves,0.3541666666666667,-0.04018903270833335
cleans,0.25925925925925924,-0.19135808555555556
cooks,0.1111111111111111,-0.3365199766666666
cuts,0.475,-0.14169283049999998
drives,0.4444444444444444,0.06149989805555557
embroiders,0.0,-0.8752409571428572
flies,0.5833333333333334,0.16626376
knits,0.0,-0.7297859511428572
packs,0.225,-0.27358592974999996
paints,0.22916666666666666,-0.432344484375
performs,0.3076923076923077,-0.053707733846153835
photographs,0.1111111111111111,-0.4526377094444444
plays,0.3076923076923077,-0.0743964892307692
reads,0.17647058823529413,-0.3774130626470588
sculpts,0.13333333333333333,-0.30863953633333335
sells,0.5694444444444444,0.05341368930555557
sews,0.0,-0.8625553264999999
shaves,0.4,-0.08695499866666667
stitches,0.0,-0.701023738125
turns,0.4772727272727273,-0.03300453727272728
washes,0.15384615384615385,-0.24676787884615387
writes,0.4117647058823529,-0.09218184117647064
