noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,1.0,-0.4287920296192168
actor,1,1.0,0.0,0.9808883666992188
aircraft,3,1.0,1.0,-0.39518260955810547
album,3,0.0,0.0,0.24035072326660148
animal,2,1.0,1.0,-0.4669704735279083
announcer,2,0.5,0.5,0.01957273483276365
artisan,4,1.0,0.0,0.7424709647893906
artist,4,1.0,0.0,0.7846779748797417
author,2,1.0,1.0,1.343556858599186
aviator,3,1.0,0.0,0.49112797776858014
backpack,2,1.0,1.0,-1.386113628745079
backpacker,2,0.5,0.5,-0.17407703399658206
bag,2,1.0,1.0,-1.9175462573766708
baker,6,1.0,0.0,1.0794272447625797
barber,7,0.8571428571428571,0.14285714285714285,0.7421790446553912
basket,2,1.0,1.0,-1.387279003858566
beard,3,0.6666666666666666,0.6666666666666666,-0.11438751220703124
bedding,5,0.0,0.0,0.8467807829380035
bike,4,0.5,0.5,-0.0055506229400634766
blanket,2,1.0,1.0,-0.7719864845275878
blogger,2,1.0,0.0,0.3659801483154297
board,4,0.75,0.75,-0.2260294109582901
book,3,0.0,0.0,1.5314248204231262
bottle,2,0.0,0.0,0.22907114028930656
bowl,2,1.0,1.0,-0.6000909954309464
bread,3,1.0,1.0,-0.11309909820556636
broadcaster,2,1.0,0.0,0.1159777641296386
building,2,1.0,1.0,-0.5421729087829591
bus,3,0.3333333333333333,0.3333333333333333,0.4533488055070241
busboy,5,1.0,0.0,1.2633737415075301
businessman,3,1.0,1.0,1.6782712936401367
businesswoman,3,1.0,0.0,1.3427467743555705
butcher,4,0.75,0.25,0.3688385635614395
cake,3,1.0,1.0,-0.5558554033438365
cameraman,2,1.0,0.0,1.057997226715088
camper,2,0.5,0.5,0.08483457565307614
canvas,4,1.0,1.0,-1.5534784942865372
captain,3,0.6666666666666666,0.6666666666666666,0.25058239698410034
car,12,0.25,0.25,0.45072945952415466
cardboard,4,1.0,1.0,-1.1394236274063587
carpet,3,1.0,1.0,-0.5726241668065389
carver,7,1.0,0.0,0.3840502287660326
caterer,3,1.0,0.0,1.1311435798803966
cd,3,0.0,0.0,0.44348207116127014
cellist,2,0.0,1.0,-0.2906489372253417
cello,2,1.0,1.0,-1.3840002417564392
