id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-1.154504895210266,-0.5643407106399536,agent,patient,-0.5901641845703123,agent
1,sells,book,easily,This book sells something easily.,-0.4750865995883941,-1.2796367406845093,agent,agent,0.8045501410961151,agent
2,sells,novel,easily,This novel sells something easily.,-0.369938462972641,-1.516600251197815,agent,agent,1.146661788225174,agent
3,sells,magazine,easily,This magazine sells something easily.,-0.646027684211731,-0.9202433824539183,agent,agent,0.2742156982421874,agent
4,sells,hat,easily,This hat sells something easily.,-0.8806040287017822,-0.7002451419830322,agent,patient,-0.18035888671875,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.7001345753669739,-0.8333590626716614,agent,agent,0.1332244873046875,agent
6,sells,album,easily,This album sells something easily.,-0.9409996867179872,-0.6838585734367371,agent,patient,-0.2571411132812501,agent
7,sells,car,easily,This car sells something easily.,-1.1522631645202637,-0.6057772040367126,agent,patient,-0.546485960483551,agent
8,sells,suv,easily,This SUV sells something easily.,-1.7705645561218262,-0.2952189743518829,agent,patient,-1.4753455817699432,agent
9,sells,product,easily,This product sells something easily.,-0.5359116196632385,-1.1111221313476562,agent,agent,0.5752105116844177,agent
10,sells,make,easily,This make sells something easily.,-1.1410388946533203,-0.5231342315673828,agent,patient,-0.6179046630859375,agent
11,sells,item,easily,This item sells something easily.,-0.502167820930481,-1.262910008430481,agent,agent,0.7607421875,agent
12,sells,cd,easily,This CD sells something easily.,-1.4036540985107422,-0.4692745804786682,agent,patient,-0.934379518032074,agent
13,sells,drug,easily,This drug sells something easily.,-0.8756106495857239,-0.7547152638435364,agent,patient,-0.1208953857421875,agent
14,sells,snack,easily,This snack sells something easily.,-0.9583348035812378,-0.6295994520187378,agent,patient,-0.3287353515625,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.887795627117157,-0.654702365398407,agent,patient,-0.23309326171875,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.4623198509216308,-1.195237636566162,agent,agent,0.7329177856445312,agent
17,sells,businessman,easily,This businessman sells something easily.,-1.1525284051895142,-0.5238815546035767,agent,patient,-0.6286468505859375,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-1.0349113941192627,-0.6586295962333679,agent,patient,-0.3762817978858948,agent
19,sells,trader,easily,This trader sells something easily.,-0.9679257273674012,-0.6268460154533386,agent,patient,-0.3410797119140626,agent
20,sells,peddler,easily,This peddler sells something easily.,-0.9888961911201476,-0.6357658505439758,agent,patient,-0.35313034057617176,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.7858679294586182,-0.8433554172515869,agent,agent,0.05748748779296875,agent
22,sells,dealer,easily,This dealer sells something easily.,-1.0753779411315918,-0.5572924613952637,agent,patient,-0.5180854797363281,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.9198198914527892,-0.6999483704566956,agent,patient,-0.21987152099609364,agent
24,sells,toy,well,This toy sells something well.,-1.2192293405532837,-0.5476061105728149,agent,patient,-0.6716232299804688,agent
25,sells,book,well,This book sells something well.,-0.5095798969268799,-1.229844331741333,agent,agent,0.7202644348144531,agent
26,sells,novel,well,This novel sells something well.,-0.4307443499565124,-1.3703367710113523,agent,agent,0.9395924210548399,agent
27,sells,magazine,well,This magazine sells something well.,-0.7394469380378723,-0.8169692158699036,agent,agent,0.07752227783203125,agent
28,sells,hat,well,This hat sells something well.,-0.9569939970970154,-0.6585626006126404,agent,patient,-0.298431396484375,agent
29,sells,lotion,well,This lotion sells something well.,-0.760131299495697,-0.7884439826011658,agent,agent,0.02831268310546875,agent
30,sells,album,well,This album sells something well.,-1.041414737701416,-0.619265079498291,agent,patient,-0.422149658203125,agent
31,sells,car,well,This car sells something well.,-1.2120517492294312,-0.5970233678817749,agent,patient,-0.6150283813476562,agent
32,sells,suv,well,This SUV sells something well.,-1.8437780141830444,-0.2891667783260345,agent,patient,-1.5546112358570099,agent
33,sells,product,well,This product sells something well.,-0.5877043604850769,-1.049832105636597,agent,agent,0.46212774515152,agent
34,sells,make,well,This make sells something well.,-1.1856889724731443,-0.5191011428833008,agent,patient,-0.6665878295898435,agent
35,sells,item,well,This item sells something well.,-0.5702944397926331,-1.1589250564575195,agent,agent,0.5886306166648865,agent
36,sells,cd,well,This CD sells something well.,-1.511080026626587,-0.4358275532722473,agent,patient,-1.0752524733543396,agent
37,sells,drug,well,This drug sells something well.,-0.8936493992805481,-0.7541688084602356,agent,patient,-0.1394805908203125,agent
38,sells,snack,well,This snack sells something well.,-1.0464470386505127,-0.5845558047294617,agent,patient,-0.461891233921051,agent
39,sells,salesman,well,This salesman sells something well.,-0.9349854588508606,-0.6324189305305481,agent,patient,-0.3025665283203125,agent
40,sells,saleswoman,well,This saleswoman sells something well.,-0.5158782005310059,-1.116929531097412,agent,agent,0.6010513305664062,agent
41,sells,businessman,well,This businessman sells something well.,-1.2028441429138184,-0.5076003074645996,agent,patient,-0.6952438354492188,agent
