noun,avg_LL_delta
abstract,1.87163155
actor,1.63571656
aircraft,0.2708073
album,-0.2000619799999999
animal,-1.1538878
announcer,2.73738524
artisan,0.99304487
artist,0.4511083999999999
author,0.7152959000000001
aviator,0.04585686
backpack,-0.33466916
backpacker,-0.89621598
bag,-0.2033252999999999
baker,0.8741498399999998
barber,0.2245705499999999
basket,-0.17475315
beard,-1.16972698
bedding,0.149111
bike,-0.84720063
blanket,-0.43680545
blogger,1.15175153
board,0.7870404500000001
book,-0.97846422
bottle,0.3196208599999999
bowl,0.48461488
bread,-0.4929894299999999
broadcaster,1.7605841
building,-0.2015172
bus,-0.73763657
busboy,0.1963948999999999
businessman,1.15191496
businesswoman,0.46849033
butcher,0.27709549
cake,-1.11508695
cameraman,2.188205756
camper,-1.16595167
canvas,1.20456814
captain,0.64284333
car,-0.8633766699999998
cardboard,0.0733108599999999
carpet,-0.4050223699999999
carver,0.8799753
caterer,1.41718708
cd,0.78861052
cellist,0.6385934
cello,-0.0651442999999999
chauffeur,2.632035015
chef,1.0237889
choreography,1.45403215
clarinet,0.2540008499999999
clarinetist,1.2201517
clay,1.17020937
cleaner,0.7814318299999998
clerk,-0.7779676
cloth,0.74140375
coat,-1.2286321
code,-0.7458105400000001
comedian,0.8212273600000001
concerto,1.06286617
confectioner,0.7369861999999999
container,0.65596397
convertible,1.09202187
cook,0.96844978
cotton,-0.0746337
countertop,0.11628724
crate,0.99357663
cushion,0.1515891
cut,0.952833
dancer,-0.22315145
dealer,0.15404141
dish,0.1481228
doctor,1.33597564
dough,1.1671859
dressmaker,0.61419478
driver,1.0579422
drug,1.57633399
drummer,0.5972600300000002
duffle,-0.8612143
essay,-0.2041253
essayist,1.4241677499999998
fabric,0.5624170000000001
fillet,-0.6613770000000001
fish,-0.97266962
floor,-0.92090854
flute,0.6823505500000001
flutist,1.37420922
food,-0.223214
gem,0.0745410999999999
glass,0.2254850300000001
hairdresser,1.76462862
handle,1.86024076
hat,-1.20932207
herb,0.3124314
hiker,-0.82614942
housekeeper,0.8547926399999999
ice,0.23922924
illustrator,1.49458873
ingredient,1.45813297
instrument,1.6700084700000002
item,-0.8238179800000001
jacket,-0.8620692499999999
janitor,0.00873763
jet,0.20769186
jeweler,0.8615737000000001
jewelry,-0.55285038
journalist,1.33919667
kite,0.06761555
knob,-0.08609567
lady,-1.80017094
lake,-0.46913532
landscape,-0.4223194
letter,-0.2745084399999999
line,-0.8732987499999999
lotion,0.4432237
lunchbox,-0.6234016800000002
machine,0.8998113400000001
magazine,0.41862672
maid,0.41766195
make,-0.2514264
man,-1.45757677
marble,0.43775531
mason,0.8774046
material,1.3430976600000002
meat,0.0744513999999999
mirror,-0.48099861
model,-0.9068977
motorcycle,-0.1902996899999999
motorist,0.896072
mountain,-0.7818405400000001
mover,-0.09142395
mushroom,-0.20909845
musician,-0.0879935499999999
narrator,1.59304868
notetaker,0.8611839400000001
novel,0.01149988
novelist,1.18442015
orator,1.81636584
packaging,0.82997716
painter,0.7634258500000001
panel,0.90481766
paper,1.07467368
passage,0.4407389
pastry,-1.4209396
patissier,1.41613909
pattern,0.9954499
peddler,1.09698485
pepper,-0.9507198
person,0.00743676
photographer,0.5564134000000001
pianist,1.58133114
piano,0.0231543099999999
pie,-1.7022552
pilot,1.11285997
pizza,-1.7272395500000002
plane,-0.3379234099999999
poem,-0.03563914
poet,-0.0309449
portraitist,0.65629522
pot,0.54628275
potato,-1.2884162300000002
potter,0.8133447300000001
product,1.1310025
professor,2.358701366
proposal,-0.0273373699999999
pumpkin,-1.29337305
quilt,-0.26435036
racer,0.1808565799999999
report,-0.222948
roadtripper,-0.8861306
routine,0.9609936
salesman,2.640941715
saleswoman,1.6756749000000002
salmon,-0.99281572
scene,0.056825
screw,1.3932273700000002
scribe,-0.0069102999999999
script,-1.18067057
sculptor,1.46145067
seamster,-0.4248369900000001
seamstress,-0.2449144999999999
section,0.8507435000000001
shirt,-1.2538065
shopkeeper,1.84523372
sideburn,-0.16957957
silk,1.4572564099999998
silverware,0.6938151699999999
singer,0.2514097
snack,-0.4110756399999999
soloist,2.3646553000000003
sonata,1.06861262
song,0.5079565699999999
steak,-0.4458475
stone,-0.0226262199999999
stubble,-0.13952029
student,0.1277925999999999
suitcase,-0.89669158
surface,0.26999114
surgeon,2.32556173
suv,1.3093885
tailor,-1.1561813200000002
tank,1.7730141
teacher,2.05227546
telemarketer,0.25468193
tent,-0.5975260600000001
thread,1.43465826
toy,-0.5212898
tractor,-0.50010688
trader,0.6568921400000001
traveller,-0.9203033
truck,0.94310953
tub,-0.22736826
tuna,-0.94062043
turkey,-2.0961915500000003
upholsterer,0.6405874999999999
valve,1.01079083
van,1.0136284999999998
vegetable,-0.92479514
vehicle,0.3648599999999999
verse,-0.51234175
view,-0.0382386399999999
violin,0.06298364
violinist,1.16022307
waiter,1.03920968
waitress,0.7962687999999999
wall,0.80751798
window,0.95295352
windshield,0.2557388599999999
woman,-1.33451262
wood,0.55288305
wool,0.7197849000000001
worker,1.4395602200000002
wound,-0.93542835
yarn,0.3399569999999999
