id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-0.889494,-0.5591165,patient,patient,-0.3303775,patient
1,sells,book,easily,Something sells this book easily.,-0.79687905,-0.632769,patient,patient,-0.16411005,patient
2,sells,novel,easily,Something sells this novel easily.,-1.0175587,-0.47584498,patient,patient,-0.54171372,patient
3,sells,magazine,easily,Something sells this magazine easily.,-0.99512434,-0.48917148,patient,patient,-0.5059528600000001,patient
4,sells,hat,easily,Something sells this hat easily.,-0.7940247,-0.6329548,patient,patient,-0.1610699,patient
5,sells,lotion,easily,Something sells this lotion easily.,-0.8452975,-0.5970369,patient,patient,-0.24826060000000005,patient
6,sells,album,easily,Something sells this album easily.,-0.9713284,-0.50437516,patient,patient,-0.46695323999999994,patient
7,sells,car,easily,Something sells this car easily.,-0.8492872,-0.59031695,patient,patient,-0.25897025000000007,patient
8,sells,suv,easily,Something sells this SUV easily.,-0.9587081,-0.5265335,patient,patient,-0.43217459999999996,patient
9,sells,product,easily,Something sells this product easily.,-0.8558066,-0.5864776,patient,patient,-0.26932899999999993,patient
10,sells,make,easily,Something sells this make easily.,-0.6675789,-0.7661127,patient,agent,0.0985338,patient
11,sells,item,easily,Something sells this item easily.,-0.8057744,-0.63333297,patient,patient,-0.17244143,patient
12,sells,cd,easily,Something sells this CD easily.,-1.0389062,-0.4597369,patient,patient,-0.5791693,patient
13,sells,drug,easily,Something sells this drug easily.,-0.8521479,-0.5929888,patient,patient,-0.2591591,patient
14,sells,snack,easily,Something sells this snack easily.,-1.0588684,-0.45756143,patient,patient,-0.60130697,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.79282355,-0.6350228,patient,patient,-0.15780075000000005,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.9832741,-0.49901924,patient,patient,-0.48425486000000006,patient
17,sells,businessman,easily,Something sells this businessman easily.,-1.1503489,-0.40179276,patient,patient,-0.74855614,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-0.9066148,-0.5481896,patient,patient,-0.3584252,patient
19,sells,trader,easily,Something sells this trader easily.,-0.94742835,-0.5236707,patient,patient,-0.42375765,patient
20,sells,peddler,easily,Something sells this peddler easily.,-1.0692208,-0.45057797,patient,patient,-0.6186428300000001,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-1.0199572,-0.4823099,patient,patient,-0.5376472999999999,patient
22,sells,dealer,easily,Something sells this dealer easily.,-0.9920627,-0.49358475,patient,patient,-0.49847794999999995,patient
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-0.8900905,-0.5667242,patient,patient,-0.3233663,patient
24,sells,toy,well,Something sells this toy well.,-0.86438376,-0.57824713,patient,patient,-0.2861366299999999,patient
25,sells,book,well,Something sells this book well.,-0.76758057,-0.6605706,patient,patient,-0.10700997000000001,patient
26,sells,novel,well,Something sells this novel well.,-0.97887367,-0.49956068,patient,patient,-0.47931299000000005,patient
27,sells,magazine,well,Something sells this magazine well.,-0.9677659,-0.5063288,patient,patient,-0.46143709999999993,patient
28,sells,hat,well,Something sells this hat well.,-0.74312687,-0.6789674,patient,patient,-0.06415947,patient
29,sells,lotion,well,Something sells this lotion well.,-0.81038594,-0.625024,patient,patient,-0.18536193999999995,patient
30,sells,album,well,Something sells this album well.,-0.9093154,-0.54662544,patient,patient,-0.36268996,patient
31,sells,car,well,Something sells this car well.,-0.88575107,-0.5652631,patient,patient,-0.32048796999999996,patient
32,sells,suv,well,Something sells this SUV well.,-0.93042624,-0.54650164,patient,patient,-0.38392459999999995,patient
