id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-1.9501953125,-0.1690673828125,patient,patient,-1.7811279296875,patient
1,sells,book,easily,This book sells easily.,-2.25,-0.125732421875,patient,patient,-2.124267578125,patient
2,sells,novel,easily,This novel sells easily.,-1.8056640625,-0.1961669921875,patient,patient,-1.6094970703125,agent
3,sells,magazine,easily,This magazine sells easily.,-1.8583984375,-0.1864013671875,patient,patient,-1.6719970703125,agent
4,sells,hat,easily,This hat sells easily.,-2.27734375,-0.121337890625,patient,patient,-2.156005859375,patient
5,sells,lotion,easily,This lotion sells easily.,-1.4794921875,-0.276123046875,patient,patient,-1.203369140625,agent
6,sells,album,easily,This album sells easily.,-1.9775390625,-0.1650390625,patient,patient,-1.8125,patient
7,sells,car,easily,This car sells easily.,-2.166015625,-0.135009765625,patient,patient,-2.031005859375,patient
8,sells,suv,easily,This SUV sells easily.,-2.146484375,-0.14599609375,patient,patient,-2.00048828125,patient
9,sells,product,easily,This product sells easily.,-2.0390625,-0.1644287109375,patient,patient,-1.8746337890625,patient
10,sells,make,easily,This make sells easily.,-1.896484375,-0.1778564453125,patient,patient,-1.7186279296875,agent
11,sells,item,easily,This item sells easily.,-2.24609375,-0.13623046875,patient,patient,-2.10986328125,patient
12,sells,cd,easily,This CD sells easily.,-2.1875,-0.140869140625,patient,patient,-2.046630859375,patient
13,sells,drug,easily,This drug sells easily.,-2.12890625,-0.1439208984375,patient,patient,-1.9849853515625,patient
14,sells,snack,easily,This snack sells easily.,-2.138671875,-0.138916015625,patient,patient,-1.999755859375,patient
15,sells,salesman,easily,This salesman sells easily.,-1.4755859375,-0.272216796875,agent,patient,-1.203369140625,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-1.2119140625,-0.368408203125,agent,patient,-0.843505859375,agent
17,sells,businessman,easily,This businessman sells easily.,-1.3701171875,-0.307861328125,agent,patient,-1.062255859375,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-1.291015625,-0.338134765625,agent,patient,-0.952880859375,agent
19,sells,trader,easily,This trader sells easily.,-1.9462890625,-0.1646728515625,agent,patient,-1.7816162109375,patient
20,sells,peddler,easily,This peddler sells easily.,-2.095703125,-0.1424560546875,agent,patient,-1.9532470703125,patient
21,sells,telemarketer,easily,This telemarketer sells easily.,-1.4931640625,-0.27490234375,agent,patient,-1.21826171875,agent
22,sells,dealer,easily,This dealer sells easily.,-1.80078125,-0.1917724609375,agent,patient,-1.6090087890625,agent
