id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-0.4214023053646087,-1.1065276861190796,patient,agent,0.6851253807544708,patient
1,sells,book,easily,This book sells easily.,-0.3265614211559295,-1.3154540061950684,patient,agent,0.9888925850391388,agent
2,sells,novel,easily,This novel sells easily.,-0.3376907408237457,-1.2880204916000366,patient,agent,0.9503297507762909,agent
3,sells,magazine,easily,This magazine sells easily.,-0.4871454834938049,-0.9815693497657776,patient,agent,0.4944238662719727,patient
4,sells,hat,easily,This hat sells easily.,-0.515849232673645,-0.940278172492981,patient,agent,0.42442893981933594,patient
5,sells,lotion,easily,This lotion sells easily.,-0.4803411960601806,-0.9937965869903564,patient,agent,0.5134553909301758,patient
6,sells,album,easily,This album sells easily.,-0.5015323162078857,-0.9593732357025146,patient,agent,0.4578409194946289,patient
7,sells,car,easily,This car sells easily.,-0.4475821256637573,-1.055357813835144,patient,agent,0.6077756881713867,patient
8,sells,suv,easily,This SUV sells easily.,-0.5408949255943298,-0.9065956473350524,patient,agent,0.36570072174072255,patient
9,sells,product,easily,This product sells easily.,-0.4264616668224334,-1.0984959602355957,patient,agent,0.6720342934131622,patient
10,sells,make,easily,This make sells easily.,-0.702556312084198,-0.70933598279953,patient,agent,0.006779670715332031,patient
11,sells,item,easily,This item sells easily.,-0.4527391791343689,-1.049511432647705,patient,agent,0.5967722535133362,patient
12,sells,cd,easily,This CD sells easily.,-0.3861486315727234,-1.1682837009429932,patient,agent,0.7821350693702698,agent
13,sells,drug,easily,This drug sells easily.,-0.499961793422699,-0.9867314696311952,patient,agent,0.4867696762084962,patient
14,sells,snack,easily,This snack sells easily.,-0.5720558762550354,-0.8599663376808167,patient,agent,0.28791046142578125,patient
15,sells,salesman,easily,This salesman sells easily.,-0.2013202607631683,-1.756712555885315,agent,agent,1.5553922951221466,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.2348527014255523,-1.631088137626648,agent,agent,1.3962354362010956,agent
17,sells,businessman,easily,This businessman sells easily.,-0.2545575499534607,-1.5367355346679688,agent,agent,1.282177984714508,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.2811006903648376,-1.4663357734680176,agent,agent,1.18523508310318,agent
19,sells,trader,easily,This trader sells easily.,-0.1725087761878967,-1.905015468597412,agent,agent,1.7325066924095154,agent
20,sells,peddler,easily,This peddler sells easily.,-0.4114170372486114,-1.1289386749267578,agent,agent,0.7175216376781464,patient
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.3505864143371582,-1.260688304901123,agent,agent,0.9101018905639648,agent
22,sells,dealer,easily,This dealer sells easily.,-0.2934167385101318,-1.4230782985687256,agent,agent,1.1296615600585938,agent
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-0.2972285151481628,-1.4246728420257568,agent,agent,1.127444326877594,agent
24,sells,toy,well,This toy sells well.,-0.4113132357597351,-1.1300671100616455,patient,agent,0.7187538743019104,patient
25,sells,book,well,This book sells well.,-0.3101897239685058,-1.363270282745361,patient,agent,1.0530805587768552,agent
26,sells,novel,well,This novel sells well.,-0.3314953744411468,-1.30742084980011,patient,agent,0.9759254753589632,agent
27,sells,magazine,well,This magazine sells well.,-0.4533792734146118,-1.0422464609146118,patient,agent,0.5888671875,patient
28,sells,hat,well,This hat sells well.,-0.5229175686836243,-0.9341457486152648,patient,agent,0.4112281799316405,patient
29,sells,lotion,well,This lotion sells well.,-0.4649592041969299,-1.0240888595581057,patient,agent,0.5591296553611758,patient
30,sells,album,well,This album sells well.,-0.4912318587303161,-0.9782456755638124,patient,agent,0.48701381683349626,patient
31,sells,car,well,This car sells well.,-0.4390862584114074,-1.0756638050079346,patient,agent,0.6365775465965271,patient
32,sells,suv,well,This SUV sells well.,-0.5171520709991455,-0.9457542896270752,patient,agent,0.4286022186279297,patient
33,sells,product,well,This product sells well.,-0.4046131074428558,-1.1467825174331665,patient,agent,0.7421694099903107,patient
34,sells,make,well,This make sells well.,-0.7283332943916321,-0.6867960095405579,patient,patient,-0.04153728485107422,patient
35,sells,item,well,This item sells well.,-0.4522275328636169,-1.0550918579101562,patient,agent,0.6028643250465393,patient
36,sells,cd,well,This CD sells well.,-0.37070432305336,-1.2058902978897097,patient,agent,0.8351859748363497,agent
37,sells,drug,well,This drug sells well.,-0.4718565940856933,-1.0382790565490725,patient,agent,0.5664224624633791,patient
38,sells,snack,well,This snack sells well.,-0.5619419813156128,-0.8763283491134644,patient,agent,0.31438636779785156,patient
39,sells,salesman,well,This salesman sells well.,-0.2061709314584732,-1.738129496574402,agent,agent,1.5319585651159289,agent
40,sells,saleswoman,well,This saleswoman sells well.,-0.251751959323883,-1.5714387893676758,agent,agent,1.3196868300437927,agent
41,sells,businessman,well,This businessman sells well.,-0.2599528431892395,-1.5206577777862549,agent,agent,1.2607049345970154,agent
42,sells,businesswoman,well,This businesswoman sells well.,-0.2904272377490997,-1.4418840408325195,agent,agent,1.1514568030834198,agent
43,sells,trader,well,This trader sells well.,-0.1676943600177765,-1.938284158706665,agent,agent,1.7705897986888885,agent
44,sells,peddler,well,This peddler sells well.,-0.396138459444046,-1.1647379398345947,agent,agent,0.7685994803905487,patient
45,sells,telemarketer,well,This telemarketer sells well.,-0.3341857194900512,-1.305811047554016,agent,agent,0.9716253280639646,agent
46,sells,dealer,well,This dealer sells well.,-0.2825668454170227,-1.465360403060913,agent,agent,1.1827935576438904,agent
47,sells,shopkeeper,well,This shopkeeper sells well.,-0.2847495377063751,-1.4711289405822754,agent,agent,1.1863794028759003,agent
48,sells,toy,quickly,This toy sells quickly.,-0.4078946709632873,-1.133603572845459,patient,agent,0.7257089018821716,patient
49,sells,book,quickly,This book sells quickly.,-0.3099311292171478,-1.3606666326522827,patient,agent,1.0507355034351349,agent
50,sells,novel,quickly,This novel sells quickly.,-0.3216646909713745,-1.3303049802780151,patient,agent,1.0086402893066406,agent
51,sells,magazine,quickly,This magazine sells quickly.,-0.464384913444519,-1.020532488822937,patient,agent,0.556147575378418,patient
52,sells,hat,quickly,This hat sells quickly.,-0.5118875503540039,-0.9472532272338868,patient,agent,0.4353656768798829,patient
53,sells,lotion,quickly,This lotion sells quickly.,-0.4492045044898987,-1.0488052368164062,patient,agent,0.5996007323265076,patient
54,sells,album,quickly,This album sells quickly.,-0.4897626340389251,-0.9783538579940796,patient,agent,0.4885912239551545,patient
55,sells,car,quickly,This car sells quickly.,-0.4286250174045563,-1.0918539762496948,patient,agent,0.6632289588451385,patient
56,sells,suv,quickly,This SUV sells quickly.,-0.5193958282470703,-0.9398136138916016,patient,agent,0.42041778564453125,patient
57,sells,product,quickly,This product sells quickly.,-0.4174548685550689,-1.1163989305496216,patient,agent,0.6989440619945526,patient
58,sells,make,quickly,This make sells quickly.,-0.6774100661277771,-0.7354182600975037,patient,agent,0.05800819396972656,patient
59,sells,item,quickly,This item sells quickly.,-0.4439164996147156,-1.065375566482544,patient,agent,0.6214590668678284,patient
60,sells,cd,quickly,This CD sells quickly.,-0.3663124144077301,-1.213436484336853,patient,agent,0.8471240699291229,agent
61,sells,drug,quickly,This drug sells quickly.,-0.4836692810058594,-1.0138788223266602,patient,agent,0.5302095413208008,patient
62,sells,snack,quickly,This snack sells quickly.,-0.5465403199195862,-0.8954201340675354,patient,agent,0.3488798141479492,patient
63,sells,salesman,quickly,This salesman sells quickly.,-0.1889256983995437,-1.8200569152832031,agent,agent,1.6311312168836594,agent
64,sells,saleswoman,quickly,This saleswoman sells quickly.,-0.2443851679563522,-1.5984290838241575,agent,agent,1.3540439158678053,agent
65,sells,businessman,quickly,This businessman sells quickly.,-0.2530379593372345,-1.5430035591125488,agent,agent,1.2899655997753143,agent
66,sells,businesswoman,quickly,This businesswoman sells quickly.,-0.2914517223834991,-1.4362289905548096,agent,agent,1.1447772681713104,agent
67,sells,trader,quickly,This trader sells quickly.,-0.162428081035614,-1.9652750492095947,agent,agent,1.8028469681739807,agent
68,sells,peddler,quickly,This peddler sells quickly.,-0.3965097069740295,-1.1625208854675293,agent,agent,0.7660111784934998,patient
69,sells,telemarketer,quickly,This telemarketer sells quickly.,-0.342021495103836,-1.2834115028381348,agent,agent,0.9413900077342987,agent
70,sells,dealer,quickly,This dealer sells quickly.,-0.2790674865245819,-1.4732470512390137,agent,agent,1.1941795647144318,agent
71,sells,shopkeeper,quickly,This shopkeeper sells quickly.,-0.2898746430873871,-1.450635552406311,agent,agent,1.160760909318924,agent
72,drives,car,nicely,This car drives nicely.,-0.5048445463180542,-0.9695175886154176,patient,agent,0.4646730422973634,patient
73,drives,suv,nicely,This SUV drives nicely.,-0.6101285219192505,-0.8230048418045044,patient,agent,0.2128763198852539,patient
74,drives,truck,nicely,This truck drives nicely.,-0.5574725866317749,-0.902722716331482,patient,agent,0.34525012969970714,patient
75,drives,convertible,nicely,This convertible drives nicely.,-0.6144728064537048,-0.8134397864341736,patient,agent,0.19896697998046875,patient
76,drives,vehicle,nicely,This vehicle drives nicely.,-0.5652757287025452,-0.885141909122467,patient,agent,0.3198661804199219,patient
77,drives,tank,nicely,This tank drives nicely.,-0.6262139081954956,-0.8138216733932495,patient,agent,0.1876077651977539,patient
78,drives,bus,nicely,This bus drives nicely.,-0.5105191469192505,-0.9600154161453248,patient,agent,0.44949626922607433,patient
79,drives,tractor,nicely,This tractor drives nicely.,-0.6160503625869751,-0.8164392709732056,patient,agent,0.20038890838623047,patient
