id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-0.3732780814170837,-1.522042751312256,patient,agent,1.1487646698951723,patient
1,sells,book,easily,Something sells this book easily.,-0.0888829603791236,-2.8264546394348145,patient,agent,2.7375716790556908,patient
2,sells,novel,easily,Something sells this novel easily.,-0.1050123497843742,-2.8048195838928223,patient,agent,2.699807234108448,patient
3,sells,magazine,easily,Something sells this magazine easily.,-0.2295567095279693,-1.866831421852112,patient,agent,1.6372747123241427,patient
4,sells,hat,easily,Something sells this hat easily.,-0.2045111507177353,-1.8388257026672363,patient,agent,1.634314551949501,patient
5,sells,lotion,easily,Something sells this lotion easily.,-0.0920502617955207,-2.809863805770874,patient,agent,2.7178135439753532,patient
6,sells,album,easily,Something sells this album easily.,-0.2525528371334076,-1.764363169670105,patient,agent,1.5118103325366974,patient
7,sells,car,easily,Something sells this car easily.,-0.1986839771270752,-2.156031847000122,patient,agent,1.9573478698730469,patient
8,sells,suv,easily,Something sells this SUV easily.,-0.3042652606964111,-1.6560442447662354,patient,agent,1.3517789840698242,patient
9,sells,product,easily,Something sells this product easily.,-0.2024061828851699,-1.9456188678741453,patient,agent,1.7432126849889753,patient
10,sells,make,easily,Something sells this make easily.,-0.4935096204280853,-1.4026979207992554,patient,agent,0.90918830037117,patient
11,sells,item,easily,Something sells this item easily.,-0.1661383360624313,-2.2875430583953857,patient,agent,2.1214047223329544,patient
12,sells,cd,easily,Something sells this CD easily.,-0.2726014256477356,-1.810182809829712,patient,agent,1.5375813841819763,patient
13,sells,drug,easily,Something sells this drug easily.,-0.1849270910024643,-2.2224721908569336,patient,agent,2.0375450998544693,patient
14,sells,snack,easily,Something sells this snack easily.,-0.2025219351053238,-2.15161395072937,patient,agent,1.9490920156240463,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.2224973291158676,-1.9174960851669312,patient,agent,1.6949987560510635,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.3183073699474334,-1.511216640472412,patient,agent,1.1929092705249786,patient
17,sells,businessman,easily,Something sells this businessman easily.,-0.2077923268079757,-2.1079721450805664,patient,agent,1.9001798182725906,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-0.4381434619426727,-1.2929980754852295,patient,agent,0.8548546135425568,patient
19,sells,trader,easily,Something sells this trader easily.,-0.3877393007278442,-1.605984807014465,patient,agent,1.2182455062866209,patient
20,sells,peddler,easily,Something sells this peddler easily.,-0.390193372964859,-1.5277913808822632,patient,agent,1.1375980079174042,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-0.3593060672283172,-1.602017164230347,patient,agent,1.2427110970020296,patient
22,sells,dealer,easily,Something sells this dealer easily.,-0.2158716320991516,-2.0706965923309326,patient,agent,1.854824960231781,patient
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-0.3294854462146759,-1.751157283782959,patient,agent,1.421671837568283,patient
24,sells,toy,well,Something sells this toy well.,-0.6374779939651489,-1.1093255281448364,patient,agent,0.4718475341796875,patient
25,sells,book,well,Something sells this book well.,-0.1094279512763023,-2.609941005706787,patient,agent,2.5005130544304848,patient
26,sells,novel,well,Something sells this novel well.,-0.1755070835351944,-2.5232977867126465,patient,agent,2.347790703177452,patient
27,sells,magazine,well,Something sells this magazine well.,-0.2953755855560303,-1.6475751399993896,patient,agent,1.3521995544433594,patient
28,sells,hat,well,Something sells this hat well.,-0.3505094945430755,-1.3509167432785034,patient,agent,1.0004072487354279,patient
29,sells,lotion,well,Something sells this lotion well.,-0.1129772812128067,-2.602737665176392,patient,agent,2.4897603839635853,patient
30,sells,album,well,Something sells this album well.,-0.2970526218414306,-1.6009676456451416,patient,agent,1.303915023803711,patient
31,sells,car,well,Something sells this car well.,-0.2239893972873687,-2.0372085571289062,patient,agent,1.8132191598415375,patient
32,sells,suv,well,Something sells this SUV well.,-0.3542782664299011,-1.4974677562713623,patient,agent,1.1431894898414612,patient
33,sells,product,well,Something sells this product well.,-0.2201935946941375,-1.9118497371673584,patient,agent,1.6916561424732208,patient
34,sells,make,well,Something sells this make well.,-0.8590701222419739,-0.8744557499885559,patient,agent,0.015385627746582031,patient
35,sells,item,well,Something sells this item well.,-0.2247155010700225,-2.068844079971313,patient,agent,1.8441285789012904,patient
36,sells,cd,well,Something sells this CD well.,-0.3421357870101928,-1.5580466985702517,patient,agent,1.2159109115600588,patient
37,sells,drug,well,Something sells this drug well.,-0.1930485218763351,-2.174022674560547,patient,agent,1.9809741526842117,patient
38,sells,snack,well,Something sells this snack well.,-0.4204038679599762,-1.4776290655136108,patient,agent,1.0572251975536346,patient
39,sells,salesman,well,Something sells this salesman well.,-0.270550936460495,-1.710388422012329,patient,agent,1.439837485551834,patient
40,sells,saleswoman,well,Something sells this saleswoman well.,-0.4103621244430542,-1.2990416288375854,patient,agent,0.8886795043945312,patient
41,sells,businessman,well,Something sells this businessman well.,-0.2664569020271301,-1.83473801612854,patient,agent,1.56828111410141,patient
