verb,overall_acc,avg_LL_delta
bakes,0.0,-1.228229736643178
carves,0.0,-0.8677136708671848
cleans,0.0,-0.7802120088427155
cooks,0.0,-0.9067977468172709
cuts,0.0,-0.654633904248476
drives,0.0,-0.9765088632702827
embroiders,0.0,-1.022677701498781
flies,0.0,-0.7539037441213926
knits,0.0,-0.992770163502012
packs,0.0,-0.9608779639005661
paints,0.0,-1.0240459473182757
performs,0.0,-0.5583487336452191
photographs,0.0,-1.703443941142824
plays,0.0,-0.9029422482618918
reads,0.0,-0.913011359379572
sculpts,0.0,-1.0300084839264552
sells,0.0,-0.6152663143972555
sews,0.0,-0.9113888368010521
shaves,0.0,-1.0796087861061097
stitches,0.0,-0.9667969963823756
turns,0.0,-0.7916653129187498
washes,0.038461538461538464,-0.7222049740644602
writes,0.0,-0.4698675660526051
