id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-0.78676254,-0.6406329,agent,patient,-0.14612964000000006,agent
1,sells,book,easily,This book sells something easily.,-0.704399,-0.7163505,agent,agent,0.011951500000000004,agent
2,sells,novel,easily,This novel sells something easily.,-0.79483247,-0.63203263,agent,patient,-0.16279984000000003,agent
3,sells,magazine,easily,This magazine sells something easily.,-0.8773833,-0.56626034,agent,patient,-0.31112295999999995,agent
4,sells,hat,easily,This hat sells something easily.,-0.69028455,-0.73174256,agent,agent,0.041458010000000045,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.7837069,-0.64661056,agent,patient,-0.13709634000000004,agent
6,sells,album,easily,This album sells something easily.,-0.8682564,-0.5747325,agent,patient,-0.29352390000000006,agent
7,sells,car,easily,This car sells something easily.,-0.8291304,-0.6060107,agent,patient,-0.22311970000000003,agent
8,sells,suv,easily,This SUV sells something easily.,-0.94544363,-0.53236735,agent,patient,-0.41307627999999996,agent
9,sells,product,easily,This product sells something easily.,-0.8389833,-0.5982073,agent,patient,-0.240776,agent
10,sells,make,easily,This make sells something easily.,-0.58173364,-0.867918,agent,agent,0.2861843599999999,agent
11,sells,item,easily,This item sells something easily.,-0.8218133,-0.6146791,agent,patient,-0.20713419999999994,agent
12,sells,cd,easily,This CD sells something easily.,-0.9059467,-0.5535106,agent,patient,-0.35243610000000003,agent
13,sells,drug,easily,This drug sells something easily.,-0.9094,-0.5526686,agent,patient,-0.35673140000000003,agent
14,sells,snack,easily,This snack sells something easily.,-1.0442449,-0.46556866,agent,patient,-0.5786762400000001,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.7378869,-0.6909527,agent,patient,-0.04693420000000004,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.8332173,-0.60837144,agent,patient,-0.22484586000000006,agent
17,sells,businessman,easily,This businessman sells something easily.,-0.96212894,-0.5070509,agent,patient,-0.4550780400000001,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.87146163,-0.57412505,agent,patient,-0.29733657999999996,agent
19,sells,trader,easily,This trader sells something easily.,-1.0432163,-0.4661366,agent,patient,-0.5770797000000001,agent
20,sells,peddler,easily,This peddler sells something easily.,-1.1564823,-0.40698013,agent,patient,-0.74950217,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.88730425,-0.5676364,agent,patient,-0.31966785,agent
22,sells,dealer,easily,This dealer sells something easily.,-0.99269885,-0.49341214,agent,patient,-0.49928671,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.83918595,-0.60397935,agent,patient,-0.23520659999999993,agent
