verb,overall_acc,avg_LL_delta
bakes,0.047619047619047616,1.6394572479523806
carves,0.0,2.2692372166875003
cleans,0.0,3.016793495722222
cooks,0.0,2.3844268444444436
cuts,0.0,2.40139184685
drives,0.0,4.910158201916667
embroiders,0.0,2.1242241729285714
flies,0.0,4.361005700500001
knits,0.11428571428571428,1.1199894364571428
packs,0.0,2.3090311589000003
paints,0.020833333333333332,2.304973247229167
performs,0.0,4.688545264153846
photographs,0.0,2.661185181277778
plays,0.0,3.1442977709230773
reads,0.0,2.734872012352941
sculpts,0.0,1.9850228150000002
sells,0.0,3.388545611472222
sews,0.1,2.0064464849
shaves,0.2,0.8906134466666666
stitches,0.14583333333333334,1.4626706763541673
turns,0.0,3.9280969705454543
washes,0.0,3.5888489194615385
writes,0.0,2.5443598770294114
