noun,avg_LL_delta
abstract,-0.3665428757667541
actor,-0.5183324217796326
aircraft,-1.204154074192047
album,-1.1522245407104492
animal,-0.7071256637573242
announcer,-1.189635306596756
artisan,-1.0372590720653532
artist,-0.9386444091796876
author,-0.4656592011451721
aviator,-0.9565467834472656
backpack,-0.8353119492530823
backpacker,-0.578852653503418
bag,-0.8964976668357849
baker,-1.601522475481033
barber,-1.138368546962738
basket,-1.5593814849853518
beard,-0.772740364074707
bedding,-1.467328131198883
bike,-1.2425651550292969
blanket,-1.0746097564697266
blogger,-0.683570921421051
board,-1.165720909833908
book,-1.1042976379394531
bottle,-1.2046756148338318
bowl,-1.5401419997215269
bread,-1.261936217546463
broadcaster,-1.5094985961914062
building,-0.8564291000366211
bus,-1.456526815891266
busboy,-0.8327884376049042
businessman,-0.776946097612381
businesswoman,-0.4041814804077148
butcher,-1.27342888712883
cake,-1.7552632987499242
cameraman,-1.431388795375824
camper,-1.1975736618041992
canvas,-1.295554131269455
captain,-0.3881645798683166
car,-1.1868180632591248
cardboard,-1.1141700744628906
carpet,-1.0118865668773651
carver,-1.1866426765918732
caterer,-1.1184721291065216
cd,-1.0033769011497498
cellist,-0.8777561783790588
cello,-1.4388751685619354
chauffeur,-0.5735129714012146
chef,-1.0016794204711914
choreography,-0.6310338973999023
clarinet,-1.3907279670238497
clarinetist,-1.1120281517505646
clay,-1.0463170409202576
cleaner,-0.2578735947608948
clerk,-0.7010459303855896
cloth,-0.7899590134620667
coat,-1.5540866553783417
code,-0.4406052231788635
comedian,-1.0797004401683807
concerto,-1.099591284990311
confectioner,-1.7519046068191528
container,-1.2069587707519531
convertible,-0.7719250321388245
cook,-1.2388381958007817
cotton,-1.271313637495041
countertop,-0.7921628952026367
crate,-1.3332586586475377
cushion,-1.842483639717102
cut,-0.6203593611717224
dancer,-0.788975715637207
dealer,-0.2130060195922851
dish,-1.3467416763305664
doctor,-1.0664348900318146
dough,-1.1704569160938263
dressmaker,-1.4687375426292415
driver,-0.6914530396461487
drug,-0.6319694519042969
drummer,-1.66326904296875
duffle,-0.6567621827125549
essay,-0.583372175693512
essayist,-0.6648597717285154
fabric,-1.255614310503006
fillet,-1.123524695634842
fish,-1.4694499969482422
floor,-1.202789306640625
flute,-0.99175363779068
flutist,-1.0310172736644745
food,-1.1678839027881622
gem,-1.091151237487793
glass,-1.260756462812424
hairdresser,-1.2189064025878904
handle,-0.7791156768798828
hat,-1.1555776596069336
herb,-0.906431257724762
hiker,-0.8867864906787872
housekeeper,-0.4751129150390625
ice,-0.7552223205566408
illustrator,-0.8344641327857971
ingredient,-0.7068691253662109
instrument,-1.1994867026805878
item,-0.9151382446289062
jacket,-1.3393879532814024
janitor,-0.6321134567260742
jet,-0.8151417374610901
jeweler,-1.3360948860645294
jewelry,-1.132853478193283
journalist,-1.1307439804077148
kite,-0.998230904340744
knob,-1.2414197325706482
lady,-1.1907405555248258
lake,-1.7762747406959534
landscape,-0.5453385710716248
letter,-0.573486328125
line,-0.6572360992431643
lotion,-1.6315470188856125
lunchbox,-1.3676519691944122
machine,-0.7415132522583008
magazine,-1.3897667527198792
maid,-0.5764255523681641
make,-1.0239953994750977
man,-0.8651219010353088
marble,-1.3052920699119568
mason,-0.8364886939525604
material,-0.2127513885498047
