id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-0.3327333927154541,-1.9953463077545168,patient,agent,1.6626129150390627,agent
1,sells,book,easily,This book sells easily.,-0.5098095536231995,-1.4601192474365234,patient,agent,0.950309693813324,patient
2,sells,novel,easily,This novel sells easily.,-1.141385555267334,-1.0176520347595217,patient,patient,-0.12373352050781228,patient
3,sells,magazine,easily,This magazine sells easily.,-0.2594484388828277,-2.3224215507507324,patient,agent,2.0629731118679047,agent
4,sells,hat,easily,This hat sells easily.,-0.1677881032228469,-2.1872429847717285,patient,agent,2.0194548815488815,agent
5,sells,lotion,easily,This lotion sells easily.,-0.1231423914432525,-2.5284464359283447,patient,agent,2.405304044485092,agent
6,sells,album,easily,This album sells easily.,-0.32581228017807,-1.7007513046264648,patient,agent,1.3749390244483948,agent
7,sells,car,easily,This car sells easily.,-0.2475403398275375,-1.8574951887130733,patient,agent,1.6099548488855357,agent
8,sells,suv,easily,This SUV sells easily.,-0.3620410859584808,-1.4280201196670532,patient,agent,1.0659790337085724,patient
9,sells,product,easily,This product sells easily.,-1.1661105155944824,-2.209163188934326,patient,agent,1.0430526733398438,patient
10,sells,make,easily,This make sells easily.,-0.2950852513313293,-1.8675568103790283,patient,agent,1.572471559047699,agent
11,sells,item,easily,This item sells easily.,-0.3839900493621826,-2.3351619243621826,patient,agent,1.951171875,agent
12,sells,cd,easily,This CD sells easily.,-0.7878952622413635,-0.705696165561676,patient,patient,-0.0821990966796875,patient
13,sells,drug,easily,This drug sells easily.,-1.3443126678466797,-1.7710628509521484,patient,agent,0.42675018310546875,patient
14,sells,snack,easily,This snack sells easily.,-0.5061225891113281,-1.6252832412719729,patient,agent,1.1191606521606448,agent
15,sells,salesman,easily,This salesman sells easily.,-0.2063070088624954,-3.162516117095948,agent,agent,2.9562091082334527,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.1070938035845756,-2.8719406127929688,agent,agent,2.764846809208393,agent
17,sells,businessman,easily,This businessman sells easily.,-0.1723930984735489,-3.4313652515411377,agent,agent,3.258972153067589,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.1665592491626739,-2.782892227172852,agent,agent,2.616332978010178,agent
19,sells,trader,easily,This trader sells easily.,-0.0929538011550903,-3.677998542785645,agent,agent,3.5850447416305546,agent
20,sells,peddler,easily,This peddler sells easily.,-0.1868389546871185,-2.4548747539520264,agent,agent,2.268035799264908,agent
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.2898101210594177,-1.8518218994140625,agent,agent,1.5620117783546448,agent
22,sells,dealer,easily,This dealer sells easily.,-0.1872290074825287,-3.208102941513061,agent,agent,3.0208739340305324,agent
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-0.0901739597320556,-2.893152475357056,agent,agent,2.8029785156250004,agent
24,sells,toy,well,This toy sells well.,-0.2357566058635711,-2.1503913402557373,patient,agent,1.9146347343921661,agent
25,sells,book,well,This book sells well.,-0.3888884782791137,-1.549784779548645,patient,agent,1.1608963012695312,agent
26,sells,novel,well,This novel sells well.,-1.0267726182937622,-0.9436808824539183,patient,patient,-0.08309173583984386,patient
27,sells,magazine,well,This magazine sells well.,-0.1964679658412933,-2.492122173309326,patient,agent,2.295654207468033,agent
28,sells,hat,well,This hat sells well.,-0.1290230005979538,-2.402140140533448,patient,agent,2.2731171399354944,agent
29,sells,lotion,well,This lotion sells well.,-0.1072186827659607,-2.607234001159668,patient,agent,2.5000153183937073,agent
30,sells,album,well,This album sells well.,-0.2692655920982361,-1.8098540306091309,patient,agent,1.5405884385108948,agent
31,sells,car,well,This car sells well.,-0.2165508568286895,-1.941816329956055,patient,agent,1.7252654731273653,agent
32,sells,suv,well,This SUV sells well.,-0.2958423197269439,-1.577321171760559,patient,agent,1.2814788520336151,agent
33,sells,product,well,This product sells well.,-0.9240019917488098,-2.074735879898072,patient,agent,1.1507338881492624,agent
34,sells,make,well,This make sells well.,-0.2687453627586365,-1.9229888916015625,patient,agent,1.654243528842926,agent
35,sells,item,well,This item sells well.,-0.3065015375614166,-2.3343489170074463,patient,agent,2.0278473794460297,agent
36,sells,cd,well,This CD sells well.,-0.6887015104293823,-0.7839163541793823,patient,agent,0.09521484375,patient
37,sells,drug,well,This drug sells well.,-1.178733229637146,-1.6329416036605835,patient,agent,0.4542083740234375,patient
38,sells,snack,well,This snack sells well.,-0.3899421393871307,-1.7490386962890625,patient,agent,1.3590965569019318,agent
39,sells,salesman,well,This salesman sells well.,-0.17376010119915,-3.1296145915985107,agent,agent,2.9558544903993607,agent
40,sells,saleswoman,well,This saleswoman sells well.,-0.0943707153201103,-2.900599241256714,agent,agent,2.8062285259366035,agent
41,sells,businessman,well,This businessman sells well.,-0.1512353122234344,-3.397878408432007,agent,agent,3.2466430962085724,agent
42,sells,businesswoman,well,This businesswoman sells well.,-0.131537064909935,-2.876211643218994,agent,agent,2.744674578309059,agent
43,sells,trader,well,This trader sells well.,-0.0779384523630142,-3.6905789375305176,agent,agent,3.6126404851675034,agent
44,sells,peddler,well,This peddler sells well.,-0.1368473172187805,-2.6653430461883545,agent,agent,2.528495728969574,agent
45,sells,telemarketer,well,This telemarketer sells well.,-0.2643693387508392,-1.8960479497909544,agent,agent,1.6316786110401151,agent
46,sells,dealer,well,This dealer sells well.,-0.1536944210529327,-3.253166437149048,agent,agent,3.099472016096115,agent
