verb,overall_acc,avg_LL_delta
bakes,0.9285714285714286,-0.7268018966666666
carves,0.8333333333333334,-0.36453981291666676
cleans,0.9444444444444444,-0.5157065248148146
cooks,0.9333333333333333,-0.6008206131111111
cuts,0.725,-0.4296135925000001
drives,0.6111111111111112,-0.021551668333333315
embroiders,1.0,-0.9570025542857143
flies,0.6666666666666666,-0.06059694916666667
knits,1.0,-0.9536612259999998
packs,1.0,-0.7364917605
paints,0.9583333333333334,-0.7054147079166665
performs,0.7692307692307693,-0.28460739
photographs,1.0,-0.7140356016666666
plays,0.8461538461538461,-0.3965596826923078
reads,0.9705882352941176,-0.7595735808823532
sculpts,1.0,-0.5483982060000001
sells,0.6805555555555556,-0.17972868513888884
sews,1.0,-1.0930569915
shaves,0.8,-0.3696036446666666
stitches,1.0,-0.961948450416667
turns,0.8409090909090909,-0.2581481263636362
washes,0.9615384615384616,-0.5264027569230768
writes,0.7058823529411765,-0.24944450088235293
