id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-2.2112668,-0.121740654,patient,patient,-2.0895261460000003,patient
1,sells,book,easily,This book sells easily.,-1.2737027,-0.3478242,patient,patient,-0.9258785,patient
2,sells,novel,easily,This novel sells easily.,-0.5214387,-0.93042874,patient,agent,0.40899003999999994,patient
3,sells,magazine,easily,This magazine sells easily.,-2.0967023,-0.13906655,patient,patient,-1.9576357500000001,patient
4,sells,hat,easily,This hat sells easily.,-2.2201664,-0.12074796,patient,patient,-2.09941844,patient
5,sells,lotion,easily,This lotion sells easily.,-2.2822163,-0.114164576,patient,patient,-2.168051724,patient
6,sells,album,easily,This album sells easily.,-1.6110282,-0.23208496,patient,patient,-1.37894324,patient
7,sells,car,easily,This car sells easily.,-1.6779566,-0.21541809,patient,patient,-1.46253851,patient
8,sells,suv,easily,This SUV sells easily.,-1.7311043,-0.20331536,patient,patient,-1.52778894,patient
9,sells,product,easily,This product sells easily.,-0.6885326,-0.73294425,patient,agent,0.044411649999999914,patient
10,sells,make,easily,This make sells easily.,-1.2228591,-0.3603418,patient,patient,-0.8625172999999999,patient
11,sells,item,easily,This item sells easily.,-0.64479774,-0.772367,patient,agent,0.12756926000000002,patient
12,sells,cd,easily,This CD sells easily.,-1.8856397,-0.17386974,patient,patient,-1.71176996,patient
13,sells,drug,easily,This drug sells easily.,-1.083751,-0.4294972,patient,patient,-0.6542537999999999,patient
14,sells,snack,easily,This snack sells easily.,-2.358571,-0.10888674,patient,patient,-2.24968426,patient
15,sells,salesman,easily,This salesman sells easily.,-1.8635923,-0.17892565,agent,patient,-1.68466665,patient
16,sells,saleswoman,easily,This saleswoman sells easily.,-2.474977,-0.097647145,agent,patient,-2.377329855,patient
17,sells,businessman,easily,This businessman sells easily.,-1.5441281,-0.25828627,agent,patient,-1.28584183,patient
18,sells,businesswoman,easily,This businesswoman sells easily.,-2.4620285,-0.10280692,agent,patient,-2.3592215800000003,patient
19,sells,trader,easily,This trader sells easily.,-2.388322,-0.10495588,agent,patient,-2.28336612,patient
20,sells,peddler,easily,This peddler sells easily.,-3.377427,-0.038851015,agent,patient,-3.338575985,patient
21,sells,telemarketer,easily,This telemarketer sells easily.,-2.363546,-0.10777537,agent,patient,-2.2557706299999998,patient
22,sells,dealer,easily,This dealer sells easily.,-1.7439418,-0.20618393,agent,patient,-1.53775787,patient
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-3.2755065,-0.04441783,agent,patient,-3.23108867,patient
24,sells,toy,well,This toy sells well.,-1.9016409,-0.17146873,patient,patient,-1.7301721700000001,patient
25,sells,book,well,This book sells well.,-0.92243075,-0.5414702,patient,patient,-0.38096054999999995,patient
26,sells,novel,well,This novel sells well.,-0.3652273,-1.2407491,patient,agent,0.8755218,patient
27,sells,magazine,well,This magazine sells well.,-1.6638111,-0.2263826,patient,patient,-1.4374285,patient
28,sells,hat,well,This hat sells well.,-2.4787447,-0.09453044,patient,patient,-2.3842142600000003,patient
29,sells,lotion,well,This lotion sells well.,-2.4564888,-0.097210154,patient,patient,-2.359278646,patient
30,sells,album,well,This album sells well.,-1.2006114,-0.3771374,patient,patient,-0.823474,patient
31,sells,car,well,This car sells well.,-1.300441,-0.3359435,patient,patient,-0.9644975,patient
32,sells,suv,well,This SUV sells well.,-1.7994038,-0.19510065,patient,patient,-1.6043031500000002,patient
33,sells,product,well,This product sells well.,-0.5627313,-0.90446234,patient,agent,0.34173104,patient
34,sells,make,well,This make sells well.,-0.83682,-0.5894627,patient,patient,-0.2473573,patient
35,sells,item,well,This item sells well.,-0.49665073,-0.9824829,patient,agent,0.48583217000000006,patient
36,sells,cd,well,This CD sells well.,-1.8535068,-0.18345137,patient,patient,-1.67005543,patient
37,sells,drug,well,This drug sells well.,-1.0389422,-0.4564827,patient,patient,-0.5824594999999999,patient
38,sells,snack,well,This snack sells well.,-2.3000438,-0.11846243,patient,patient,-2.18158137,patient
39,sells,salesman,well,This salesman sells well.,-1.2117395,-0.37720197,agent,patient,-0.83453753,patient
40,sells,saleswoman,well,This saleswoman sells well.,-1.6235582,-0.2493944,agent,patient,-1.3741638,patient
41,sells,businessman,well,This businessman sells well.,-1.1567543,-0.42544913,agent,patient,-0.73130517,patient
42,sells,businesswoman,well,This businesswoman sells well.,-1.8142148,-0.2137785,agent,patient,-1.6004363,patient
43,sells,trader,well,This trader sells well.,-1.8149276,-0.20026918,agent,patient,-1.61465842,patient
