id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-2.8915992,-0.069730096,patient,patient,-2.821869104,patient
1,sells,book,easily,This book sells easily.,-2.433221,-0.116155,patient,patient,-2.317066,patient
2,sells,novel,easily,This novel sells easily.,-2.0470932,-0.15544012,patient,patient,-1.89165308,agent
3,sells,magazine,easily,This magazine sells easily.,-2.20927,-0.1341434,patient,patient,-2.0751266,agent
4,sells,hat,easily,This hat sells easily.,-2.5813937,-0.09623487,patient,patient,-2.48515883,patient
5,sells,lotion,easily,This lotion sells easily.,-2.963641,-0.06834116,patient,patient,-2.89529984,patient
6,sells,album,easily,This album sells easily.,-3.4655159,-0.044537473,patient,patient,-3.420978427,patient
7,sells,car,easily,This car sells easily.,-1.899045,-0.19294648,patient,patient,-1.70609852,agent
8,sells,suv,easily,This SUV sells easily.,-1.6971607,-0.23021123,patient,patient,-1.4669494699999999,agent
9,sells,product,easily,This product sells easily.,-2.1299248,-0.17917447,patient,patient,-1.95075033,agent
10,sells,make,easily,This make sells easily.,-1.7841188,-0.25461966,patient,patient,-1.52949914,agent
11,sells,item,easily,This item sells easily.,-2.8979661,-0.079585895,patient,patient,-2.818380205,patient
12,sells,cd,easily,This CD sells easily.,-2.934801,-0.07792867,patient,patient,-2.8568723300000003,patient
13,sells,drug,easily,This drug sells easily.,-2.9347,-0.08437174,patient,patient,-2.85032826,patient
14,sells,snack,easily,This snack sells easily.,-2.8042881,-0.07924581,patient,patient,-2.7250422899999998,patient
15,sells,salesman,easily,This salesman sells easily.,-0.7659446,-3.0644064,agent,agent,2.2984618,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.7345541,-1.1185378,agent,agent,0.38398369999999993,agent
17,sells,businessman,easily,This businessman sells easily.,-0.48084587,-2.6351578,agent,agent,2.15431193,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-1.3667862,-0.66964453,agent,patient,-0.6971416699999999,agent
19,sells,trader,easily,This trader sells easily.,-0.5803306,-1.200362,agent,agent,0.6200313999999999,agent
20,sells,peddler,easily,This peddler sells easily.,-1.517414,-0.46337116,agent,patient,-1.0540428400000001,agent
21,sells,telemarketer,easily,This telemarketer sells easily.,-1.0236691,-0.576745,agent,patient,-0.44692410000000005,agent
22,sells,dealer,easily,This dealer sells easily.,-0.9848911,-0.72298545,agent,patient,-0.26190565,agent
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-1.653046,-0.38929573,agent,patient,-1.26375027,agent
24,sells,toy,well,This toy sells well.,-3.1510646,-0.055901423,patient,patient,-3.0951631770000003,patient
25,sells,book,well,This book sells well.,-2.621614,-0.100793555,patient,patient,-2.520820445,patient
26,sells,novel,well,This novel sells well.,-2.2728252,-0.1290609,patient,patient,-2.1437643000000004,agent
27,sells,magazine,well,This magazine sells well.,-2.4836059,-0.10550663,patient,patient,-2.3780992700000003,patient
28,sells,hat,well,This hat sells well.,-3.0273654,-0.06510054,patient,patient,-2.96226486,patient
29,sells,lotion,well,This lotion sells well.,-3.3473756,-0.053310417,patient,patient,-3.294065183,patient
30,sells,album,well,This album sells well.,-3.6841629,-0.03961473,patient,patient,-3.64454817,patient
31,sells,car,well,This car sells well.,-1.9576523,-0.18850258,patient,patient,-1.76914972,agent
32,sells,suv,well,This SUV sells well.,-1.7052103,-0.23736821,patient,patient,-1.46784209,agent
33,sells,product,well,This product sells well.,-2.382119,-0.15657103,patient,patient,-2.22554797,agent
34,sells,make,well,This make sells well.,-1.9917614,-0.22121175,patient,patient,-1.77054965,agent
35,sells,item,well,This item sells well.,-3.0649667,-0.072933756,patient,patient,-2.992032944,patient
36,sells,cd,well,This CD sells well.,-3.055203,-0.07443512,patient,patient,-2.98076788,patient
37,sells,drug,well,This drug sells well.,-3.055724,-0.08416838,patient,patient,-2.97155562,patient
38,sells,snack,well,This snack sells well.,-3.093286,-0.06351814,patient,patient,-3.0297678599999998,patient
39,sells,salesman,well,This salesman sells well.,-0.9577286,-3.286704,agent,agent,2.3289754,agent
40,sells,saleswoman,well,This saleswoman sells well.,-0.7825598,-1.0755838,agent,agent,0.29302399999999995,agent
41,sells,businessman,well,This businessman sells well.,-0.64412236,-2.8829339,agent,agent,2.23881154,agent
42,sells,businesswoman,well,This businesswoman sells well.,-1.4625732,-0.6606341,agent,patient,-0.8019391,agent
43,sells,trader,well,This trader sells well.,-0.74652076,-1.0759903,agent,agent,0.32946953999999995,agent
44,sells,peddler,well,This peddler sells well.,-1.6118189,-0.42287326,agent,patient,-1.18894564,agent
45,sells,telemarketer,well,This telemarketer sells well.,-1.062222,-0.55641425,agent,patient,-0.50580775,agent
46,sells,dealer,well,This dealer sells well.,-1.1333989,-0.7510403,agent,patient,-0.3823586,agent
