id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-0.7953710556030273,-0.7074174880981445,agent,patient,-0.08795356750488281,agent
1,sells,book,easily,This book sells something easily.,-0.190347746014595,-1.9837619066238403,agent,agent,1.7934141606092453,agent
2,sells,novel,easily,This novel sells something easily.,-0.2616462409496307,-1.6784420013427734,agent,agent,1.4167957603931427,agent
3,sells,magazine,easily,This magazine sells something easily.,-0.4116253554821014,-1.2883048057556152,agent,agent,0.8766794502735138,agent
4,sells,hat,easily,This hat sells something easily.,-0.5282200574874878,-0.9755438566207886,agent,agent,0.4473237991333008,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.3286992013454437,-1.4590712785720823,agent,agent,1.1303720772266386,agent
6,sells,album,easily,This album sells something easily.,-0.583531379699707,-0.9335603713989258,agent,agent,0.35002899169921875,agent
7,sells,car,easily,This car sells something easily.,-0.3123958706855774,-1.5650031566619873,agent,agent,1.25260728597641,agent
8,sells,suv,easily,This SUV sells something easily.,-0.5966461300849915,-0.9335325360298156,agent,agent,0.3368864059448241,agent
9,sells,product,easily,This product sells something easily.,-0.316256046295166,-1.5413289070129397,agent,agent,1.2250728607177737,agent
10,sells,make,easily,This make sells something easily.,-0.6057460308074951,-0.9962918758392334,agent,agent,0.3905458450317383,agent
11,sells,item,easily,This item sells something easily.,-0.2500919997692108,-1.7920184135437012,agent,agent,1.5419264137744904,agent
12,sells,cd,easily,This CD sells something easily.,-0.4647715985774994,-1.1635373830795288,agent,agent,0.6987657845020294,agent
13,sells,drug,easily,This drug sells something easily.,-0.3070889711380005,-1.619547963142395,agent,agent,1.3124589920043945,agent
14,sells,snack,easily,This snack sells something easily.,-0.6954670548439026,-0.888395369052887,agent,agent,0.19292831420898438,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.2505403757095337,-1.706098198890686,agent,agent,1.4555578231811523,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.374267041683197,-1.326219081878662,agent,agent,0.9519520401954651,agent
17,sells,businessman,easily,This businessman sells something easily.,-0.3741564452648163,-1.5317740440368652,agent,agent,1.157617598772049,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.4913953840732574,-1.1858018636703491,agent,agent,0.6944064795970917,agent
19,sells,trader,easily,This trader sells something easily.,-0.2884481251239776,-1.649078130722046,agent,agent,1.3606300055980682,agent
20,sells,peddler,easily,This peddler sells something easily.,-0.7372121810913086,-0.845372200012207,agent,agent,0.10816001892089844,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.4113703668117523,-1.2815409898757937,agent,agent,0.8701706230640414,agent
22,sells,dealer,easily,This dealer sells something easily.,-0.3187850415706634,-1.433850646018982,agent,agent,1.1150656044483185,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.3890021741390228,-1.4283450841903689,agent,agent,1.039342910051346,agent
24,sells,toy,well,This toy sells something well.,-0.8315369486808777,-0.7646147608757019,agent,patient,-0.06692218780517578,agent
25,sells,book,well,This book sells something well.,-0.2533525228500366,-1.80705201625824,agent,agent,1.5536994934082033,agent
26,sells,novel,well,This novel sells something well.,-0.3568622171878814,-1.615413784980774,agent,agent,1.2585515677928925,agent
27,sells,magazine,well,This magazine sells something well.,-0.5551922917366028,-1.2897007465362549,agent,agent,0.7345084547996521,agent
28,sells,hat,well,This hat sells something well.,-0.7785108089447021,-0.8015601634979248,agent,agent,0.023049354553222656,agent
29,sells,lotion,well,This lotion sells something well.,-0.400718629360199,-1.471592903137207,agent,agent,1.070874273777008,agent
30,sells,album,well,This album sells something well.,-0.7326100468635559,-0.8265326619148254,agent,agent,0.09392261505126953,agent
31,sells,car,well,This car sells something well.,-0.3457746505737304,-1.565107345581055,agent,agent,1.2193326950073244,agent
32,sells,suv,well,This SUV sells something well.,-0.5602016448974609,-1.0918645858764648,agent,agent,0.5316629409790039,agent
33,sells,product,well,This product sells something well.,-0.3039026260375976,-1.649327278137207,agent,agent,1.3454246520996094,agent
34,sells,make,well,This make sells something well.,-0.5699963569641113,-1.2274470329284668,agent,agent,0.6574506759643555,agent
35,sells,item,well,This item sells something well.,-0.2890141904354095,-1.7359861135482788,agent,agent,1.4469719231128693,agent
36,sells,cd,well,This CD sells something well.,-0.6681448817253113,-1.0368525981903076,agent,agent,0.36870771646499634,agent
37,sells,drug,well,This drug sells something well.,-0.3620795309543609,-1.6145485639572144,agent,agent,1.2524690330028534,agent
38,sells,snack,well,This snack sells something well.,-0.8629425168037415,-0.9294727444648744,agent,agent,0.06653022766113292,agent
39,sells,salesman,well,This salesman sells something well.,-0.2422281205654144,-1.765363335609436,agent,agent,1.5231352150440216,agent
40,sells,saleswoman,well,This saleswoman sells something well.,-0.4130555391311645,-1.2613106966018677,agent,agent,0.8482551574707031,agent
41,sells,businessman,well,This businessman sells something well.,-0.3612672388553619,-1.5960694551467896,agent,agent,1.2348022162914276,agent
42,sells,businesswoman,well,This businesswoman sells something well.,-0.499416172504425,-1.2129733562469482,agent,agent,0.7135571837425232,agent
43,sells,trader,well,This trader sells something well.,-0.3342627882957458,-1.5477161407470703,agent,agent,1.2134533524513245,agent
44,sells,peddler,well,This peddler sells something well.,-0.9156075716018676,-0.7522631883621216,agent,patient,-0.16334438323974598,agent
45,sells,telemarketer,well,This telemarketer sells something well.,-0.4381652176380157,-1.2663350105285645,agent,agent,0.8281697928905487,agent
46,sells,dealer,well,This dealer sells something well.,-0.3155726790428161,-1.4597892761230469,agent,agent,1.1442165970802307,agent
47,sells,shopkeeper,well,This shopkeeper sells something well.,-0.4340206980705261,-1.389796018600464,agent,agent,0.955775320529938,agent
48,sells,toy,quickly,This toy sells something quickly.,-0.8737723231315613,-0.6286951899528503,agent,patient,-0.24507713317871094,agent
49,sells,book,quickly,This book sells something quickly.,-0.2500711381435394,-1.6747366189956665,agent,agent,1.424665480852127,agent
50,sells,novel,quickly,This novel sells something quickly.,-0.373727798461914,-1.3236112594604492,agent,agent,0.9498834609985352,agent
51,sells,magazine,quickly,This magazine sells something quickly.,-0.5899688005447388,-0.9443331956863404,agent,agent,0.3543643951416017,agent
52,sells,hat,quickly,This hat sells something quickly.,-0.6169821619987488,-0.8494526743888855,agent,agent,0.23247051239013672,agent
53,sells,lotion,quickly,This lotion sells something quickly.,-0.4220145642757416,-1.212267279624939,agent,agent,0.7902527153491974,agent
54,sells,album,quickly,This album sells something quickly.,-0.7191746234893799,-0.7539541721343994,agent,agent,0.03477954864501953,agent
55,sells,car,quickly,This car sells something quickly.,-0.3745547235012054,-1.37047016620636,agent,agent,0.9959154427051546,agent
56,sells,suv,quickly,This SUV sells something quickly.,-0.6962586045265198,-0.8111801743507385,agent,agent,0.11492156982421875,agent
57,sells,product,quickly,This product sells something quickly.,-0.3708945512771606,-1.354639172554016,agent,agent,0.9837446212768552,agent
