verb,overall_acc,avg_LL_delta
bakes,0.9761904761904762,-14.263600020704521
carves,1.0,-17.449799400287084
cleans,1.0,-14.999574014492223
cooks,1.0,-16.212574670742445
cuts,1.0,-16.841378896952747
drives,1.0,-14.566209239647227
embroiders,0.9285714285714286,-12.619894367461429
flies,0.875,-11.155255358632084
knits,1.0,-15.174509560544
packs,1.0,-16.201152094266
paints,1.0,-15.850565198205823
performs,0.9230769230769231,-10.624464708517694
photographs,1.0,-15.745831104553892
plays,0.8846153846153846,-8.765724906006922
reads,1.0,-16.301189348478818
sculpts,1.0,-17.605298118744997
sells,1.0,-14.596884792446392
sews,0.9,-14.176629488199001
shaves,1.0,-11.947052359113334
stitches,0.9791666666666666,-14.411618331864796
turns,1.0,-14.99336982747614
washes,1.0,-16.332369909838075
writes,1.0,-13.325511836157645
