verb,overall_acc,avg_LL_delta
bakes,1.0,-1.875972211928571
carves,0.9791666666666666,-1.5644734820833335
cleans,1.0,-1.7621284549074074
cooks,1.0,-2.045049487177778
cuts,1.0,-1.528071042
drives,1.0,-1.2148240216666666
embroiders,1.0,-1.9367182362142865
flies,1.0,-0.9751799516666667
knits,1.0,-2.0347203279714288
packs,1.0,-2.17433431665
paints,1.0,-1.8104521283541668
performs,1.0,-1.0164027692307693
photographs,1.0,-2.176052125277778
plays,1.0,-1.1892380384615384
reads,1.0,-1.972880768794118
sculpts,1.0,-1.4457864968333332
sells,1.0,-1.774601893055555
sews,1.0,-1.81382679775
shaves,1.0,-1.5977933253333332
stitches,1.0,-1.6997397245624999
turns,1.0,-1.130643753181818
washes,1.0,-1.9038485065384614
writes,1.0,-1.1843843844117645
