id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,This toy sells something easily.,-2.384843,-0.106360786,agent,patient,-2.278482214
1,sells,book,easily,This book sells something easily.,-1.0835887,-0.44541568,agent,patient,-0.63817302
2,sells,novel,easily,This novel sells something easily.,-0.43943462,-1.0937859,agent,agent,0.6543512800000001
3,sells,magazine,easily,This magazine sells something easily.,-2.004409,-0.16173209,agent,patient,-1.8426769099999998
4,sells,hat,easily,This hat sells something easily.,-1.7104158,-0.21698758,agent,patient,-1.49342822
5,sells,lotion,easily,This lotion sells something easily.,-2.202681,-0.1294665,agent,patient,-2.0732145
6,sells,album,easily,This album sells something easily.,-0.8085927,-0.62883085,agent,patient,-0.17976185
7,sells,car,easily,This car sells something easily.,-1.2769384,-0.34784707,agent,patient,-0.9290913299999999
8,sells,suv,easily,This SUV sells something easily.,-1.6290883,-0.24467665,agent,patient,-1.38441165
9,sells,product,easily,This product sells something easily.,-0.4908944,-1.1332026,agent,agent,0.6423082
10,sells,make,easily,This make sells something easily.,-0.5059498,-0.9851549,agent,agent,0.47920509999999994
11,sells,item,easily,This item sells something easily.,-0.34341195,-1.3278452,agent,agent,0.98443325
12,sells,cd,easily,This CD sells something easily.,-1.0843122,-0.44759345,agent,patient,-0.63671875
13,sells,drug,easily,This drug sells something easily.,-0.9255747,-0.53296703,agent,patient,-0.39260766999999996
14,sells,snack,easily,This snack sells something easily.,-2.6611962,-0.089542754,agent,patient,-2.571653446
15,sells,salesman,easily,This salesman sells something easily.,-1.8114103,-0.20255598,agent,patient,-1.6088543199999998
16,sells,saleswoman,easily,This saleswoman sells something easily.,-2.893062,-0.07408563,agent,patient,-2.81897637
17,sells,businessman,easily,This businessman sells something easily.,-2.2439013,-0.14806075,agent,patient,-2.09584055
18,sells,businesswoman,easily,This businesswoman sells something easily.,-2.6121845,-0.09720714,agent,patient,-2.51497736
19,sells,trader,easily,This trader sells something easily.,-2.5009341,-0.10730805,agent,patient,-2.39362605
20,sells,peddler,easily,This peddler sells something easily.,-3.1431255,-0.053885642,agent,patient,-3.089239858
21,sells,telemarketer,easily,This telemarketer sells something easily.,-2.4329622,-0.109749705,agent,patient,-2.323212495
22,sells,dealer,easily,This dealer sells something easily.,-2.2980847,-0.1409088,agent,patient,-2.1571759
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-3.9964929,-0.027926032,agent,patient,-3.968566868
24,sells,toy,well,This toy sells something well.,-1.9356661,-0.16840081,agent,patient,-1.7672652899999999
25,sells,book,well,This book sells something well.,-0.97334635,-0.5096508,agent,patient,-0.46369555000000007
26,sells,novel,well,This novel sells something well.,-0.3972805,-1.1761607,agent,agent,0.7788802000000001
27,sells,magazine,well,This magazine sells something well.,-1.7947057,-0.19915533,agent,patient,-1.59555037
28,sells,hat,well,This hat sells something well.,-1.5677173,-0.25205594,agent,patient,-1.31566136
29,sells,lotion,well,This lotion sells something well.,-1.9870636,-0.16083284,agent,patient,-1.8262307599999998
30,sells,album,well,This album sells something well.,-0.5876862,-0.8652827,agent,agent,0.2775964999999999
31,sells,car,well,This car sells something well.,-1.0901248,-0.43593937,agent,patient,-0.6541854299999998
32,sells,suv,well,This SUV sells something well.,-1.5404243,-0.27012828,agent,patient,-1.27029602
33,sells,product,well,This product sells something well.,-0.48961544,-1.0714808,agent,agent,0.58186536
34,sells,make,well,This make sells something well.,-0.50153524,-0.98905826,agent,agent,0.4875230199999999
35,sells,item,well,This item sells something well.,-0.3286498,-1.3542874,agent,agent,1.0256376
36,sells,cd,well,This CD sells something well.,-0.8911916,-0.56762713,agent,patient,-0.32356447
37,sells,drug,well,This drug sells something well.,-0.81521493,-0.6139592,agent,patient,-0.20125572999999997
38,sells,snack,well,This snack sells something well.,-2.449399,-0.10754975,agent,patient,-2.34184925
39,sells,salesman,well,This salesman sells something well.,-1.8188926,-0.1973068,agent,patient,-1.6215858
40,sells,saleswoman,well,This saleswoman sells something well.,-2.5908806,-0.09852342,agent,patient,-2.4923571800000004
41,sells,businessman,well,This businessman sells something well.,-1.9924573,-0.18667677,agent,patient,-1.80578053
42,sells,businesswoman,well,This businesswoman sells something well.,-2.234903,-0.13956054,agent,patient,-2.09534246
43,sells,trader,well,This trader sells something well.,-2.1907783,-0.14566673,agent,patient,-2.04511157
44,sells,peddler,well,This peddler sells something well.,-2.9392562,-0.0639216,agent,patient,-2.8753346
45,sells,telemarketer,well,This telemarketer sells something well.,-1.8761463,-0.18851964,agent,patient,-1.68762666
46,sells,dealer,well,This dealer sells something well.,-2.1657994,-0.15718089,agent,patient,-2.0086185100000002
47,sells,shopkeeper,well,This shopkeeper sells something well.,-3.6431017,-0.037085667,agent,patient,-3.606016033
48,sells,toy,quickly,This toy sells something quickly.,-2.786845,-0.07227689,agent,patient,-2.71456811
49,sells,book,quickly,This book sells something quickly.,-1.4921335,-0.27678156,agent,patient,-1.2153519400000001
