id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-0.9623390436172484,-0.5986381769180298,patient,patient,-0.36370086669921864,patient
1,sells,book,easily,This book sells easily.,-0.334350436925888,-1.4808348417282104,patient,agent,1.1464844048023224,agent
2,sells,novel,easily,This novel sells easily.,-0.4804324209690094,-1.111871600151062,patient,agent,0.6314391791820526,agent
3,sells,magazine,easily,This magazine sells easily.,-0.313047856092453,-1.502912998199463,patient,agent,1.1898651421070099,agent
4,sells,hat,easily,This hat sells easily.,-0.3632235527038574,-1.388293743133545,patient,agent,1.0250701904296875,agent
5,sells,lotion,easily,This lotion sells easily.,-0.5435541868209839,-0.975316882133484,patient,agent,0.4317626953125001,agent
6,sells,album,easily,This album sells easily.,-0.7380979657173157,-0.7564237713813782,patient,agent,0.0183258056640625,patient
7,sells,car,easily,This car sells easily.,-0.665508508682251,-0.931469202041626,patient,agent,0.265960693359375,agent
8,sells,suv,easily,This SUV sells easily.,-1.3719992637634275,-0.3722128570079803,patient,patient,-0.9997864067554472,patient
9,sells,product,easily,This product sells easily.,-0.4491236507892608,-1.202343225479126,patient,agent,0.7532195746898651,agent
10,sells,make,easily,This make sells easily.,-0.4544394314289093,-1.150697946548462,patient,agent,0.6962585151195526,agent
11,sells,item,easily,This item sells easily.,-0.3194373548030853,-1.6614402532577517,patient,agent,1.3420028984546664,agent
12,sells,cd,easily,This CD sells easily.,-1.0744807720184326,-0.5774866938591003,patient,patient,-0.4969940781593323,patient
13,sells,drug,easily,This drug sells easily.,-0.770544707775116,-0.8340441584587097,patient,agent,0.06349945068359375,patient
14,sells,snack,easily,This snack sells easily.,-0.4943633377552032,-1.0727324485778809,patient,agent,0.5783691108226776,agent
15,sells,salesman,easily,This salesman sells easily.,-0.2639627456665039,-1.655320167541504,agent,agent,1.391357421875,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.1210776343941688,-2.506178855895996,agent,agent,2.3851012215018272,agent
17,sells,businessman,easily,This businessman sells easily.,-0.4956881403923034,-1.1144626140594482,agent,agent,0.6187744736671448,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.4596690535545349,-1.214216232299805,agent,agent,0.75454717874527,agent
19,sells,trader,easily,This trader sells easily.,-0.416682481765747,-1.2817490100860596,agent,agent,0.8650665283203125,agent
20,sells,peddler,easily,This peddler sells easily.,-0.5407295227050781,-1.051898956298828,agent,agent,0.5111694335937498,agent
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.3658419847488403,-1.4188205003738403,agent,agent,1.052978515625,agent
22,sells,dealer,easily,This dealer sells easily.,-0.5037420988082886,-1.095165133476257,agent,agent,0.5914230346679685,agent
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-0.3646407425403595,-1.401963710784912,agent,agent,1.0373229682445526,agent
24,sells,toy,well,This toy sells well.,-0.9807202219963074,-0.5900723338127136,patient,patient,-0.39064788818359375,patient
25,sells,book,well,This book sells well.,-0.3485559523105621,-1.4396814107894895,patient,agent,1.0911254584789274,agent
26,sells,novel,well,This novel sells well.,-0.492575466632843,-1.0903384685516355,patient,agent,0.5977630019187925,agent
27,sells,magazine,well,This magazine sells well.,-0.3439223170280456,-1.4118545055389404,patient,agent,1.0679321885108948,agent
28,sells,hat,well,This hat sells well.,-0.3843439221382141,-1.3414056301116943,patient,agent,0.9570617079734802,agent
29,sells,lotion,well,This lotion sells well.,-0.5792556405067444,-0.9291701912879944,patient,agent,0.34991455078125,agent
30,sells,album,well,This album sells well.,-0.7666828632354736,-0.7306110858917236,patient,patient,-0.03607177734375,patient
31,sells,car,well,This car sells well.,-0.7000440359115601,-0.9010175466537476,patient,agent,0.2009735107421875,patient
32,sells,suv,well,This SUV sells well.,-1.42619788646698,-0.3565872609615326,patient,patient,-1.0696106255054474,patient
33,sells,product,well,This product sells well.,-0.4631545543670654,-1.177677869796753,patient,agent,0.7145233154296875,agent
34,sells,make,well,This make sells well.,-0.4897215068340301,-1.09694504737854,patient,agent,0.6072235405445099,agent
35,sells,item,well,This item sells well.,-0.3323642611503601,-1.6162159442901611,patient,agent,1.283851683139801,agent
36,sells,cd,well,This CD sells well.,-1.1233216524124146,-0.550033688545227,patient,patient,-0.5732879638671875,patient
37,sells,drug,well,This drug sells well.,-0.7726350426673889,-0.8300462365150452,patient,agent,0.05741119384765625,patient
38,sells,snack,well,This snack sells well.,-0.5334742069244385,-1.015514612197876,patient,agent,0.4820404052734375,agent
39,sells,salesman,well,This salesman sells well.,-0.2857114970684051,-1.5824949741363523,agent,agent,1.2967834770679472,agent
40,sells,saleswoman,well,This saleswoman sells well.,-0.1254631876945495,-2.469960927963257,agent,agent,2.3444977402687073,agent
41,sells,businessman,well,This businessman sells well.,-0.5019024610519409,-1.1059521436691284,agent,agent,0.6040496826171875,agent
42,sells,businesswoman,well,This businesswoman sells well.,-0.4718751311302185,-1.1981477737426758,agent,agent,0.7262726426124573,agent
43,sells,trader,well,This trader sells well.,-0.4444695115089416,-1.2272377014160156,agent,agent,0.782768189907074,agent
44,sells,peddler,well,This peddler sells well.,-0.5726948976516724,-1.0132619142532349,agent,agent,0.4405670166015625,agent
45,sells,telemarketer,well,This telemarketer sells well.,-0.3885140419006347,-1.3670220375061035,agent,agent,0.9785079956054688,agent
46,sells,dealer,well,This dealer sells well.,-0.5340760350227356,-1.0512192249298096,agent,agent,0.517143189907074,agent
47,sells,shopkeeper,well,This shopkeeper sells well.,-0.3758058249950409,-1.3832063674926758,agent,agent,1.0074005424976349,agent
48,sells,toy,quickly,This toy sells quickly.,-0.9317414164543152,-0.6140763163566589,patient,patient,-0.31766510009765625,patient
49,sells,book,quickly,This book sells quickly.,-0.3193903267383575,-1.5195550918579102,patient,agent,1.2001647651195526,agent
50,sells,novel,quickly,This novel sells quickly.,-0.4739134907722473,-1.1160871982574463,patient,agent,0.642173707485199,agent
51,sells,magazine,quickly,This magazine sells quickly.,-0.2998303771018982,-1.541407585144043,patient,agent,1.2415772080421448,agent
52,sells,hat,quickly,This hat sells quickly.,-0.3499068021774292,-1.4156111478805542,patient,agent,1.065704345703125,agent
53,sells,lotion,quickly,This lotion sells quickly.,-0.5375068783760071,-0.9818275570869446,patient,agent,0.4443206787109375,agent
54,sells,album,quickly,This album sells quickly.,-0.7188791036605835,-0.7713388204574585,patient,agent,0.052459716796875,patient
55,sells,car,quickly,This car sells quickly.,-0.6489664316177368,-0.9430338144302368,patient,agent,0.2940673828125,agent
56,sells,suv,quickly,This SUV sells quickly.,-1.3507105112075806,-0.3773676455020904,patient,patient,-0.9733428657054901,patient
57,sells,product,quickly,This product sells quickly.,-0.4292096495628357,-1.236048698425293,patient,agent,0.8068390488624573,agent
58,sells,make,quickly,This make sells quickly.,-0.4457730650901794,-1.1623258590698242,patient,agent,0.7165527939796448,agent
59,sells,item,quickly,This item sells quickly.,-0.3022217154502868,-1.7021164894104004,patient,agent,1.3998947739601135,agent
60,sells,cd,quickly,This CD sells quickly.,-1.0504684448242188,-0.579078733921051,patient,patient,-0.4713897109031677,patient
61,sells,drug,quickly,This drug sells quickly.,-0.7508271336555481,-0.8430512547492981,patient,agent,0.09222412109375,patient
62,sells,snack,quickly,This snack sells quickly.,-0.4783680438995361,-1.0979053974151611,patient,agent,0.619537353515625,agent
63,sells,salesman,quickly,This salesman sells quickly.,-0.2606763541698456,-1.6627302169799805,agent,agent,1.4020538628101349,agent
64,sells,saleswoman,quickly,This saleswoman sells quickly.,-0.1138636022806167,-2.56866717338562,agent,agent,2.4548035711050034,agent
65,sells,businessman,quickly,This businessman sells quickly.,-0.4870696067810058,-1.121407985687256,agent,agent,0.6343383789062502,agent
66,sells,businesswoman,quickly,This businesswoman sells quickly.,-0.4356206059455871,-1.2554752826690674,agent,agent,0.8198546767234802,agent
67,sells,trader,quickly,This trader sells quickly.,-0.4093858301639557,-1.2903214693069458,agent,agent,0.8809356391429901,agent
68,sells,peddler,quickly,This peddler sells quickly.,-0.5308530330657959,-1.058624029159546,agent,agent,0.52777099609375,agent
69,sells,telemarketer,quickly,This telemarketer sells quickly.,-0.3498296737670898,-1.4528722763061523,agent,agent,1.1030426025390625,agent
