id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-2.231947,-0.16670218,patient,patient,-2.0652448199999998,patient
1,sells,book,easily,Something sells this book easily.,-1.7802013,-0.24067724,patient,patient,-1.5395240600000002,patient
2,sells,novel,easily,Something sells this novel easily.,-1.7089647,-0.25975162,patient,patient,-1.4492130799999998,patient
3,sells,magazine,easily,Something sells this magazine easily.,-2.298686,-0.16304491,patient,patient,-2.13564109,patient
4,sells,hat,easily,Something sells this hat easily.,-1.9731207,-0.20342167,patient,patient,-1.76969903,patient
5,sells,lotion,easily,Something sells this lotion easily.,-2.1415865,-0.18025233,patient,patient,-1.9613341699999998,patient
6,sells,album,easily,Something sells this album easily.,-1.8290225,-0.23539472,patient,patient,-1.59362778,patient
7,sells,car,easily,Something sells this car easily.,-1.48123,-0.30248818,patient,patient,-1.17874182,patient
8,sells,suv,easily,Something sells this SUV easily.,-1.7188514,-0.28990957,patient,patient,-1.4289418299999999,patient
9,sells,product,easily,Something sells this product easily.,-1.5590467,-0.33367085,patient,patient,-1.2253758499999998,patient
10,sells,make,easily,Something sells this make easily.,-1.0705985,-0.4689169,patient,patient,-0.6016816,patient
11,sells,item,easily,Something sells this item easily.,-1.8641924,-0.23814484,patient,patient,-1.6260475600000002,patient
12,sells,cd,easily,Something sells this CD easily.,-1.9988873,-0.19641829,patient,patient,-1.80246901,patient
13,sells,drug,easily,Something sells this drug easily.,-1.5011156,-0.2807267,patient,patient,-1.2203889,patient
14,sells,snack,easily,Something sells this snack easily.,-1.6556742,-0.24236195,patient,patient,-1.41331225,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.7986705,-0.71583766,patient,patient,-0.08283283999999991,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-1.3135943,-0.3615757,patient,patient,-0.9520186000000002,patient
17,sells,businessman,easily,Something sells this businessman easily.,-0.8651561,-0.6328906,patient,patient,-0.2322655,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-1.2322124,-0.3984263,patient,patient,-0.8337861000000001,patient
19,sells,trader,easily,Something sells this trader easily.,-0.977973,-0.52995974,patient,patient,-0.44801325999999997,patient
20,sells,peddler,easily,Something sells this peddler easily.,-1.0225438,-0.54221797,patient,patient,-0.48032582999999995,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-1.3953723,-0.3351955,patient,patient,-1.0601768,patient
22,sells,dealer,easily,Something sells this dealer easily.,-0.8987047,-0.5793607,patient,patient,-0.3193440000000001,patient
