id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,This toy sells something easily.,-0.011163227,-7.7418966,agent,agent,7.730733373
1,sells,book,easily,This book sells something easily.,-0.00854024,-7.056355,agent,agent,7.04781476
2,sells,novel,easily,This novel sells something easily.,-0.007354094,-7.513329,agent,agent,7.505974906
3,sells,magazine,easily,This magazine sells something easily.,-0.011755475,-6.7519894,agent,agent,6.740233925
4,sells,hat,easily,This hat sells something easily.,-0.009004742,-6.9879565,agent,agent,6.978951758
5,sells,lotion,easily,This lotion sells something easily.,-0.0120203905,-5.6740856,agent,agent,5.6620652095
6,sells,album,easily,This album sells something easily.,-0.017591491,-4.579108,agent,agent,4.561516509
7,sells,car,easily,This car sells something easily.,-0.0096107535,-6.405174,agent,agent,6.3955632465
8,sells,suv,easily,This SUV sells something easily.,-0.012303175,-6.6751885,agent,agent,6.6628853249999995
9,sells,product,easily,This product sells something easily.,-0.021426028,-8.050192,agent,agent,8.028765971999999
10,sells,make,easily,This make sells something easily.,-0.0054790997,-9.214317,agent,agent,9.208837900299999
11,sells,item,easily,This item sells something easily.,-0.01414943,-7.57165,agent,agent,7.55750057
12,sells,cd,easily,This CD sells something easily.,-0.009972079,-6.158267,agent,agent,6.148294921000001
13,sells,drug,easily,This drug sells something easily.,-0.007713465,-7.722556,agent,agent,7.714842535
14,sells,snack,easily,This snack sells something easily.,-0.030866671,-4.6034126,agent,agent,4.572545929
15,sells,salesman,easily,This salesman sells something easily.,-0.009361576,-11.899921,agent,agent,11.890559424000001
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.010080931,-10.117199,agent,agent,10.107118069
17,sells,businessman,easily,This businessman sells something easily.,-0.016542707,-11.031657,agent,agent,11.015114293
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.011617375,-11.15249,agent,agent,11.140872625
19,sells,trader,easily,This trader sells something easily.,-0.011553517,-8.41763,agent,agent,8.406076483000001
20,sells,peddler,easily,This peddler sells something easily.,-0.009792334,-7.0640445,agent,agent,7.0542521659999995
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.0061714384,-8.70367,agent,agent,8.697498561600002
22,sells,dealer,easily,This dealer sells something easily.,-0.015443795,-9.960236,agent,agent,9.944792205
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.011089455,-8.350621,agent,agent,8.339531545
24,sells,toy,well,This toy sells something well.,-0.010784056,-8.190499,agent,agent,8.179714944
25,sells,book,well,This book sells something well.,-0.007880028,-7.1700406,agent,agent,7.162160572
26,sells,novel,well,This novel sells something well.,-0.0073827957,-7.549618,agent,agent,7.5422352043
27,sells,magazine,well,This magazine sells something well.,-0.012523813,-6.195147,agent,agent,6.182623187000001
28,sells,hat,well,This hat sells something well.,-0.009340097,-6.8695526,agent,agent,6.860212503
29,sells,lotion,well,This lotion sells something well.,-0.011993786,-5.8308616,agent,agent,5.818867814000001
30,sells,album,well,This album sells something well.,-0.019563204,-4.640081,agent,agent,4.620517796000001
31,sells,car,well,This car sells something well.,-0.008669676,-6.609318,agent,agent,6.600648324
32,sells,suv,well,This SUV sells something well.,-0.00963037,-6.8787203,agent,agent,6.86908993
33,sells,product,well,This product sells something well.,-0.0136599345,-8.248592,agent,agent,8.2349320655
34,sells,make,well,This make sells something well.,-0.0053905225,-9.171595,agent,agent,9.1662044775
35,sells,item,well,This item sells something well.,-0.011266122,-7.4184966,agent,agent,7.407230478
