verb,overall_acc,avg_LL_delta
bakes,0.0,-1.9633154254047622
carves,0.0,-1.7562856806249993
cleans,0.0,-1.6676213459259257
cooks,0.0,-1.7159510877777782
cuts,0.0,-1.7097994090249997
drives,0.0,-1.5477631936111114
embroiders,0.0,-2.409713387892857
flies,0.0,-1.5119927599999998
knits,0.0,-2.153434878457143
packs,0.0,-1.9619086193750004
paints,0.0,-1.8837603305000001
performs,0.0,-1.4399235884615382
photographs,0.0,-1.8594490735555556
plays,0.0,-1.8004741988461541
reads,0.0,-1.7732102335294118
sculpts,0.0,-1.8233911703333336
sells,0.0,-1.4837997095833328
sews,0.0,-2.194859277
shaves,0.0,-1.8512282753333333
stitches,0.0,-2.165131682291666
turns,0.0,-1.6053313355454548
washes,0.0,-1.9393969492307692
writes,0.0,-1.6271980955882355
