id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,Something sells this toy easily.,-1.9252934,-0.17862275,patient,patient,-1.74667065
1,sells,book,easily,Something sells this book easily.,-0.8000258,-0.9302443,patient,agent,0.13021850000000001
2,sells,novel,easily,Something sells this novel easily.,-1.3438394,-0.39473507,patient,patient,-0.9491043299999999
3,sells,magazine,easily,Something sells this magazine easily.,-0.09706781,-2.533352,patient,agent,2.43628419
4,sells,hat,easily,Something sells this hat easily.,-3.038461,-0.09317411,patient,patient,-2.9452868899999998
5,sells,lotion,easily,Something sells this lotion easily.,-0.5569364,-0.94098204,patient,agent,0.38404563999999997
6,sells,album,easily,Something sells this album easily.,-0.8254018,-0.7001013,patient,patient,-0.12530049999999993
7,sells,car,easily,Something sells this car easily.,-0.15336384,-2.3924193,patient,agent,2.23905546
8,sells,suv,easily,Something sells this SUV easily.,-0.057554103,-3.060616,patient,agent,3.003061897
9,sells,product,easily,Something sells this product easily.,-1.1296613,-0.44612682,patient,patient,-0.68353448
10,sells,make,easily,Something sells this make easily.,-1.9153795,-1.2331058,patient,patient,-0.6822737000000001
11,sells,item,easily,Something sells this item easily.,-1.2971354,-0.3376665,patient,patient,-0.9594689
12,sells,cd,easily,Something sells this CD easily.,-0.95502007,-0.712512,patient,patient,-0.24250806999999996
13,sells,drug,easily,Something sells this drug easily.,-0.1679437,-2.9796245,patient,agent,2.8116808
14,sells,snack,easily,Something sells this snack easily.,-1.600639,-0.25812107,patient,patient,-1.3425179299999999
15,sells,salesman,easily,Something sells this salesman easily.,-0.025251506,-7.4266887,patient,agent,7.401437194
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-1.6957779,-0.21181858,patient,patient,-1.4839593199999999
17,sells,businessman,easily,Something sells this businessman easily.,-0.087715715,-3.6188006,patient,agent,3.5310848850000003
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-1.5353284,-0.26734796,patient,patient,-1.26798044
19,sells,trader,easily,Something sells this trader easily.,-0.016302703,-4.884273,patient,agent,4.867970297
20,sells,peddler,easily,Something sells this peddler easily.,-3.9666734,-0.023055872,patient,patient,-3.943617528
