id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-3.0963674,-0.061914045,patient,patient,-3.034453355,patient
1,sells,book,easily,This book sells easily.,-2.3418827,-0.126544,patient,patient,-2.2153387,patient
2,sells,novel,easily,This novel sells easily.,-4.2708793,-0.051274776,patient,patient,-4.219604524,patient
3,sells,magazine,easily,This magazine sells easily.,-2.3529859,-0.1556679,patient,patient,-2.197318,patient
4,sells,hat,easily,This hat sells easily.,-3.4440951,-0.048542716,patient,patient,-3.395552384,patient
5,sells,lotion,easily,This lotion sells easily.,-3.230053,-0.090280555,patient,patient,-3.1397724449999997,patient
6,sells,album,easily,This album sells easily.,-5.816737,-0.0054503926,patient,patient,-5.8112866074,patient
7,sells,car,easily,This car sells easily.,-0.13880295,-2.329676,patient,agent,2.19087305,agent
8,sells,suv,easily,This SUV sells easily.,-0.2501638,-2.143707,patient,agent,1.8935432,agent
9,sells,product,easily,This product sells easily.,-4.0626493,-3.563981,patient,patient,-0.4986683000000003,agent
10,sells,make,easily,This make sells easily.,-4.29074,-0.6232008,patient,patient,-3.6675392,patient
11,sells,item,easily,This item sells easily.,-0.049553804,-4.0190353,patient,agent,3.9694814959999998,agent
12,sells,cd,easily,This CD sells easily.,-5.339965,-0.07532142,patient,patient,-5.26464358,patient
13,sells,drug,easily,This drug sells easily.,-0.39896616,-1.292439,patient,agent,0.8934728399999998,agent
14,sells,snack,easily,This snack sells easily.,-3.2265365,-0.065014735,patient,patient,-3.161521765,patient
15,sells,salesman,easily,This salesman sells easily.,-4.771893,-9.406538,agent,agent,4.634644999999999,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-2.416395,-1.8320711,agent,patient,-0.5843239,agent
17,sells,businessman,easily,This businessman sells easily.,-3.232744,-4.336555,agent,agent,1.1038109999999999,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-3.8208117,-0.7819116,agent,patient,-3.0389001,patient
19,sells,trader,easily,This trader sells easily.,-1.4414728,-0.4908693,agent,patient,-0.9506035000000002,agent
20,sells,peddler,easily,This peddler sells easily.,-1.462596,-4.0742855,agent,agent,2.6116895,agent
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.20832436,-2.0601778,agent,agent,1.85185344,agent
22,sells,dealer,easily,This dealer sells easily.,-0.7318188,-4.1224475,agent,agent,3.3906286999999997,agent
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-1.788691,-1.1007438,agent,patient,-0.6879472,agent
24,sells,toy,well,This toy sells well.,-4.3404694,-0.025738632,patient,patient,-4.3147307679999995,patient
25,sells,book,well,This book sells well.,-2.6681964,-0.10728922,patient,patient,-2.5609071799999996,patient
26,sells,novel,well,This novel sells well.,-4.50675,-0.06607063,patient,patient,-4.440679370000001,patient
27,sells,magazine,well,This magazine sells well.,-2.4125397,-0.17181344,patient,patient,-2.2407262599999997,patient
28,sells,hat,well,This hat sells well.,-4.7280097,-0.020416098,patient,patient,-4.707593602,patient
29,sells,lotion,well,This lotion sells well.,-4.883754,-0.026264552,patient,patient,-4.857489448,patient
30,sells,album,well,This album sells well.,-6.429753,-0.0053479774,patient,patient,-6.4244050226,patient
31,sells,car,well,This car sells well.,-0.32842726,-1.4604777,patient,agent,1.13205044,agent
32,sells,suv,well,This SUV sells well.,-0.16437224,-2.3707006,patient,agent,2.20632836,agent
33,sells,product,well,This product sells well.,-4.350949,-2.7811613,patient,patient,-1.5697877,agent
34,sells,make,well,This make sells well.,-4.676057,-0.7838759,patient,patient,-3.8921811,patient
35,sells,item,well,This item sells well.,-0.16163002,-2.3152623,patient,agent,2.15363228,agent
36,sells,cd,well,This CD sells well.,-5.134195,-0.07651365,patient,patient,-5.05768135,patient
37,sells,drug,well,This drug sells well.,-0.36227432,-1.413934,patient,agent,1.05165968,agent
38,sells,snack,well,This snack sells well.,-5.2740855,-0.017309815,patient,patient,-5.256775685,patient
39,sells,salesman,well,This salesman sells well.,-4.4564304,-9.60882,agent,agent,5.152389599999999,agent
40,sells,saleswoman,well,This saleswoman sells well.,-2.1632562,-1.383493,agent,patient,-0.7797632000000001,agent
41,sells,businessman,well,This businessman sells well.,-2.7801645,-3.8856158,agent,agent,1.1054513,agent
42,sells,businesswoman,well,This businesswoman sells well.,-2.671757,-0.5706485,agent,patient,-2.1011085,patient
43,sells,trader,well,This trader sells well.,-1.303304,-0.43790552,agent,patient,-0.8653984800000001,agent
44,sells,peddler,well,This peddler sells well.,-1.2675052,-2.9535184,agent,agent,1.6860132,agent
45,sells,telemarketer,well,This telemarketer sells well.,-0.1619761,-2.3179352,agent,agent,2.1559591,agent
46,sells,dealer,well,This dealer sells well.,-0.57254,-2.6569173,agent,agent,2.0843773,agent
47,sells,shopkeeper,well,This shopkeeper sells well.,-1.9267625,-0.42692736,agent,patient,-1.49983514,agent
48,sells,toy,quickly,This toy sells quickly.,-2.7604513,-0.0806045,patient,patient,-2.6798468,patient
49,sells,book,quickly,This book sells quickly.,-1.9184769,-0.20554729,patient,patient,-1.71292961,patient
50,sells,novel,quickly,This novel sells quickly.,-3.9622948,-0.079540655,patient,patient,-3.882754145,patient
51,sells,magazine,quickly,This magazine sells quickly.,-1.938366,-0.25322825,patient,patient,-1.68513775,patient
52,sells,hat,quickly,This hat sells quickly.,-2.7763894,-0.08169306,patient,patient,-2.6946963399999997,patient
