noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-1.1499228924512863
actor,1,1.0,1.038464516401291
aircraft,3,0.3333333333333333,-0.2901426951090495
album,3,1.0,0.15957705179850254
animal,2,0.0,-0.9547190517187119
announcer,2,0.0,-0.6999402344226837
artisan,4,0.25,-0.12142728269100186
artist,4,0.75,0.0549318790435791
author,2,1.0,0.917543888092041
aviator,3,0.6666666666666666,0.17772356669108078
backpack,2,0.0,-1.1608972698450089
backpacker,2,0.0,-0.6741881519556046
bag,2,0.0,-0.7693018466234206
baker,6,0.6666666666666666,0.17939187089602152
barber,7,0.42857142857142855,-0.0950087096009936
basket,2,0.0,-0.38390161097049713
beard,3,0.0,-0.3172505696614583
bedding,5,1.0,1.2787896990776062
bike,4,0.25,-0.6035754755139351
blanket,2,1.0,0.04636907577514644
blogger,2,0.0,-0.541320338845253
board,4,0.0,-0.7693464756011963
book,3,1.0,1.590593044956525
bottle,2,1.0,0.8355598300695419
bowl,2,1.0,0.113041877746582
bread,3,0.6666666666666666,0.08778794606526691
broadcaster,2,0.0,-0.9869680106639863
building,2,0.0,-1.5219159573316574
bus,3,0.6666666666666666,-0.11723802487055462
busboy,5,1.0,0.6464473903179169
businessman,3,1.0,1.113358477751414
businesswoman,3,1.0,0.6191259721914927
butcher,4,0.0,-0.5688319206237792
cake,3,0.0,-0.7981201807657877
cameraman,2,0.0,-0.08451557159423825
camper,2,0.0,-0.2916083335876465
canvas,4,0.0,-1.2258684560656548
captain,3,0.3333333333333333,-0.3735132118066152
car,12,0.75,0.37420590221881866
cardboard,4,0.0,-1.583100788295269
carpet,3,1.0,0.32859992980957026
carver,7,0.0,-0.944564014673233
caterer,3,1.0,0.42600504557291674
cd,3,1.0,0.42630770802497864
cellist,2,0.0,-1.4098911881446838
cello,2,0.0,-1.6144504100084305
chauffeur,3,0.3333333333333333,-0.0571533838907877
chef,10,0.7,0.09030875861644741
choreography,1,1.0,0.3588361740112304
clarinet,2,0.0,-1.904094241559505
clarinetist,2,0.0,-1.7634816393256187
clay,6,0.0,-0.8403067588806152
cleaner,5,0.6,0.026876449584960983
clerk,2,0.0,-0.25066709518432617
cloth,8,0.0,-1.240092033520341
coat,2,0.0,-1.5310015678405762
code,2,1.0,1.0856494456529615
comedian,1,1.0,0.5846319198608401
concerto,1,0.0,-0.0126628875732421
confectioner,3,0.0,-0.556493083635966
container,2,0.0,-0.5349979698657988
convertible,3,0.0,-1.164601316054662
cook,6,0.5,-0.016123453776041685
cotton,4,0.0,-1.1122982427477839
countertop,3,1.0,0.6967474420865377
crate,2,0.0,-0.4968400299549103
cushion,4,0.0,-1.8241975530982018
cut,4,0.0,-1.5962801352143288
dancer,1,1.0,0.432210922241211
dealer,3,1.0,1.0719588895638783
dish,2,1.0,0.2317023277282714
doctor,2,1.0,0.372072696685791
dough,3,1.0,0.12201722462972003
dressmaker,4,0.5,-0.12984681129455566
driver,7,0.5714285714285714,0.2838108709880284
drug,3,1.0,1.1864245732625325
drummer,2,0.0,-1.232609286904335
duffle,2,0.0,-1.6220087632536888
essay,4,0.0,-0.56821059435606
essayist,2,0.5,-0.16650009155273438
fabric,20,0.0,-1.4235198974609375
fillet,3,1.0,0.39090315500895184
fish,3,0.0,-0.05179150899251297
floor,3,1.0,0.7128566205501556
flute,2,0.0,-1.6989025771617892
flutist,2,0.0,-1.3565716594457626
food,2,1.0,0.22611856460571284
gem,4,0.5,-0.024981737136840813
glass,4,0.0,-0.46550988405942917
hairdresser,7,0.14285714285714285,-0.546871325799397
handle,4,0.0,-1.1375796720385551
hat,3,1.0,0.23428122202555335
herb,3,0.0,-0.20755606889724731
hiker,2,0.0,-0.44778111577033997
housekeeper,3,1.0,0.4429550369580588
ice,7,0.14285714285714285,-0.3188754490443638
illustrator,4,1.0,0.2868938446044922
ingredient,3,1.0,1.3893146912256877
instrument,2,0.0,-0.3910183608531952
item,3,1.0,1.437679926554362
jacket,2,0.0,-0.6461272388696672
janitor,3,1.0,0.47872382402420044
jet,3,0.0,-0.5544996460278829
jeweler,4,1.0,0.444446325302124
jewelry,3,1.0,1.0272477467854817
journalist,2,0.5,0.0310411453247071
kite,3,0.0,-0.7136319478352865
knob,4,0.0,-0.9791872277855874
lady,5,0.2,-0.3898615062236786
lake,2,0.0,-1.2159347236156464
landscape,2,0.0,-0.2436156272888184
letter,2,1.0,0.31359529495239247
line,2,1.0,0.35962724685668945
lotion,3,1.0,0.9971663554509481
lunchbox,2,0.0,-0.8996877819299699
machine,8,0.125,-0.49146832153201103
magazine,3,1.0,0.6551841000715891
maid,5,0.6,0.018378257751464837
make,3,1.0,0.46916993459065753
man,5,0.0,-0.5617677688598632
marble,3,0.0,-0.8152367273966471
mason,3,0.0,-0.8209320505460104
material,4,1.0,0.17106652259826655
meat,7,0.42857142857142855,-0.42623764063630787
mirror,3,1.0,0.18227831522623694
model,2,0.0,-1.6342764049768448
motorcycle,4,0.5,-0.16701411455869675
motorist,4,0.25,-0.5175139904022217
mountain,2,0.0,-1.2616004794836044
mover,2,0.0,-1.4498066827654839
mushroom,3,0.6666666666666666,0.042240142822265625
musician,3,0.3333333333333333,-0.3347015380859375
narrator,2,0.0,-0.43518874049186707
notetaker,2,1.0,0.6762948036193848
novel,3,1.0,1.2084102630615234
novelist,2,1.0,1.2057151794433594
orator,2,0.0,-0.1080727577209471
packaging,4,0.0,-0.7307727187871933
painter,4,0.0,-0.46640273928642284
panel,4,0.0,-0.4766020923852921
paper,4,0.0,-0.5426497459411621
passage,6,0.16666666666666666,-0.3799085815747579
pastry,3,0.0,-0.8046541213989258
patissier,3,0.0,-0.8230546514193217
pattern,5,0.0,-1.1352090895175935
peddler,3,0.3333333333333333,-0.07367070515950513
pepper,3,1.0,0.2790184020996093
person,30,0.5333333333333333,0.011445013682047527
photographer,2,0.0,-0.2087001800537109
pianist,2,0.0,-1.0392212867736816
piano,2,0.0,-1.0429616421461105
pie,3,0.0,-1.0640560984611511
pilot,7,0.2857142857142857,-0.7293414005211422
pizza,3,1.0,0.3280938466389974
plane,3,0.0,-0.5175542732079822
poem,2,0.0,-0.5137577056884765
poet,2,0.5,0.0538878440856934
portraitist,4,0.0,-0.10577225685119625
pot,3,1.0,0.3043657938639322
potato,3,0.6666666666666666,0.04670270284016925
potter,3,0.0,-0.44270390272140503
product,3,1.0,1.1847473780314128
professor,2,0.0,-0.2584199905395508
proposal,2,1.0,0.7321881949901581
pumpkin,4,0.0,-0.5435204282402992
quilt,4,0.0,-0.8480591922998428
racer,4,0.5,-0.49358249455690373
report,2,1.0,0.8083906471729279
roadtripper,2,0.0,-0.16760492324829096
routine,1,0.0,-0.0980358123779296
salesman,3,1.0,1.4151474833488464
saleswoman,3,1.0,0.8262901306152344
salmon,3,0.6666666666666666,0.02693970998128256
scene,1,1.0,0.4968185424804687
screw,4,0.25,-0.8157270103693008
scribe,2,1.0,0.36917734146118164
script,2,1.0,0.8217487186193468
sculptor,7,0.14285714285714285,-0.23399503741945546
seamster,8,0.0,-0.3531900569796561
seamstress,4,0.0,-0.4108707904815674
section,2,1.0,0.47851464152336115
shirt,2,1.0,0.7042646557092667
shopkeeper,3,1.0,0.9166247248649598
sideburn,3,0.0,-0.37386928002039593
silk,4,0.0,-1.015447124838829
silverware,3,1.0,0.6166400909423828
singer,1,0.0,-0.0299720764160156
snack,3,1.0,0.10296312967936196
soloist,1,1.0,0.3498706817626953
sonata,1,0.0,-0.4627199172973633
song,1,1.0,0.4180250167846679
steak,7,0.42857142857142855,0.10148402197020397
stone,7,0.5714285714285714,0.01778861454554967
stubble,3,0.0,-0.5974909563859304
student,4,0.5,-0.09900902211666106
suitcase,2,0.0,-0.8119153976440427
surface,7,0.42857142857142855,-0.42460318974086214
surgeon,4,0.25,-0.3353400230407715
suv,6,0.5,-0.11611285805702216
tailor,12,0.0,-0.9637215907375017
tank,3,0.0,-1.0703544716040292
teacher,2,0.0,-0.9782738983631134
telemarketer,3,1.0,0.7783797383308411
tent,2,0.0,-1.0992259681224823
thread,4,0.0,-0.8164844885468483
toy,3,0.0,-0.13331762949625647
tractor,3,0.3333333333333333,-0.3562008440494538
trader,3,1.0,1.2568922340869904
traveller,2,0.0,-0.3343968391418457
truck,3,0.6666666666666666,0.44202739000320435
tub,2,1.0,0.2950954437255858
tuna,3,1.0,0.1824359893798828
turkey,4,0.0,-0.382159948348999
upholsterer,4,0.75,0.1864280700683594
valve,4,0.0,-1.097701795399189
van,3,0.3333333333333333,-0.34812578558921814
vegetable,3,0.0,-0.5343217849731444
vehicle,3,0.6666666666666666,0.133287787437439
verse,2,0.0,-0.8296361267566682
view,2,0.0,-0.7436923980712891
violin,2,0.0,-0.6627936810255051
violinist,2,0.0,-0.7778467833995819
waiter,3,1.0,0.4237403869628906
waitress,3,1.0,0.3395261963208516
wall,4,0.0,-0.36192321777343744
window,3,1.0,0.5766664942105612
windshield,5,1.0,1.121051424741745
woman,5,0.0,-0.9537557423114776
wood,11,0.09090909090909091,-0.3201959891752763
wool,5,0.0,-1.1710516154766082
worker,4,1.0,0.592824712395668
wound,4,0.25,-0.37858126312494284
yarn,5,0.0,-0.9545047640800476
