noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-1.4632134288549423
actor,1,0.0,0.7637261748313904
aircraft,3,1.0,-0.6847273111343384
album,3,0.0,0.45600636800130206
animal,2,1.0,-1.4503993541002271
announcer,2,1.0,-0.5293698608875275
artisan,4,0.75,-0.30757500231266005
artist,4,1.0,-0.545918971300125
author,2,0.0,0.6288704574108124
aviator,3,1.0,-0.1818656722704569
backpack,2,1.0,-1.5015154108405113
backpacker,2,1.0,-1.5219650343060493
bag,2,1.0,-1.01899816095829
baker,6,0.3333333333333333,0.08915344874064124
barber,7,0.8571428571428571,-0.3222777417727879
basket,2,1.0,-0.607583537697792
beard,3,0.3333333333333333,-0.003612836201985705
bedding,5,0.0,1.681611254811287
bike,4,0.75,-0.3483848497271538
blanket,2,0.0,0.455209732055664
blogger,2,1.0,-0.9249171763658524
board,4,1.0,-0.6845858097076416
book,3,0.0,1.6679404278596242
bottle,2,0.0,1.0605764389038086
bowl,2,0.0,0.5249733924865723
bread,3,0.0,0.44502130150794983
broadcaster,2,1.0,-0.871472805738449
building,2,1.0,-1.4097309112548828
bus,3,1.0,-0.30204995473225904
busboy,5,0.0,0.8931980192661285
businessman,3,0.0,1.0729951858520508
businesswoman,3,0.0,0.5562642514705658
butcher,4,1.0,-0.8371019661426544
cake,3,0.6666666666666666,-0.039673805236816406
cameraman,2,1.0,-0.2882385253906251
camper,2,1.0,-0.6056517958641052
canvas,4,1.0,-1.55583381280303
captain,3,1.0,-1.1044153372446697
car,12,0.4166666666666667,0.27721300969521206
cardboard,4,1.0,-1.8457129411399364
carpet,3,0.0,0.6670481264591217
carver,7,1.0,-1.1530013723032815
caterer,3,0.0,0.8357731600602468
cd,3,0.0,0.3141835530598958
cellist,2,1.0,-1.4221872687339783
cello,2,1.0,-1.3513526916503906
chauffeur,3,0.6666666666666666,-0.0841522216796875
chef,10,0.4,0.07036971449851992
choreography,1,0.0,0.5942602157592773
clarinet,2,1.0,-2.189608655869961
clarinetist,2,1.0,-2.049268774688244
clay,6,0.8333333333333334,-0.380896732211113
cleaner,5,0.0,0.41892088651657106
clerk,2,1.0,-0.3249387741088867
cloth,8,1.0,-1.2193951234221458
coat,2,1.0,-1.6981468796730042
code,2,0.0,1.1044626384973526
comedian,1,0.0,0.1728410720825195
concerto,1,1.0,-0.6509961485862732
confectioner,3,0.6666666666666666,-0.10328896840413415
container,2,1.0,-0.7304167747497559
convertible,3,1.0,-1.3199875950813293
cook,6,0.0,0.1120362281799316
cotton,4,0.75,-0.5202610343694687
countertop,3,0.0,0.7795680165290833
crate,2,1.0,-1.0096988677978513
cushion,4,1.0,-1.7391090020537376
cut,4,1.0,-1.0842776149511337
dancer,1,0.0,0.2523984909057617
dealer,3,0.0,0.7820034027099609
dish,2,0.0,0.8575959503650665
doctor,2,1.0,-0.5902142226696013
dough,3,0.0,0.8660532633463541
dressmaker,4,1.0,-0.9025907292962074
driver,7,0.7142857142857143,-0.37600039584296097
drug,3,0.0,1.099126825730006
drummer,2,1.0,-1.81099796295166
duffle,2,1.0,-1.0801267176866531
essay,4,0.75,-0.4524965435266495
essayist,2,0.5,-0.07936382293701176
fabric,20,1.0,-1.1952145040035247
fillet,3,0.0,0.37564818064371747
fish,3,0.0,0.3407471974690755
floor,3,0.0,0.9721542994181314
flute,2,1.0,-1.603697806596756
flutist,2,1.0,-1.476021647453308
food,2,0.0,0.22420501708984375
gem,4,1.0,-0.7183906883001328
glass,4,0.25,-0.0019507408142089774
hairdresser,7,0.5714285714285714,-0.10720607212611608
handle,4,1.0,-1.1008775159716606
hat,3,0.3333333333333333,-0.05275567372639977
herb,3,0.6666666666666666,-0.16222284237543744
hiker,2,1.0,-1.087810531258583
housekeeper,3,0.0,0.4622103075186412
ice,7,0.2857142857142857,0.1290302276611328
illustrator,4,0.0,0.22472070157527918
ingredient,3,0.0,1.2606862088044484
instrument,2,1.0,-1.304718017578125
item,3,0.0,1.1426207423210144
jacket,2,1.0,-0.7904606014490129
janitor,3,0.0,0.734314262866974
jet,3,1.0,-0.8264576395352682
jeweler,4,0.75,-0.046760559082031194
jewelry,3,0.0,1.0613520940144856
journalist,2,0.0,0.25103566050529474
kite,3,1.0,-0.9814087549845377
knob,4,1.0,-1.2666883617639542
lady,5,0.8,-0.37989370822906493
lake,2,1.0,-0.8943538814783096
landscape,2,1.0,-0.07766151428222655
letter,2,0.0,0.0417852401733398
line,2,0.5,0.025439739227294852
lotion,3,0.0,1.286309192577998
lunchbox,2,1.0,-0.5469498634338379
machine,8,1.0,-0.6538816541433334
magazine,3,0.0,0.47887962063153583
maid,5,0.4,0.1099348068237305
make,3,1.0,-0.6736694971720377
man,5,1.0,-0.5579101741313933
marble,3,1.0,-0.4885660906632741
mason,3,1.0,-0.9185063044230143
material,4,0.25,0.03231859207153315
meat,7,0.5714285714285714,-0.02519689713205614
mirror,3,0.0,0.07175254821777337
model,2,1.0,-2.279668301343918
motorcycle,4,0.5,0.15289474278688425
motorist,4,0.5,-0.26024866104125977
mountain,2,1.0,-1.46558478474617
mover,2,1.0,-1.0219812393188477
mushroom,3,0.3333333333333333,0.09142208099365233
musician,3,1.0,-0.9632800618807474
narrator,2,0.5,0.029137611389160205
notetaker,2,0.0,0.5141754150390625
novel,3,0.0,1.2466688354810078
novelist,2,0.0,0.9360957294702529
orator,2,1.0,-0.03333854675292975
packaging,4,0.75,-0.35958480834960926
painter,4,1.0,-0.8596098273992538
panel,4,1.0,-0.3386287689208983
paper,4,0.5,-0.016219139099121118
passage,6,0.6666666666666666,-0.20203590393066406
pastry,3,1.0,-0.26983833312988276
patissier,3,1.0,-0.5704771677652994
pattern,5,1.0,-1.038264274597168
peddler,3,1.0,-0.38957564036051423
pepper,3,0.0,0.8862343033154806
person,30,0.9333333333333333,-0.3779013276100159
photographer,2,1.0,-0.6469769179821013
pianist,2,1.0,-1.519635632634163
piano,2,1.0,-1.5304946452379222
pie,3,1.0,-0.4173339108626048
pilot,7,1.0,-1.3204923485006606
pizza,3,0.0,0.7081222732861838
plane,3,1.0,-0.7113996942838033
poem,2,1.0,-0.6854081153869628
poet,2,0.5,-0.022697895765304496
portraitist,4,1.0,-0.5497484058141708
pot,3,0.0,0.33198293050130206
potato,3,0.0,0.7088022430737814
potter,3,1.0,-0.6528202295303345
product,3,0.0,0.879887580871582
professor,2,1.0,-1.0439353287220001
proposal,2,1.0,-0.09125804901123045
pumpkin,4,1.0,-0.8528876453638077
quilt,4,1.0,-1.0163783803582191
racer,4,0.75,-0.22935841977596277
report,2,0.0,0.5741324424743652
roadtripper,2,0.5,-0.03498506546020505
routine,1,1.0,-0.3625020980834961
salesman,3,0.0,1.1226046681404114
saleswoman,3,0.0,0.658115396896998
salmon,3,0.0,0.2628650665283203
scene,1,0.0,0.2635946273803711
screw,4,0.5,-0.062252506613731454
scribe,2,0.5,0.010238677263259902
script,2,0.0,0.6725435853004456
sculptor,7,0.8571428571428571,-0.4078727534839085
seamster,8,1.0,-0.6725936383008958
seamstress,4,1.0,-0.6705212593078613
section,2,0.0,0.2852468490600586
shirt,2,0.0,0.6365718692541122
shopkeeper,3,0.0,0.7304553886254629
sideburn,3,1.0,-0.7289947072664898
silk,4,0.75,-0.4983427748084068
silverware,3,0.0,0.7916336456934611
singer,1,1.0,-0.3056373596191406
snack,3,0.0,0.4311386942863465
soloist,1,0.0,0.4742516875267029
sonata,1,1.0,-0.8296689987182617
song,1,0.0,0.0470237731933593
steak,7,0.42857142857142855,0.3097152624811445
stone,7,0.14285714285714285,0.3957252630165645
stubble,3,0.0,0.11659717559814452
student,4,1.0,-0.7253040969371796
suitcase,2,1.0,-1.3206410706043243
surface,7,0.0,0.41277707474572317
surgeon,4,1.0,-0.7141749858856201
suv,6,0.8333333333333334,-0.5375962307055792
tailor,12,1.0,-1.5514945089817047
tank,3,1.0,-0.9764172434806825
teacher,2,1.0,-0.6684970855712892
telemarketer,3,0.0,0.5766140619913737
tent,2,1.0,-1.0218138545751572
thread,4,1.0,-0.3655574172735214
toy,3,1.0,-0.4535322388013203
tractor,3,0.3333333333333333,-0.09150093793869023
trader,3,0.0,0.5371366937955221
traveller,2,1.0,-0.9054460376501083
truck,3,0.3333333333333333,0.32785701751708984
tub,2,0.0,0.8351526707410812
tuna,3,0.0,0.5114310185114542
turkey,4,1.0,-0.7798280790448189
upholsterer,4,0.25,0.1585941314697266
valve,4,0.5,-0.47627517580986023
van,3,1.0,-0.6912835637728373
vegetable,3,1.0,-0.24067717790603638
vehicle,3,0.6666666666666666,-0.1752087275187174
verse,2,1.0,-1.2737474739551546
view,2,1.0,-1.1948218047618868
violin,2,1.0,-0.6888728141784667
violinist,2,1.0,-0.9009380042552948
waiter,3,0.0,0.34214816490809125
waitress,3,0.0,0.43266648054122925
wall,4,0.5,0.03509046137332923
window,3,0.0,0.5490799148877462
windshield,5,0.0,1.3585292756557465
woman,5,1.0,-1.356607261300087
wood,11,1.0,-0.4780752089890567
wool,5,1.0,-0.8037439465522767
worker,4,0.75,-0.15817832946777344
wound,4,0.0,0.7742624282836914
yarn,5,1.0,-0.7932004988193511
