verb,overall_acc,avg_LL_delta
bakes,1.0,-11.49643324330024
carves,1.0,-9.386598535846042
cleans,0.9259259259259259,-4.512252500596297
cooks,1.0,-9.546571899819334
cuts,0.85,-3.3268548321837494
drives,0.9166666666666666,-3.353873365680556
embroiders,1.0,-9.004957517579642
flies,1.0,-4.223471251241667
knits,1.0,-9.41122307510886
packs,0.975,-7.43937078762
paints,0.9583333333333334,-6.143030903145832
performs,0.7692307692307693,-3.5791608523615386
photographs,1.0,-7.9502284191222214
plays,1.0,-8.986533937319232
reads,0.9117647058823529,-2.953151343661765
sculpts,1.0,-8.295107939802666
sells,0.7777777777777778,-3.31861012078889
sews,0.95,-6.124984910990001
shaves,1.0,-7.208187603168667
stitches,0.9375,-8.093181730796248
turns,0.8409090909090909,-3.6561320605138645
washes,0.9230769230769231,-4.869917094011539
writes,0.8823529411764706,-3.0154163136705883
