noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,0.058078765869140556
actor,1,1.0,2.148826479911804
aircraft,3,0.0,-0.14542641242345178
album,3,1.0,0.65206907192866
animal,2,0.0,-0.8830528259277344
announcer,2,1.0,0.3398608863353729
artisan,4,0.75,0.17020033299922943
artist,4,1.0,0.8471565544605253
author,2,1.0,0.4359398186206818
aviator,3,0.0,-0.1970698038736979
backpack,2,0.0,-0.07183074951171875
backpacker,2,0.0,-0.08224105834960935
bag,2,0.0,-0.6727065742015839
baker,6,0.0,-0.4280879000822703
barber,7,0.0,-1.400912983076913
basket,2,0.0,-0.6996498703956604
beard,3,0.0,-1.7608158886432648
bedding,5,1.0,0.6176895022392273
bike,4,0.0,-1.6995639726519585
blanket,2,1.0,0.4099501967430115
blogger,2,1.0,0.7549667656421661
board,4,0.0,-1.0742263942956924
book,3,1.0,0.8553212285041809
bottle,2,0.0,-0.8725204765796661
bowl,2,1.0,0.0787200927734375
bread,3,0.0,-0.9784189760684967
broadcaster,2,1.0,0.5205497443675995
building,2,1.0,2.461692355573178
bus,3,0.0,-0.3841019074122112
busboy,5,0.0,-0.9035484373569489
businessman,3,1.0,0.476262410481771
businesswoman,3,0.6666666666666666,0.21698506673177087
butcher,4,0.0,-0.9584216848015785
cake,3,0.0,-0.8648630777994791
cameraman,2,1.0,1.3030853271484375
camper,2,0.0,-0.36138916015624994
canvas,4,0.0,-0.5960197448730469
captain,3,1.0,1.5059344271818798
car,12,0.0,-1.3344084545969963
cardboard,4,0.0,-1.278604507446289
carpet,3,0.3333333333333333,-0.04797234137852974
carver,7,0.0,-0.3776833585330418
caterer,3,1.0,0.6533737381299337
cd,3,0.0,-0.9082565108935038
cellist,2,0.0,-0.7231712192296982
cello,2,0.0,-1.24658203125
chauffeur,3,1.0,0.18632507324218753
chef,10,0.5,0.023033910989761448
choreography,1,1.0,0.447395384311676
clarinet,2,0.0,-0.20462846755981456
clarinetist,2,1.0,0.40150073170661926
clay,6,0.0,-1.3238693177700043
cleaner,5,0.4,-0.092755126953125
clerk,2,0.0,-1.4690208286046982
cloth,8,0.0,-2.048138827085495
coat,2,1.0,0.334228515625
code,2,0.0,-0.3417434692382812
comedian,1,1.0,1.2690888047218316
concerto,1,1.0,0.47137451171875
confectioner,3,0.0,-0.7280248006184896
container,2,0.0,-0.8205375522375107
convertible,3,0.0,-0.8566487630208334
cook,6,0.0,-0.3379198710123698
cotton,4,0.0,-1.2878398820757866
countertop,3,1.0,0.47127785285313917
crate,2,0.0,-0.6630516350269318
cushion,4,0.0,-0.7094016075134277
cut,4,0.0,-0.5094699859619141
dancer,1,1.0,0.38763427734375
dealer,3,0.0,-0.3324432373046875
dish,2,0.0,-0.18884661793708807
doctor,2,0.0,-2.3008842766284943
dough,3,0.0,-1.4061330159505208
dressmaker,4,1.0,1.089710220694542
driver,7,0.0,-1.7618550147329057
drug,3,0.0,-0.2813631693522134
drummer,2,0.0,-0.4373893439769744
duffle,2,0.0,-0.582820862531662
