id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-0.456298828125,-1.0185546875,agent,agent,0.562255859375,agent
1,sells,book,easily,This book sells something easily.,-0.4794921875,-0.9794921875,agent,agent,0.5,agent
2,sells,novel,easily,This novel sells something easily.,-0.37255859375,-1.185546875,agent,agent,0.81298828125,agent
3,sells,magazine,easily,This magazine sells something easily.,-0.5810546875,-0.8310546875,agent,agent,0.25,agent
4,sells,hat,easily,This hat sells something easily.,-0.402099609375,-1.12109375,agent,agent,0.718994140625,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.467041015625,-0.99853515625,agent,agent,0.531494140625,agent
6,sells,album,easily,This album sells something easily.,-0.65234375,-0.74609375,agent,agent,0.09375,agent
7,sells,car,easily,This car sells something easily.,-0.529296875,-0.904296875,agent,agent,0.375,agent
8,sells,suv,easily,This SUV sells something easily.,-0.54150390625,-0.88525390625,agent,agent,0.34375,agent
9,sells,product,easily,This product sells something easily.,-0.459716796875,-1.0224609375,agent,agent,0.562744140625,agent
10,sells,make,easily,This make sells something easily.,-0.423828125,-1.080078125,agent,agent,0.65625,agent
11,sells,item,easily,This item sells something easily.,-0.404296875,-1.123046875,agent,agent,0.71875,agent
12,sells,cd,easily,This CD sells something easily.,-0.6845703125,-0.7158203125,agent,agent,0.03125,agent
13,sells,drug,easily,This drug sells something easily.,-0.479736328125,-0.9794921875,agent,agent,0.499755859375,agent
14,sells,snack,easily,This snack sells something easily.,-0.56787109375,-0.84912109375,agent,agent,0.28125,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.515625,-0.921875,agent,agent,0.40625,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.490966796875,-0.9599609375,agent,agent,0.468994140625,agent
17,sells,businessman,easily,This businessman sells something easily.,-0.748046875,-0.654296875,agent,patient,-0.09375,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.58251953125,-0.83251953125,agent,agent,0.25,agent
19,sells,trader,easily,This trader sells something easily.,-0.65234375,-0.74609375,agent,agent,0.09375,agent
20,sells,peddler,easily,This peddler sells something easily.,-0.7470703125,-0.6533203125,agent,patient,-0.09375,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.6240234375,-0.7802734375,agent,agent,0.15625,agent
22,sells,dealer,easily,This dealer sells something easily.,-0.71435546875,-0.68310546875,agent,patient,-0.03125,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.66943359375,-0.73193359375,agent,agent,0.0625,agent
24,sells,toy,well,This toy sells something well.,-0.456787109375,-1.01953125,agent,agent,0.562744140625,agent
25,sells,book,well,This book sells something well.,-0.491943359375,-0.96044921875,agent,agent,0.468505859375,agent
26,sells,novel,well,This novel sells something well.,-0.383056640625,-1.1640625,agent,agent,0.781005859375,agent
27,sells,magazine,well,This magazine sells something well.,-0.58154296875,-0.83154296875,agent,agent,0.25,agent
28,sells,hat,well,This hat sells something well.,-0.423828125,-1.080078125,agent,agent,0.65625,agent
29,sells,lotion,well,This lotion sells something well.,-0.479248046875,-0.9794921875,agent,agent,0.500244140625,agent
30,sells,album,well,This album sells something well.,-0.68359375,-0.71484375,agent,agent,0.03125,agent
31,sells,car,well,This car sells something well.,-0.517578125,-0.923828125,agent,agent,0.40625,agent
32,sells,suv,well,This SUV sells something well.,-0.54248046875,-0.88623046875,agent,agent,0.34375,agent
33,sells,product,well,This product sells something well.,-0.460205078125,-1.0224609375,agent,agent,0.562255859375,agent
34,sells,make,well,This make sells something well.,-0.4248046875,-1.0810546875,agent,agent,0.65625,agent
35,sells,item,well,This item sells something well.,-0.42578125,-1.08203125,agent,agent,0.65625,agent
36,sells,cd,well,This CD sells something well.,-0.716796875,-0.685546875,agent,patient,-0.03125,agent
37,sells,drug,well,This drug sells something well.,-0.50390625,-0.94140625,agent,agent,0.4375,agent
38,sells,snack,well,This snack sells something well.,-0.568359375,-0.849609375,agent,agent,0.28125,agent
39,sells,salesman,well,This salesman sells something well.,-0.50390625,-0.94140625,agent,agent,0.4375,agent
40,sells,saleswoman,well,This saleswoman sells something well.,-0.50390625,-0.94140625,agent,agent,0.4375,agent
41,sells,businessman,well,This businessman sells something well.,-0.71630859375,-0.68505859375,agent,patient,-0.03125,agent
42,sells,businesswoman,well,This businesswoman sells something well.,-0.55615234375,-0.86865234375,agent,agent,0.3125,agent
43,sells,trader,well,This trader sells something well.,-0.6376953125,-0.7626953125,agent,agent,0.125,agent
44,sells,peddler,well,This peddler sells something well.,-0.7314453125,-0.6689453125,agent,patient,-0.0625,agent
45,sells,telemarketer,well,This telemarketer sells something well.,-0.6103515625,-0.7978515625,agent,agent,0.1875,agent
46,sells,dealer,well,This dealer sells something well.,-0.69921875,-0.69921875,agent,agent,0.0,agent
47,sells,shopkeeper,well,This shopkeeper sells something well.,-0.6552734375,-0.7490234375,agent,agent,0.09375,agent
48,sells,toy,quickly,This toy sells something quickly.,-0.45703125,-1.01953125,agent,agent,0.5625,agent
49,sells,book,quickly,This book sells something quickly.,-0.491943359375,-0.96044921875,agent,agent,0.468505859375,agent
50,sells,novel,quickly,This novel sells something quickly.,-0.392822265625,-1.142578125,agent,agent,0.749755859375,agent
51,sells,magazine,quickly,This magazine sells something quickly.,-0.59521484375,-0.81396484375,agent,agent,0.21875,agent
52,sells,hat,quickly,This hat sells something quickly.,-0.423583984375,-1.080078125,agent,agent,0.656494140625,agent
53,sells,lotion,quickly,This lotion sells something quickly.,-0.4912109375,-0.9599609375,agent,agent,0.46875,agent
54,sells,album,quickly,This album sells something quickly.,-0.65283203125,-0.74658203125,agent,agent,0.09375,agent
