id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-0.968096137046814,-0.5097516775131226,patient,patient,-0.4583444595336914,patient
1,sells,book,easily,Something sells this book easily.,-0.909721851348877,-0.5464138984680176,patient,patient,-0.3633079528808594,patient
2,sells,novel,easily,Something sells this novel easily.,-0.936646282672882,-0.5281837582588196,patient,patient,-0.4084625244140624,patient
3,sells,magazine,easily,Something sells this magazine easily.,-1.3465876579284668,-0.3255258202552795,patient,patient,-1.0210618376731873,patient
4,sells,hat,easily,Something sells this hat easily.,-1.298730969429016,-0.3469544947147369,patient,patient,-0.951776474714279,patient
5,sells,lotion,easily,Something sells this lotion easily.,-1.138709545135498,-0.4149394333362579,patient,patient,-0.7237701117992401,patient
6,sells,album,easily,Something sells this album easily.,-1.2297041416168213,-0.3764764964580536,patient,patient,-0.8532276451587677,patient
7,sells,car,easily,Something sells this car easily.,-1.0507327318191528,-0.4673730432987213,patient,patient,-0.5833596885204315,patient
8,sells,suv,easily,Something sells this SUV easily.,-1.2609950304031372,-0.3679285943508148,patient,patient,-0.8930664360523224,patient
9,sells,product,easily,Something sells this product easily.,-1.1465470790863037,-0.4222180843353271,patient,patient,-0.7243289947509766,patient
10,sells,make,easily,Something sells this make easily.,-1.1046448945999146,-0.4320784509181976,patient,patient,-0.6725664436817169,patient
11,sells,item,easily,Something sells this item easily.,-1.1345077753067017,-0.4315373003482818,patient,patient,-0.7029704749584198,patient
12,sells,cd,easily,Something sells this CD easily.,-1.1278520822525024,-0.4203039407730102,patient,patient,-0.7075481414794922,patient
13,sells,drug,easily,Something sells this drug easily.,-1.0962953567504885,-0.4455624222755432,patient,patient,-0.6507329344749453,patient
14,sells,snack,easily,Something sells this snack easily.,-1.254364848136902,-0.3636597692966461,patient,patient,-0.890705078840256,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.9920641183853148,-0.4962154328823089,patient,patient,-0.4958486855030059,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-1.3283641338348389,-0.3365580439567566,patient,patient,-0.9918060898780823,patient
17,sells,businessman,easily,Something sells this businessman easily.,-0.9280323386192322,-0.5344509482383728,patient,patient,-0.3935813903808594,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-1.219354271888733,-0.3829466104507446,patient,patient,-0.8364076614379883,patient
19,sells,trader,easily,Something sells this trader easily.,-0.8987170457839966,-0.5595465898513794,patient,patient,-0.3391704559326172,patient
20,sells,peddler,easily,Something sells this peddler easily.,-1.2936292886734009,-0.3505894243717193,patient,patient,-0.9430398643016815,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-1.2618677616119385,-0.3597853481769562,patient,patient,-0.9020824134349823,patient
22,sells,dealer,easily,Something sells this dealer easily.,-1.0344616174697876,-0.4752536714076996,patient,patient,-0.559207946062088,patient
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-1.259467601776123,-0.3646454811096191,patient,patient,-0.8948221206665039,patient
24,sells,toy,well,Something sells this toy well.,-1.0321056842803955,-0.4740183651447296,patient,patient,-0.5580873191356659,patient
25,sells,book,well,Something sells this book well.,-0.9003982543945312,-0.5556192398071289,patient,patient,-0.34477901458740234,patient
26,sells,novel,well,Something sells this novel well.,-0.9500069618225098,-0.5215840339660645,patient,patient,-0.4284229278564453,patient
27,sells,magazine,well,Something sells this magazine well.,-1.3072248697280884,-0.3424059450626373,patient,patient,-0.964818924665451,patient
28,sells,hat,well,Something sells this hat well.,-1.3451322317123413,-0.3323740065097809,patient,patient,-1.0127582252025604,patient
29,sells,lotion,well,Something sells this lotion well.,-1.201956033706665,-0.3890716433525085,patient,patient,-0.8128843903541565,patient
30,sells,album,well,Something sells this album well.,-1.2473210096359253,-0.371698260307312,patient,patient,-0.8756227493286133,patient
31,sells,car,well,Something sells this car well.,-1.1005325317382812,-0.4443531632423401,patient,patient,-0.6561793684959412,patient
32,sells,suv,well,Something sells this SUV well.,-1.295392632484436,-0.3577867746353149,patient,patient,-0.9376058578491211,patient
33,sells,product,well,Something sells this product well.,-1.1795647144317627,-0.4110176861286163,patient,patient,-0.7685470283031464,patient
34,sells,make,well,Something sells this make well.,-1.2967811822891235,-0.3514505326747894,patient,patient,-0.9453306496143341,patient
35,sells,item,well,Something sells this item well.,-1.168163776397705,-0.4201626181602478,patient,patient,-0.7480011582374573,patient
36,sells,cd,well,Something sells this CD well.,-1.178107738494873,-0.3981814384460449,patient,patient,-0.7799263000488281,patient
37,sells,drug,well,Something sells this drug well.,-1.151055097579956,-0.4214178919792175,patient,patient,-0.7296372056007385,patient
38,sells,snack,well,Something sells this snack well.,-1.3098121881484983,-0.344560295343399,patient,patient,-0.9652518928050993,patient
39,sells,salesman,well,Something sells this salesman well.,-0.9584512710571288,-0.5186090469360352,patient,patient,-0.43984222412109364,patient
40,sells,saleswoman,well,Something sells this saleswoman well.,-1.3251476287841797,-0.3397969603538513,patient,patient,-0.9853506684303284,patient
41,sells,businessman,well,Something sells this businessman well.,-0.9314640164375304,-0.5333850979804993,patient,patient,-0.39807891845703114,patient
42,sells,businesswoman,well,Something sells this businesswoman well.,-1.1917226314544678,-0.3972833752632141,patient,patient,-0.7944392561912537,patient
43,sells,trader,well,Something sells this trader well.,-0.8738831281661987,-0.5798758268356323,patient,patient,-0.2940073013305664,patient
44,sells,peddler,well,Something sells this peddler well.,-1.3430559635162354,-0.3341543972492218,patient,patient,-1.0089015662670135,patient
45,sells,telemarketer,well,Something sells this telemarketer well.,-1.3015568256378174,-0.3453772366046905,patient,patient,-0.9561795890331268,patient
46,sells,dealer,well,Something sells this dealer well.,-1.0328984260559082,-0.4793887138366699,patient,patient,-0.5535097122192383,patient
47,sells,shopkeeper,well,Something sells this shopkeeper well.,-1.2542715072631836,-0.3693075776100158,patient,patient,-0.8849639296531677,patient
48,sells,toy,quickly,Something sells this toy quickly.,-0.9991716146469116,-0.4926275014877319,patient,patient,-0.5065441131591797,patient
49,sells,book,quickly,Something sells this book quickly.,-0.914277970790863,-0.5450047850608826,patient,patient,-0.36927318572998047,patient
