id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,This toy sells something easily.,-1.9636755,-0.16756919,agent,patient,-1.7961063099999999
1,sells,book,easily,This book sells something easily.,-0.58579546,-0.8859454,agent,agent,0.30014993999999995
2,sells,novel,easily,This novel sells something easily.,-0.49100602,-0.9850874,agent,agent,0.49408137999999996
3,sells,magazine,easily,This magazine sells something easily.,-0.62509954,-0.7829555,agent,agent,0.15785596000000002
4,sells,hat,easily,This hat sells something easily.,-1.7145387,-0.21097589,agent,patient,-1.50356281
5,sells,lotion,easily,This lotion sells something easily.,-0.1350474,-2.3321927,agent,agent,2.1971453
6,sells,album,easily,This album sells something easily.,-0.70668465,-0.757609,agent,agent,0.05092434999999995
7,sells,car,easily,This car sells something easily.,-1.2471061,-0.36410478,agent,patient,-0.8830013200000001
8,sells,suv,easily,This SUV sells something easily.,-0.062212702,-2.907747,agent,agent,2.845534298
9,sells,product,easily,This product sells something easily.,-0.9982706,-0.4760899,agent,patient,-0.5221807
10,sells,make,easily,This make sells something easily.,-2.8583658,-0.25980568,agent,patient,-2.59856012
11,sells,item,easily,This item sells something easily.,-0.67777044,-0.7193182,agent,agent,0.041547760000000045
12,sells,cd,easily,This CD sells something easily.,-0.9493174,-0.5309291,agent,patient,-0.41838829999999994
13,sells,drug,easily,This drug sells something easily.,-2.0432396,-0.5698605,agent,patient,-1.4733791000000003
14,sells,snack,easily,This snack sells something easily.,-1.0067226,-0.5064499,agent,patient,-0.5002727
15,sells,salesman,easily,This salesman sells something easily.,-0.043261364,-3.3038394,agent,agent,3.260578036
16,sells,saleswoman,easily,This saleswoman sells something easily.,-2.6260717,-0.0816199,agent,patient,-2.5444517999999996
17,sells,businessman,easily,This businessman sells something easily.,-0.22761376,-1.9127392,agent,agent,1.6851254400000002
18,sells,businesswoman,easily,This businesswoman sells something easily.,-1.3695264,-0.3071369,agent,patient,-1.0623895
19,sells,trader,easily,This trader sells something easily.,-0.060226295,-2.9688506,agent,agent,2.908624305
20,sells,peddler,easily,This peddler sells something easily.,-2.513764,-0.08726189,agent,patient,-2.42650211
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.21065134,-1.6936185,agent,agent,1.4829671599999998
