id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-0.6965429186820984,-1.520052194595337,agent,agent,0.8235092759132385,agent
1,sells,book,easily,This book sells something easily.,-0.5732496976852417,-1.533431887626648,agent,agent,0.9601821899414062,agent
2,sells,novel,easily,This novel sells something easily.,-0.8888006210327148,-1.303389549255371,agent,agent,0.41458892822265625,agent
3,sells,magazine,easily,This magazine sells something easily.,-1.0734050273895264,-1.49737811088562,agent,agent,0.42397308349609353,agent
4,sells,hat,easily,This hat sells something easily.,-0.3622612655162811,-1.7862801551818848,agent,agent,1.4240188896656036,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.2897815704345703,-1.856790542602539,agent,agent,1.5670089721679688,agent
6,sells,album,easily,This album sells something easily.,-0.7066090703010559,-1.491185426712036,agent,agent,0.78457635641098,agent
7,sells,car,easily,This car sells something easily.,-1.3922133445739746,-1.080453395843506,agent,patient,-0.31175994873046853,agent
8,sells,suv,easily,This SUV sells something easily.,-1.482649326324463,-0.6161180138587952,agent,patient,-0.8665313124656677,agent
9,sells,product,easily,This product sells something easily.,-1.8474133014678955,-2.310246706008911,agent,agent,0.4628334045410156,agent
10,sells,make,easily,This make sells something easily.,-0.2841288447380066,-1.9703319072723389,agent,agent,1.6862030625343323,agent
11,sells,item,easily,This item sells something easily.,-0.7292743921279907,-2.234218120574951,agent,agent,1.5049437284469604,agent
12,sells,cd,easily,This CD sells something easily.,-1.3091919422149658,-0.5767777562141418,agent,patient,-0.732414186000824,agent
13,sells,drug,easily,This drug sells something easily.,-1.4242844581604004,-1.3035378456115725,agent,patient,-0.1207466125488279,agent
14,sells,snack,easily,This snack sells something easily.,-0.6198286414146423,-1.757035732269287,agent,agent,1.1372070908546448,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.6797248721122742,-1.511420488357544,agent,agent,0.8316956162452698,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-1.0809158086776731,-0.8789657354354858,agent,patient,-0.20195007324218728,agent
17,sells,businessman,easily,This businessman sells something easily.,-0.7971154451370239,-1.4618111848831177,agent,agent,0.6646957397460938,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.9013382196426392,-1.152215600013733,agent,agent,0.25087738037109375,agent
19,sells,trader,easily,This trader sells something easily.,-0.4558146297931671,-1.5500223636627195,agent,agent,1.0942077338695524,agent
20,sells,peddler,easily,This peddler sells something easily.,-0.7118057608604431,-1.293142795562744,agent,agent,0.5813370347023008,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.661052405834198,-1.050708532333374,agent,agent,0.389656126499176,agent
22,sells,dealer,easily,This dealer sells something easily.,-1.1858400106430054,-0.9873002767562866,agent,patient,-0.19853973388671875,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.987211525440216,-0.7525237202644348,agent,patient,-0.23468780517578114,agent
24,sells,toy,well,This toy sells something well.,-0.6187945604324341,-1.350056767463684,agent,agent,0.73126220703125,agent
25,sells,book,well,This book sells something well.,-0.4700105786323547,-1.4263780117034912,agent,agent,0.9563674330711365,agent
26,sells,novel,well,This novel sells something well.,-0.863412082195282,-1.031510591506958,agent,agent,0.16809850931167603,agent
27,sells,magazine,well,This magazine sells something well.,-0.9705228209495544,-1.273859977722168,agent,agent,0.3033371567726135,agent
28,sells,hat,well,This hat sells something well.,-0.3698271512985229,-1.6932448148727417,agent,agent,1.3234176635742188,agent
29,sells,lotion,well,This lotion sells something well.,-0.3013379573822021,-1.7661511898040771,agent,agent,1.464813232421875,agent
30,sells,album,well,This album sells something well.,-0.6618359088897705,-1.3327419757843018,agent,agent,0.6709060668945312,agent
31,sells,car,well,This car sells something well.,-1.246102809906006,-1.013803005218506,agent,patient,-0.2322998046875,agent
32,sells,suv,well,This SUV sells something well.,-1.3565937280654907,-0.5912586450576782,agent,patient,-0.7653350830078125,agent
33,sells,product,well,This product sells something well.,-1.4067914485931396,-1.6250760555267334,agent,agent,0.21828460693359375,agent
34,sells,make,well,This make sells something well.,-0.2760196030139923,-1.976733684539795,agent,agent,1.7007140815258026,agent
35,sells,item,well,This item sells something well.,-0.4985450208187103,-1.829100012779236,agent,agent,1.3305549919605257,agent
36,sells,cd,well,This CD sells something well.,-1.3485665321350098,-0.5171074867248535,agent,patient,-0.8314590454101562,agent
37,sells,drug,well,This drug sells something well.,-1.332854390144348,-1.1111289262771606,agent,patient,-0.22172546386718728,agent
38,sells,snack,well,This snack sells something well.,-0.5597622990608215,-1.6475765705108645,agent,agent,1.087814271450043,agent
39,sells,salesman,well,This salesman sells something well.,-0.6830214858055115,-1.3767852783203125,agent,agent,0.693763792514801,agent
40,sells,saleswoman,well,This saleswoman sells something well.,-0.99033784866333,-0.8762249946594238,agent,patient,-0.11411285400390614,agent
41,sells,businessman,well,This businessman sells something well.,-0.8077784776687622,-1.2852641344070437,agent,agent,0.47748565673828147,agent
42,sells,businesswoman,well,This businesswoman sells something well.,-0.7668673992156982,-1.1787707805633545,agent,agent,0.41190338134765625,agent
43,sells,trader,well,This trader sells something well.,-0.4744513630867004,-1.4377005100250244,agent,agent,0.963249146938324,agent
44,sells,peddler,well,This peddler sells something well.,-0.6795657873153687,-1.2473071813583374,agent,agent,0.5677413940429688,agent
45,sells,telemarketer,well,This telemarketer sells something well.,-0.6645953059196472,-0.9999682307243348,agent,agent,0.3353729248046876,agent
46,sells,dealer,well,This dealer sells something well.,-1.1948144435882568,-0.9350640773773192,agent,patient,-0.2597503662109376,agent
47,sells,shopkeeper,well,This shopkeeper sells something well.,-0.8950148820877075,-0.78461754322052,agent,patient,-0.1103973388671875,agent
