id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,Something sells this toy easily.,-0.6331033,-0.7856064,patient,agent,0.1525031
1,sells,book,easily,Something sells this book easily.,-0.45776302,-1.0146422,patient,agent,0.5568791799999999
2,sells,novel,easily,Something sells this novel easily.,-0.72906566,-0.6742371,patient,patient,-0.054828559999999915
3,sells,magazine,easily,Something sells this magazine easily.,-0.5632139,-0.86838776,patient,agent,0.3051738599999999
4,sells,hat,easily,Something sells this hat easily.,-0.30509797,-1.3640274,patient,agent,1.0589294299999998
5,sells,lotion,easily,Something sells this lotion easily.,-0.6225157,-0.783458,patient,agent,0.16094229999999998
6,sells,album,easily,Something sells this album easily.,-0.591043,-0.8344521,patient,agent,0.24340910000000004
7,sells,car,easily,Something sells this car easily.,-0.68497306,-0.71819144,patient,agent,0.03321837999999999
8,sells,suv,easily,Something sells this SUV easily.,-0.644602,-0.76548606,patient,agent,0.12088405999999996
9,sells,product,easily,Something sells this product easily.,-0.40661854,-1.1411499,patient,agent,0.7345313600000001
10,sells,make,easily,Something sells this make easily.,-0.37902802,-1.1687993,patient,agent,0.7897712800000001
11,sells,item,easily,Something sells this item easily.,-0.32015616,-1.3192972,patient,agent,0.99914104
12,sells,cd,easily,Something sells this CD easily.,-0.51518494,-0.92885715,patient,agent,0.41367221
13,sells,drug,easily,Something sells this drug easily.,-0.4826118,-0.9748049,patient,agent,0.4921931
14,sells,snack,easily,Something sells this snack easily.,-0.90356606,-0.5351483,patient,patient,-0.3684177599999999
15,sells,salesman,easily,Something sells this salesman easily.,-0.54310775,-0.89603996,patient,agent,0.35293220999999997
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.4000837,-1.148411,patient,agent,0.7483273000000001
17,sells,businessman,easily,Something sells this businessman easily.,-0.83581185,-0.5733636,patient,patient,-0.26244825000000005
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-0.36238855,-1.2272834,patient,agent,0.86489485
19,sells,trader,easily,Something sells this trader easily.,-0.9590338,-0.49873143,patient,patient,-0.46030237000000007
20,sells,peddler,easily,Something sells this peddler easily.,-0.97266454,-0.48971245,patient,patient,-0.48295209
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-0.5648515,-0.8415111,patient,agent,0.2766596
22,sells,dealer,easily,Something sells this dealer easily.,-0.795754,-0.6179753,patient,patient,-0.17777869999999996
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-0.90717584,-0.5370776,patient,patient,-0.3700982399999999
24,sells,toy,well,Something sells this toy well.,-0.565705,-0.85719746,patient,agent,0.29149245999999995
25,sells,book,well,Something sells this book well.,-0.4640649,-1.0279758,patient,agent,0.5639109000000001
26,sells,novel,well,Something sells this novel well.,-0.6544809,-0.75125027,patient,agent,0.09676936999999997
27,sells,magazine,well,Something sells this magazine well.,-0.5872286,-0.83684903,patient,agent,0.24962043
28,sells,hat,well,Something sells this hat well.,-0.27755252,-1.4446877,patient,agent,1.16713518
29,sells,lotion,well,Something sells this lotion well.,-0.58077264,-0.839947,patient,agent,0.25917436000000005
30,sells,album,well,Something sells this album well.,-0.5821685,-0.82773185,patient,agent,0.24556335000000007
31,sells,car,well,Something sells this car well.,-0.7190754,-0.6842224,patient,patient,-0.03485300000000002
32,sells,suv,well,Something sells this SUV well.,-0.69487894,-0.72072595,patient,agent,0.025847010000000004
33,sells,product,well,Something sells this product well.,-0.41010475,-1.1575475,patient,agent,0.7474427499999999
34,sells,make,well,Something sells this make well.,-0.36647078,-1.2027209,patient,agent,0.8362501200000001
35,sells,item,well,Something sells this item well.,-0.30805624,-1.3757557,patient,agent,1.06769946
36,sells,cd,well,Something sells this CD well.,-0.5384402,-0.8967073,patient,agent,0.35826709999999995
37,sells,drug,well,Something sells this drug well.,-0.4669956,-1.0020107,patient,agent,0.5350151000000001
38,sells,snack,well,Something sells this snack well.,-0.8116115,-0.6039832,patient,patient,-0.2076283
39,sells,salesman,well,Something sells this salesman well.,-0.5408323,-0.89091605,patient,agent,0.3500837499999999
40,sells,saleswoman,well,Something sells this saleswoman well.,-0.30727756,-1.3763984,patient,agent,1.06912084
41,sells,businessman,well,Something sells this businessman well.,-0.8656657,-0.56721514,patient,patient,-0.29845056000000003
42,sells,businesswoman,well,Something sells this businesswoman well.,-0.32857338,-1.3137524,patient,agent,0.98517902
43,sells,trader,well,Something sells this trader well.,-0.9356422,-0.5125599,patient,patient,-0.4230823
44,sells,peddler,well,Something sells this peddler well.,-0.84193456,-0.57795954,patient,patient,-0.26397501999999995
45,sells,telemarketer,well,Something sells this telemarketer well.,-0.48276296,-0.97063434,patient,agent,0.48787138
46,sells,dealer,well,Something sells this dealer well.,-0.7772679,-0.6145896,patient,patient,-0.16267830000000005
47,sells,shopkeeper,well,Something sells this shopkeeper well.,-0.825478,-0.59267586,patient,patient,-0.23280214
48,sells,toy,quickly,Something sells this toy quickly.,-0.623019,-0.7761652,patient,agent,0.1531462
49,sells,book,quickly,Something sells this book quickly.,-0.57712513,-0.84583056,patient,agent,0.26870543
50,sells,novel,quickly,Something sells this novel quickly.,-0.8656043,-0.5605048,patient,patient,-0.30509949999999997
51,sells,magazine,quickly,Something sells this magazine quickly.,-0.67170304,-0.7381014,patient,agent,0.06639835999999999
52,sells,hat,quickly,Something sells this hat quickly.,-0.3518682,-1.2231297,patient,agent,0.8712615000000001
53,sells,lotion,quickly,Something sells this lotion quickly.,-0.69655687,-0.6975648,patient,agent,0.0010079299999999902
54,sells,album,quickly,Something sells this album quickly.,-0.75566405,-0.64825684,patient,patient,-0.10740721000000009
55,sells,car,quickly,Something sells this car quickly.,-0.7853432,-0.62454593,patient,patient,-0.16079727
56,sells,suv,quickly,Something sells this SUV quickly.,-0.7158806,-0.6905946,patient,patient,-0.02528600000000003
57,sells,product,quickly,Something sells this product quickly.,-0.5217747,-0.9372277,patient,agent,0.41545299999999996
58,sells,make,quickly,Something sells this make quickly.,-0.42803454,-1.0752857,patient,agent,0.6472511599999999
59,sells,item,quickly,Something sells this item quickly.,-0.3875876,-1.1715652,patient,agent,0.7839776
60,sells,cd,quickly,Something sells this CD quickly.,-0.7495282,-0.65804994,patient,patient,-0.09147825999999992
61,sells,drug,quickly,Something sells this drug quickly.,-0.5254057,-0.90604484,patient,agent,0.38063914
62,sells,snack,quickly,Something sells this snack quickly.,-1.0162238,-0.46373913,patient,patient,-0.5524846699999999
63,sells,salesman,quickly,Something sells this salesman quickly.,-0.56955975,-0.86774373,patient,agent,0.29818398
64,sells,saleswoman,quickly,Something sells this saleswoman quickly.,-0.42223734,-1.1091369,patient,agent,0.68689956
65,sells,businessman,quickly,Something sells this businessman quickly.,-0.9368956,-0.5116731,patient,patient,-0.42522250000000006
66,sells,businesswoman,quickly,Something sells this businesswoman quickly.,-0.4111659,-1.114685,patient,agent,0.7035191
67,sells,trader,quickly,Something sells this trader quickly.,-1.0116239,-0.4597706,patient,patient,-0.5518533000000001
68,sells,peddler,quickly,Something sells this peddler quickly.,-1.0086633,-0.45417252,patient,patient,-0.5544907800000001
69,sells,telemarketer,quickly,Something sells this telemarketer quickly.,-0.626438,-0.7947112,patient,agent,0.1682731999999999
70,sells,dealer,quickly,Something sells this dealer quickly.,-0.8953049,-0.54071355,patient,patient,-0.35459134999999997
71,sells,shopkeeper,quickly,Something sells this shopkeeper quickly.,-1.0366296,-0.46194315,patient,patient,-0.57468645
72,drives,car,nicely,Something drives this car nicely.,-1.3007287,-0.32769677,patient,patient,-0.9730319300000001
73,drives,suv,nicely,Something drives this SUV nicely.,-1.3888825,-0.2994375,patient,patient,-1.089445
74,drives,truck,nicely,Something drives this truck nicely.,-1.487894,-0.26622197,patient,patient,-1.2216720300000001
75,drives,convertible,nicely,Something drives this convertible nicely.,-0.8088374,-0.6208266,patient,patient,-0.18801080000000003
76,drives,vehicle,nicely,Something drives this vehicle nicely.,-0.9922543,-0.4770146,patient,patient,-0.5152397
77,drives,tank,nicely,Something drives this tank nicely.,-1.1295576,-0.40497518,patient,patient,-0.7245824200000001
78,drives,bus,nicely,Something drives this bus nicely.,-1.3520706,-0.3141277,patient,patient,-1.0379429
79,drives,tractor,nicely,Something drives this tractor nicely.,-1.2640612,-0.34572983,patient,patient,-0.91833137
80,drives,van,nicely,Something drives this van nicely.,-1.3682432,-0.30511373,patient,patient,-1.06312947
81,drives,driver,nicely,Something drives this driver nicely.,-1.2303604,-0.35741642,patient,patient,-0.8729439799999998
82,drives,person,nicely,Something drives this person nicely.,-0.9341552,-0.51900965,patient,patient,-0.41514555
83,drives,chauffeur,nicely,Something drives this chauffeur nicely.,-1.3081717,-0.3264822,patient,patient,-0.9816894999999999
84,drives,car,smoothly,Something drives this car smoothly.,-1.3922178,-0.29443008,patient,patient,-1.0977877200000001
85,drives,suv,smoothly,Something drives this SUV smoothly.,-1.4742932,-0.2717233,patient,patient,-1.2025698999999999
86,drives,truck,smoothly,Something drives this truck smoothly.,-1.522773,-0.25578997,patient,patient,-1.26698303
