verb,overall_acc,avg_LL_delta
bakes,0.9761904761904762,2.9901011414095238
carves,1.0,6.767279270054167
cleans,1.0,7.557364323657407
cooks,0.7111111111111111,2.2729559435622217
cuts,1.0,8.091865179247499
drives,1.0,5.7385303624388895
embroiders,1.0,5.012681443664286
flies,1.0,7.368885517766668
knits,0.8285714285714286,3.102389990028572
packs,1.0,4.115761457179998
paints,1.0,6.152299837712499
performs,1.0,6.291126467169231
photographs,1.0,4.550185080116666
plays,1.0,4.703373928315385
reads,0.8823529411764706,3.048633590297059
sculpts,1.0,6.452758709693333
sells,1.0,8.322344251491668
sews,0.95,5.7070820179299995
shaves,1.0,7.538989997806666
stitches,0.9791666666666666,5.763422150791666
turns,1.0,7.883057921436362
washes,1.0,3.9497038846346157
writes,1.0,7.98009680571765
