id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-0.9039231538772584,-0.557801365852356,agent,patient,-0.34612178802490245,agent
1,sells,book,easily,This book sells something easily.,-0.878751814365387,-0.570198118686676,agent,patient,-0.30855369567871094,agent
2,sells,novel,easily,This novel sells something easily.,-0.8428927063941956,-0.6002541184425354,agent,patient,-0.24263858795166016,agent
3,sells,magazine,easily,This magazine sells something easily.,-1.2712700366973877,-0.3553688526153564,agent,patient,-0.9159011840820312,agent
4,sells,hat,easily,This hat sells something easily.,-1.0517098903656006,-0.4633339047431946,agent,patient,-0.588375985622406,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.9677087664604188,-0.5107614398002625,agent,patient,-0.45694732666015636,agent
6,sells,album,easily,This album sells something easily.,-1.2847375869750977,-0.3546037673950195,agent,patient,-0.9301338195800781,agent
7,sells,car,easily,This car sells something easily.,-1.010826826095581,-0.4879834055900574,agent,patient,-0.5228434205055237,agent
8,sells,suv,easily,This SUV sells something easily.,-1.2573620080947876,-0.3710733950138092,agent,patient,-0.8862886130809784,agent
9,sells,product,easily,This product sells something easily.,-1.0582534074783323,-0.4755746126174927,agent,patient,-0.5826787948608396,agent
10,sells,make,easily,This make sells something easily.,-1.217831254005432,-0.3820262849330902,agent,patient,-0.8358049690723417,agent
11,sells,item,easily,This item sells something easily.,-1.1310033798217771,-0.4412861466407776,agent,patient,-0.6897172331809995,agent
12,sells,cd,easily,This CD sells something easily.,-1.058030128479004,-0.4579343199729919,agent,patient,-0.600095808506012,agent
13,sells,drug,easily,This drug sells something easily.,-0.9737892150878906,-0.5228433609008789,agent,patient,-0.4509458541870117,agent
14,sells,snack,easily,This snack sells something easily.,-1.230329513549805,-0.375148743391037,agent,patient,-0.8551807701587679,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.8411486148834229,-0.5972034931182861,agent,patient,-0.24394512176513672,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-1.0888054370880127,-0.4459792971611023,agent,patient,-0.6428261399269104,agent
17,sells,businessman,easily,This businessman sells something easily.,-0.8006375432014465,-0.6305583119392395,agent,patient,-0.17007923126220703,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.9871060848236084,-0.5057933330535889,agent,patient,-0.48131275177001953,agent
19,sells,trader,easily,This trader sells something easily.,-0.7182220220565796,-0.7077354192733765,agent,patient,-0.010486602783203125,agent
20,sells,peddler,easily,This peddler sells something easily.,-1.1518982648849487,-0.4109467267990112,agent,patient,-0.7409515380859375,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-1.0523418188095093,-0.4609378576278686,agent,patient,-0.5914039611816406,agent
22,sells,dealer,easily,This dealer sells something easily.,-0.892593502998352,-0.5613757371902466,agent,patient,-0.33121776580810547,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-1.1582187414169312,-0.4135898351669311,agent,patient,-0.74462890625,agent
24,sells,toy,well,This toy sells something well.,-0.9854273796081544,-0.507896900177002,agent,patient,-0.47753047943115245,agent
25,sells,book,well,This book sells something well.,-0.9012426733970642,-0.5576204657554626,agent,patient,-0.34362220764160156,agent
26,sells,novel,well,This novel sells something well.,-0.8673510551452637,-0.5838742256164551,agent,patient,-0.2834768295288086,agent
27,sells,magazine,well,This magazine sells something well.,-1.2896555662155151,-0.350982517004013,agent,patient,-0.9386730492115021,agent
28,sells,hat,well,This hat sells something well.,-1.1425949335098269,-0.4202705919742584,agent,patient,-0.7223243415355685,agent
29,sells,lotion,well,This lotion sells something well.,-1.072641134262085,-0.4558551907539367,agent,patient,-0.6167859435081482,agent
30,sells,album,well,This album sells something well.,-1.3158434629440308,-0.3456124067306518,agent,patient,-0.9702310562133789,agent
31,sells,car,well,This car sells something well.,-1.102270245552063,-0.44117271900177,agent,patient,-0.661097526550293,agent
32,sells,suv,well,This SUV sells something well.,-1.360377073287964,-0.3348529040813446,agent,patient,-1.0255241692066195,agent
33,sells,product,well,This product sells something well.,-1.1245598793029783,-0.443824291229248,agent,patient,-0.6807355880737302,agent
34,sells,make,well,This make sells something well.,-1.341612696647644,-0.33568274974823,agent,patient,-1.005929946899414,agent
35,sells,item,well,This item sells something well.,-1.22405743598938,-0.401570588350296,agent,patient,-0.8224868476390841,agent
36,sells,cd,well,This CD sells something well.,-1.1228680610656738,-0.4264110922813415,agent,patient,-0.6964569687843323,agent
