id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-0.5056225657463074,-1.8301923274993896,patient,agent,1.3245697617530823,patient
1,sells,book,easily,Something sells this book easily.,-0.54954993724823,-1.32127845287323,patient,agent,0.771728515625,patient
2,sells,novel,easily,Something sells this novel easily.,-0.7209398746490479,-1.0795786380767822,patient,agent,0.3586387634277344,patient
3,sells,magazine,easily,Something sells this magazine easily.,-0.6368148326873779,-1.4330604076385498,patient,agent,0.7962455749511719,patient
4,sells,hat,easily,Something sells this hat easily.,-0.3286254703998565,-1.826054334640503,patient,agent,1.4974288642406464,patient
5,sells,lotion,easily,Something sells this lotion easily.,-0.162497192621231,-2.517691373825073,patient,agent,2.3551941812038417,agent
6,sells,album,easily,Something sells this album easily.,-0.6856027245521545,-1.6301674842834473,patient,agent,0.9445647597312927,patient
7,sells,car,easily,Something sells this car easily.,-0.6703261137008667,-1.5048750638961792,patient,agent,0.8345489501953125,patient
8,sells,suv,easily,Something sells this SUV easily.,-0.677951455116272,-1.0400577783584597,patient,agent,0.3621063232421877,patient
9,sells,product,easily,Something sells this product easily.,-0.7371527552604675,-2.018231153488159,patient,agent,1.2810783982276917,patient
10,sells,make,easily,Something sells this make easily.,-0.509428858757019,-1.389281153678894,patient,agent,0.879852294921875,patient
11,sells,item,easily,Something sells this item easily.,-0.4796924591064453,-2.1271114349365234,patient,agent,1.6474189758300781,patient
12,sells,cd,easily,Something sells this CD easily.,-0.6820439696311951,-1.1498823165893557,patient,agent,0.4678383469581606,patient
13,sells,drug,easily,Something sells this drug easily.,-0.766565203666687,-1.6238497495651243,patient,agent,0.8572845458984373,patient
14,sells,snack,easily,Something sells this snack easily.,-0.4217292070388794,-1.9970656633377075,patient,agent,1.5753364562988281,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.5094108581542969,-1.2993240356445312,patient,agent,0.7899131774902344,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.5043486952781677,-1.2712326049804688,patient,agent,0.766883909702301,patient
