id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-0.384765625,-1.244140625,patient,agent,0.859375,patient
1,sells,book,easily,Something sells this book easily.,-0.3798828125,-1.2705078125,patient,agent,0.890625,patient
2,sells,novel,easily,Something sells this novel easily.,-0.290771484375,-1.509765625,patient,agent,1.218994140625,patient
3,sells,magazine,easily,Something sells this magazine easily.,-0.42138671875,-1.3115234375,patient,agent,0.89013671875,patient
4,sells,hat,easily,Something sells this hat easily.,-0.473388671875,-1.0517578125,patient,agent,0.578369140625,patient
5,sells,lotion,easily,Something sells this lotion easily.,-0.46435546875,-1.05859375,patient,agent,0.59423828125,patient
6,sells,album,easily,Something sells this album easily.,-0.576171875,-0.935546875,patient,agent,0.359375,patient
7,sells,car,easily,Something sells this car easily.,-0.298828125,-1.501953125,patient,agent,1.203125,patient
8,sells,suv,easily,Something sells this SUV easily.,-0.341552734375,-1.404296875,patient,agent,1.062744140625,patient
9,sells,product,easily,Something sells this product easily.,-0.406494140625,-1.296875,patient,agent,0.890380859375,patient
10,sells,make,easily,Something sells this make easily.,-0.436279296875,-1.1552734375,patient,agent,0.718994140625,patient
11,sells,item,easily,Something sells this item easily.,-0.37451171875,-1.3271484375,patient,agent,0.95263671875,patient
12,sells,cd,easily,Something sells this CD easily.,-0.68994140625,-0.84619140625,patient,agent,0.15625,patient
13,sells,drug,easily,Something sells this drug easily.,-0.5537109375,-0.9130859375,patient,agent,0.359375,patient
14,sells,snack,easily,Something sells this snack easily.,-0.5478515625,-0.9541015625,patient,agent,0.40625,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.2626953125,-1.5908203125,patient,agent,1.328125,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.397216796875,-1.2099609375,patient,agent,0.812744140625,patient
17,sells,businessman,easily,Something sells this businessman easily.,-0.671875,-0.796875,patient,agent,0.125,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-0.68603515625,-0.76416015625,patient,agent,0.078125,patient
19,sells,trader,easily,Something sells this trader easily.,-0.327880859375,-1.40625,patient,agent,1.078369140625,patient
20,sells,peddler,easily,Something sells this peddler easily.,-0.5126953125,-1.0126953125,patient,agent,0.5,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-0.315185546875,-1.3935546875,patient,agent,1.078369140625,patient
22,sells,dealer,easily,Something sells this dealer easily.,-0.396484375,-1.302734375,patient,agent,0.90625,patient
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-0.521484375,-0.990234375,patient,agent,0.46875,patient
24,sells,toy,well,Something sells this toy well.,-0.39697265625,-1.224609375,patient,agent,0.82763671875,patient
25,sells,book,well,Something sells this book well.,-0.371337890625,-1.30859375,patient,agent,0.937255859375,patient
26,sells,novel,well,Something sells this novel well.,-0.27197265625,-1.6005859375,patient,agent,1.32861328125,patient
27,sells,magazine,well,Something sells this magazine well.,-0.452392578125,-1.2958984375,patient,agent,0.843505859375,patient
28,sells,hat,well,Something sells this hat well.,-0.509765625,-0.994140625,patient,agent,0.484375,patient
29,sells,lotion,well,Something sells this lotion well.,-0.48291015625,-1.029296875,patient,agent,0.54638671875,patient
30,sells,album,well,Something sells this album well.,-0.57958984375,-0.93896484375,patient,agent,0.359375,patient
31,sells,car,well,Something sells this car well.,-0.309326171875,-1.4814453125,patient,agent,1.172119140625,patient
32,sells,suv,well,Something sells this SUV well.,-0.35595703125,-1.38671875,patient,agent,1.03076171875,patient
33,sells,product,well,Something sells this product well.,-0.426025390625,-1.28515625,patient,agent,0.859130859375,patient
34,sells,make,well,Something sells this make well.,-0.490234375,-1.068359375,patient,agent,0.578125,patient
35,sells,item,well,Something sells this item well.,-0.39501953125,-1.30078125,patient,agent,0.90576171875,patient
36,sells,cd,well,Something sells this CD well.,-0.70556640625,-0.84619140625,patient,agent,0.140625,patient
37,sells,drug,well,Something sells this drug well.,-0.568359375,-0.896484375,patient,agent,0.328125,patient
38,sells,snack,well,Something sells this snack well.,-0.578125,-0.921875,patient,agent,0.34375,patient
39,sells,salesman,well,Something sells this salesman well.,-0.270263671875,-1.5673828125,patient,agent,1.297119140625,patient
40,sells,saleswoman,well,Something sells this saleswoman well.,-0.408203125,-1.189453125,patient,agent,0.78125,patient
41,sells,businessman,well,Something sells this businessman well.,-0.68359375,-0.79296875,patient,agent,0.109375,patient
42,sells,businesswoman,well,Something sells this businesswoman well.,-0.703125,-0.75,patient,agent,0.046875,patient
43,sells,trader,well,Something sells this trader well.,-0.330078125,-1.408203125,patient,agent,1.078125,patient
44,sells,peddler,well,Something sells this peddler well.,-0.52587890625,-0.99462890625,patient,agent,0.46875,patient
45,sells,telemarketer,well,Something sells this telemarketer well.,-0.32421875,-1.37109375,patient,agent,1.046875,patient
46,sells,dealer,well,Something sells this dealer well.,-0.399169921875,-1.3056640625,patient,agent,0.906494140625,patient
47,sells,shopkeeper,well,Something sells this shopkeeper well.,-0.548828125,-0.955078125,patient,agent,0.40625,patient
48,sells,toy,quickly,Something sells this toy quickly.,-0.39697265625,-1.2255859375,patient,agent,0.82861328125,patient
49,sells,book,quickly,Something sells this book quickly.,-0.40185546875,-1.23046875,patient,agent,0.82861328125,patient
50,sells,novel,quickly,Something sells this novel quickly.,-0.29833984375,-1.5009765625,patient,agent,1.20263671875,patient
