noun,avg_LL_delta
abstract,-1.214262
actor,-1.04481696
aircraft,-0.9558182
album,-1.45791428
animal,-0.9209338
announcer,-0.418235
artisan,-0.7460060000000001
artist,-1.3223695000000002
author,-0.4724513
aviator,-0.57622636
backpack,-1.251192
backpacker,-1.1902722199999998
bag,-1.76412955
baker,-1.4070520599999998
barber,-1.2488412
basket,-2.5121784000000003
beard,-1.35094068
bedding,-1.4802949499999998
bike,-1.80261808
blanket,-1.23202797
blogger,-1.501913
board,-1.1354723
book,-1.1390427600000002
bottle,-1.60199448
bowl,-1.80988776
bread,-1.72885607
broadcaster,-0.6116991
building,-1.35863675
bus,-1.40003402
busboy,-1.35933106
businessman,-0.1288775999999999
businesswoman,-1.1504173
butcher,-2.11625572
cake,-2.05666354
cameraman,-1.30348205
camper,-0.95027913
canvas,-2.03104402
captain,-1.148448
car,-0.8725367600000001
cardboard,-1.88471313
carpet,-1.40853702
carver,-1.217744
caterer,-1.73888204
cd,-1.4308397
cellist,-1.96555602
cello,-2.1700391000000003
chauffeur,-0.6696929000000001
chef,-1.5800066
choreography,-1.5164424
clarinet,-2.07431769
clarinetist,-1.7723256
clay,-1.466485
cleaner,-1.5123738
clerk,-0.9068965
cloth,-1.34238424
coat,-1.19156448
code,-2.09227262
comedian,-0.6493636
concerto,-1.1874009
confectioner,-1.7626267
container,-1.92689584
convertible,-0.7075845
cook,-1.6664648
cotton,-1.4648571499999998
countertop,-0.7552252300000001
crate,-2.24369702
cushion,-1.5882195
cut,-1.41364093
dancer,-1.19357492
dealer,-1.0291386
dish,-2.08272463
doctor,-1.2336567
dough,-1.44685744
dressmaker,-1.55497165
driver,-1.40839754
drug,-1.0462379
drummer,-1.74683007
duffle,-1.8459014
essay,-1.26000397
essayist,-1.17763987
fabric,-1.55604363
fillet,-1.7943505999999998
fish,-1.49260153
floor,-1.13312326
flute,-1.74299994
flutist,-1.60308552
food,-1.7051315000000002
gem,-1.41973313
glass,-1.63568982
hairdresser,-1.29046434
handle,-2.05948735
hat,-1.26388817
herb,-1.2991684
hiker,-1.6519975
housekeeper,-1.4631195
ice,-1.33268537
illustrator,-1.4589232
ingredient,-0.77783964
instrument,-1.62063887
item,-1.2488087
jacket,-1.0660562
janitor,-1.21816825
jet,-1.00205626
jeweler,-1.54803636
jewelry,-1.98804374
journalist,-0.7265100999999999
kite,-1.3345891
knob,-1.28213884
lady,-1.07328706
lake,-1.93336468
landscape,-1.5282448
letter,-1.08776554
line,-1.37450984
lotion,-1.51732815
lunchbox,-1.94050978
machine,-1.55280783
magazine,-1.12502472
maid,-1.4470538
make,-1.3022994
man,-0.90879765
marble,-1.65521136
mason,-1.3069602000000002
material,-0.96195426
meat,-1.33354565
mirror,-1.7778749
model,-1.1812580499999998
motorcycle,-1.43065156
motorist,-1.2842073699999998
mountain,-1.44523518
mover,-0.8702448000000002
mushroom,-1.65738595
musician,-1.40980156
narrator,-1.3240984
notetaker,-1.7480744
novel,-0.6400079
novelist,-0.8172541
orator,-0.6379347
packaging,-1.8306228
painter,-1.6937588300000002
panel,-1.26536743
paper,-1.7309465599999998
passage,-1.97164997
pastry,-2.1832809500000003
patissier,-2.02101987
pattern,-1.7679062200000002
peddler,-1.5656241700000002
pepper,-1.4012452
person,-0.6431674
photographer,-1.84306327
pianist,-1.78693597
piano,-2.10575947
pie,-2.23639687
pilot,-1.1693919
pizza,-1.8766278
plane,-1.3866834300000002
poem,-1.91798194
poet,-1.30082804
portraitist,-1.46681596
pot,-2.19552602
potato,-1.9513941
potter,-1.92899685
product,-0.94536507
professor,-0.38014695
proposal,-1.53150105
pumpkin,-1.99319637
quilt,-1.6291207
racer,-1.45723432
report,-0.7019740000000001
roadtripper,-1.7668092999999998
routine,-1.18934044
salesman,-0.5116701300000001
saleswoman,-0.5100124999999999
salmon,-1.541357
scene,-1.2839526
screw,-1.07715703
scribe,-0.6719796999999998
script,-1.3715772
sculptor,-1.55762484
seamster,-1.20450298
seamstress,-1.4452507
section,-1.223399
shirt,-1.50786868
shopkeeper,-1.69953613
sideburn,-1.1270961
silk,-1.40550913
silverware,-2.36460013
singer,-1.21040718
snack,-1.5646993
soloist,-1.24100855
sonata,-1.55266944
song,-1.95396708
steak,-1.90426425
stone,-1.88601396
stubble,-1.65533343
student,-0.9630777
suitcase,-2.11225134
surface,-0.94980245
surgeon,-1.6433791400000002
suv,-1.5127945
tailor,-1.0548153
tank,-1.9432716400000003
teacher,-1.46086106
telemarketer,-1.3321761
tent,-1.67797364
thread,-2.00835687
toy,-1.71074107
tractor,-1.68898673
trader,-0.4592244999999999
traveller,-0.5641757
truck,-2.08256042
tub,-2.1199152
tuna,-1.5867966
turkey,-1.71804402
upholsterer,-0.6258460000000001
valve,-1.5666704
van,-0.9403983
vegetable,-1.6605252
vehicle,-1.52857955
verse,-1.75730218
view,-0.94334905
violin,-2.30283361
violinist,-2.05542272
waiter,-1.7838412999999995
waitress,-1.86299025
wall,-1.50614936
window,-1.13472457
windshield,-1.5233621
woman,-1.35313885
wood,-1.62196925
wool,-1.5431946
worker,-1.1588458
wound,-1.46026038
yarn,-1.95997785
