id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-1.2349668,-0.37010804,patient,patient,-0.86485876,patient
1,sells,book,easily,Something sells this book easily.,-0.8541063,-0.6018976,patient,patient,-0.25220869999999995,patient
2,sells,novel,easily,Something sells this novel easily.,-0.9542042,-0.52184063,patient,patient,-0.4323635699999999,patient
3,sells,magazine,easily,Something sells this magazine easily.,-0.96268845,-0.5080766,patient,patient,-0.45461185000000004,patient
4,sells,hat,easily,Something sells this hat easily.,-0.7472589,-0.6927315,patient,patient,-0.054527400000000004,patient
5,sells,lotion,easily,Something sells this lotion easily.,-1.0050359,-0.4939932,patient,patient,-0.5110427,patient
6,sells,album,easily,Something sells this album easily.,-0.67132163,-0.7532713,patient,agent,0.08194966999999997,patient
7,sells,car,easily,Something sells this car easily.,-0.6851658,-0.7563329,patient,agent,0.07116709999999993,patient
8,sells,suv,easily,Something sells this SUV easily.,-0.52052957,-0.98418313,patient,agent,0.46365356,patient
9,sells,product,easily,Something sells this product easily.,-1.0766248,-0.4555672,patient,patient,-0.6210576000000001,patient
10,sells,make,easily,Something sells this make easily.,-0.8036157,-0.63488966,patient,patient,-0.16872604000000002,patient
11,sells,item,easily,Something sells this item easily.,-0.89081687,-0.5718415,patient,patient,-0.31897537,patient
12,sells,cd,easily,Something sells this CD easily.,-0.6499821,-0.8076759,patient,agent,0.1576938,patient
13,sells,drug,easily,Something sells this drug easily.,-1.0406789,-0.47084308,patient,patient,-0.56983582,patient
14,sells,snack,easily,Something sells this snack easily.,-1.0285748,-0.4832237,patient,patient,-0.5453511,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.51673794,-0.9966193,patient,agent,0.47988136000000003,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.73819876,-0.71116203,patient,patient,-0.027036729999999953,patient
17,sells,businessman,easily,Something sells this businessman easily.,-0.5150326,-1.0235965,patient,agent,0.5085639000000001,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-0.66599375,-0.7923118,patient,agent,0.12631804999999996,patient
19,sells,trader,easily,Something sells this trader easily.,-0.58948845,-0.88049257,patient,agent,0.29100412,patient
20,sells,peddler,easily,Something sells this peddler easily.,-0.7560206,-0.71457773,patient,patient,-0.04144287000000002,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-0.65043527,-0.8008413,patient,agent,0.15040602999999997,patient
22,sells,dealer,easily,Something sells this dealer easily.,-0.67617583,-0.7989785,patient,agent,0.12280267,patient
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-0.7716274,-0.676613,patient,patient,-0.09501439999999994,patient
24,sells,toy,well,Something sells this toy well.,-1.2967111,-0.34249687,patient,patient,-0.95421423,patient
25,sells,book,well,Something sells this book well.,-0.9156751,-0.55356115,patient,patient,-0.36211395,patient
26,sells,novel,well,Something sells this novel well.,-1.0549334,-0.4591138,patient,patient,-0.5958195999999999,patient
27,sells,magazine,well,Something sells this magazine well.,-1.0011712,-0.49084878,patient,patient,-0.5103224199999999,patient
28,sells,hat,well,Something sells this hat well.,-0.803983,-0.63577956,patient,patient,-0.16820343999999998,patient
29,sells,lotion,well,Something sells this lotion well.,-1.0584095,-0.45844918,patient,patient,-0.59996032,patient
30,sells,album,well,Something sells this album well.,-0.7408919,-0.6920466,patient,patient,-0.04884530000000009,patient
31,sells,car,well,Something sells this car well.,-0.7459509,-0.6911222,patient,patient,-0.05482869999999995,patient
32,sells,suv,well,Something sells this SUV well.,-0.57864285,-0.8922739,patient,agent,0.3136310499999999,patient
33,sells,product,well,Something sells this product well.,-1.1101702,-0.43701738,patient,patient,-0.67315282,patient
34,sells,make,well,Something sells this make well.,-0.8663711,-0.5815639,patient,patient,-0.2848071999999999,patient
35,sells,item,well,Something sells this item well.,-0.96302277,-0.51941156,patient,patient,-0.44361121000000003,patient
36,sells,cd,well,Something sells this CD well.,-0.71934664,-0.7262951,patient,agent,0.006948459999999934,patient
37,sells,drug,well,Something sells this drug well.,-1.0669686,-0.45345083,patient,patient,-0.6135177700000001,patient
38,sells,snack,well,Something sells this snack well.,-1.0943253,-0.44363526,patient,patient,-0.65069004,patient
39,sells,salesman,well,Something sells this salesman well.,-0.5448392,-0.94691205,patient,agent,0.40207285000000004,patient
40,sells,saleswoman,well,Something sells this saleswoman well.,-0.78582776,-0.66178894,patient,patient,-0.12403882,patient
41,sells,businessman,well,Something sells this businessman well.,-0.549479,-0.9679513,patient,agent,0.4184722999999999,patient
42,sells,businesswoman,well,Something sells this businesswoman well.,-0.6943825,-0.75291586,patient,agent,0.05853335999999998,patient
43,sells,trader,well,Something sells this trader well.,-0.6370124,-0.8226086,patient,agent,0.1855962,patient
44,sells,peddler,well,Something sells this peddler well.,-0.7888246,-0.67483777,patient,patient,-0.11398682999999998,patient
45,sells,telemarketer,well,Something sells this telemarketer well.,-0.70137024,-0.73777384,patient,agent,0.03640359999999998,patient
46,sells,dealer,well,Something sells this dealer well.,-0.7038349,-0.7649387,patient,agent,0.06110379999999993,patient
47,sells,shopkeeper,well,Something sells this shopkeeper well.,-0.7651263,-0.6788398,patient,patient,-0.08628650000000004,patient
48,sells,toy,quickly,Something sells this toy quickly.,-1.3010021,-0.3439899,patient,patient,-0.9570122000000001,patient
49,sells,book,quickly,Something sells this book quickly.,-0.94024384,-0.5415412,patient,patient,-0.3987026400000001,patient
50,sells,novel,quickly,Something sells this novel quickly.,-1.0346351,-0.4739815,patient,patient,-0.5606536,patient
51,sells,magazine,quickly,Something sells this magazine quickly.,-1.0406615,-0.47119954,patient,patient,-0.5694619599999999,patient
52,sells,hat,quickly,Something sells this hat quickly.,-0.78645176,-0.6585946,patient,patient,-0.12785716000000003,patient
53,sells,lotion,quickly,Something sells this lotion quickly.,-1.0557386,-0.46449485,patient,patient,-0.59124375,patient
54,sells,album,quickly,Something sells this album quickly.,-0.75891596,-0.6801061,patient,patient,-0.0788098599999999,patient
55,sells,car,quickly,Something sells this car quickly.,-0.74099815,-0.7023037,patient,patient,-0.03869445000000005,patient
56,sells,suv,quickly,Something sells this SUV quickly.,-0.5604217,-0.9294708,patient,agent,0.3690491,patient
57,sells,product,quickly,Something sells this product quickly.,-1.1661642,-0.41273648,patient,patient,-0.7534277200000001,patient
58,sells,make,quickly,Something sells this make quickly.,-0.88770735,-0.5695705,patient,patient,-0.31813685,patient
59,sells,item,quickly,Something sells this item quickly.,-0.99114555,-0.50632995,patient,patient,-0.4848156,patient
60,sells,cd,quickly,Something sells this CD quickly.,-0.74703896,-0.70938015,patient,patient,-0.03765881000000004,patient
61,sells,drug,quickly,Something sells this drug quickly.,-1.1191746,-0.43067518,patient,patient,-0.6884994200000001,patient
62,sells,snack,quickly,Something sells this snack quickly.,-1.1036818,-0.4431441,patient,patient,-0.6605376999999999,patient
63,sells,salesman,quickly,Something sells this salesman quickly.,-0.5718116,-0.92412364,patient,agent,0.35231204000000005,patient
64,sells,saleswoman,quickly,Something sells this saleswoman quickly.,-0.86826,-0.602902,patient,patient,-0.265358,patient
65,sells,businessman,quickly,Something sells this businessman quickly.,-0.5557866,-0.97222185,patient,agent,0.41643525000000003,patient
66,sells,businesswoman,quickly,Something sells this businesswoman quickly.,-0.7775985,-0.6814909,patient,patient,-0.09610759999999996,patient
67,sells,trader,quickly,Something sells this trader quickly.,-0.6205402,-0.8463837,patient,agent,0.22584349999999997,patient
68,sells,peddler,quickly,Something sells this peddler quickly.,-0.8202852,-0.6626504,patient,patient,-0.15763480000000007,patient
69,sells,telemarketer,quickly,Something sells this telemarketer quickly.,-0.74972266,-0.69921607,patient,patient,-0.05050659000000002,patient
70,sells,dealer,quickly,Something sells this dealer quickly.,-0.70440423,-0.7738355,patient,agent,0.06943127000000004,patient
71,sells,shopkeeper,quickly,Something sells this shopkeeper quickly.,-0.8492708,-0.6161032,patient,patient,-0.23316760000000003,patient
