id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-4.8122525,-0.022706376,patient,patient,-4.789546123999999,patient
1,sells,book,easily,Something sells this book easily.,-3.6941428,-0.06385495,patient,patient,-3.6302878499999998,patient
2,sells,novel,easily,Something sells this novel easily.,-3.597729,-0.059624318,patient,patient,-3.538104682,patient
3,sells,magazine,easily,Something sells this magazine easily.,-3.6847608,-0.0691508,patient,patient,-3.6156099999999998,patient
4,sells,hat,easily,Something sells this hat easily.,-5.862004,-0.025619386,patient,patient,-5.836384614,patient
5,sells,lotion,easily,Something sells this lotion easily.,-4.877754,-0.0376819,patient,patient,-4.8400721,patient
6,sells,album,easily,Something sells this album easily.,-4.8814883,-0.046434898,patient,patient,-4.835053402,patient
7,sells,car,easily,Something sells this car easily.,-3.8851151,-0.07495362,patient,patient,-3.81016148,patient
8,sells,suv,easily,Something sells this SUV easily.,-3.6802404,-0.11082616,patient,patient,-3.5694142400000004,patient
9,sells,product,easily,Something sells this product easily.,-2.2465866,-0.4259241,patient,patient,-1.8206625,patient
10,sells,make,easily,Something sells this make easily.,-3.1793103,-0.3279739,patient,patient,-2.8513364,patient
11,sells,item,easily,Something sells this item easily.,-3.383715,-0.105101936,patient,patient,-3.278613064,patient
12,sells,cd,easily,Something sells this CD easily.,-4.8244243,-0.04970514,patient,patient,-4.77471916,patient
13,sells,drug,easily,Something sells this drug easily.,-3.7217906,-0.085598975,patient,patient,-3.636191625,patient
14,sells,snack,easily,Something sells this snack easily.,-4.5304933,-0.037162125,patient,patient,-4.493331175,patient
15,sells,salesman,easily,Something sells this salesman easily.,-2.8474643,-2.426365,patient,patient,-0.42109929999999984,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-3.082903,-0.12833016,patient,patient,-2.95457284,patient
17,sells,businessman,easily,Something sells this businessman easily.,-2.1749098,-2.0686655,patient,patient,-0.10624430000000018,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-3.3696156,-0.2983524,patient,patient,-3.0712631999999997,patient
19,sells,trader,easily,Something sells this trader easily.,-2.2173066,-0.5588231,patient,patient,-1.6584835,patient
20,sells,peddler,easily,Something sells this peddler easily.,-3.286884,-0.26436064,patient,patient,-3.02252336,patient
