id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-0.64995795,-0.8180622,agent,agent,0.16810424999999996,agent
1,sells,book,easily,This book sells something easily.,-0.38625807,-1.3031015,agent,agent,0.9168434299999999,agent
2,sells,novel,easily,This novel sells something easily.,-0.37205634,-1.2193499,agent,agent,0.8472935600000001,agent
3,sells,magazine,easily,This magazine sells something easily.,-0.5948036,-0.91063017,agent,agent,0.31582657000000003,agent
4,sells,hat,easily,This hat sells something easily.,-0.8157951,-0.69597286,agent,patient,-0.11982223999999997,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.9379318,-0.5369852,agent,patient,-0.40094659999999993,agent
6,sells,album,easily,This album sells something easily.,-0.57102203,-0.9047484,agent,agent,0.33372637000000005,agent
7,sells,car,easily,This car sells something easily.,-0.25530303,-1.65585,agent,agent,1.4005469700000002,agent
8,sells,suv,easily,This SUV sells something easily.,-0.3182537,-1.5174305,agent,agent,1.1991768,agent
9,sells,product,easily,This product sells something easily.,-0.34604335,-1.4321918,agent,agent,1.08614845,agent
10,sells,make,easily,This make sells something easily.,-0.19991736,-1.9805467,agent,agent,1.7806293400000002,agent
11,sells,item,easily,This item sells something easily.,-0.647373,-0.92061335,agent,agent,0.27324035,agent
12,sells,cd,easily,This CD sells something easily.,-0.5268261,-1.0169765,agent,agent,0.4901504,agent
13,sells,drug,easily,This drug sells something easily.,-0.3743316,-1.3923157,agent,agent,1.0179841,agent
14,sells,snack,easily,This snack sells something easily.,-0.6993112,-0.8286773,agent,agent,0.12936609999999993,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.1315894,-2.2964334,agent,agent,2.164844,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.32543063,-1.3841244,agent,agent,1.0586937699999999,agent
17,sells,businessman,easily,This businessman sells something easily.,-0.18514344,-2.167288,agent,agent,1.98214456,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.18356338,-1.9437473,agent,agent,1.76018392,agent
19,sells,trader,easily,This trader sells something easily.,-0.13057901,-2.3368478,agent,agent,2.20626879,agent
20,sells,peddler,easily,This peddler sells something easily.,-0.23334673,-1.7196022,agent,agent,1.48625547,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.3681005,-1.3947717,agent,agent,1.0266712,agent
22,sells,dealer,easily,This dealer sells something easily.,-0.17201653,-1.8849531,agent,agent,1.7129365699999999,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.203251,-1.8612672,agent,agent,1.6580161999999998,agent
24,sells,toy,well,This toy sells something well.,-0.54213995,-0.8612688,agent,agent,0.3191288499999999,agent
25,sells,book,well,This book sells something well.,-0.38950136,-1.2780961,agent,agent,0.8885947399999999,agent
26,sells,novel,well,This novel sells something well.,-0.2707446,-1.4886206,agent,agent,1.217876,agent
27,sells,magazine,well,This magazine sells something well.,-0.6543704,-0.7884761,agent,agent,0.1341057,agent
28,sells,hat,well,This hat sells something well.,-0.66411126,-0.79645914,agent,agent,0.13234787999999997,agent
29,sells,lotion,well,This lotion sells something well.,-0.82163733,-0.608108,agent,patient,-0.21352933000000007,agent
30,sells,album,well,This album sells something well.,-0.5471725,-0.93772554,agent,agent,0.39055304,agent
31,sells,car,well,This car sells something well.,-0.33019546,-1.4425688,agent,agent,1.11237334,agent
32,sells,suv,well,This SUV sells something well.,-0.32551688,-1.383604,agent,agent,1.0580871200000002,agent
33,sells,product,well,This product sells something well.,-0.3678082,-1.3356698,agent,agent,0.9678616,agent
34,sells,make,well,This make sells something well.,-0.20569296,-1.9351451,agent,agent,1.72945214,agent
35,sells,item,well,This item sells something well.,-0.6930642,-0.8118516,agent,agent,0.11878739999999999,agent
36,sells,cd,well,This CD sells something well.,-0.484417,-1.133351,agent,agent,0.648934,agent
37,sells,drug,well,This drug sells something well.,-0.35892448,-1.3302951,agent,agent,0.9713706200000001,agent
38,sells,snack,well,This snack sells something well.,-0.6875415,-0.76693654,agent,agent,0.07939503999999997,agent
39,sells,salesman,well,This salesman sells something well.,-0.10612594,-2.421255,agent,agent,2.31512906,agent
40,sells,saleswoman,well,This saleswoman sells something well.,-0.26141065,-1.6134065,agent,agent,1.35199585,agent
41,sells,businessman,well,This businessman sells something well.,-0.19211744,-1.9596726,agent,agent,1.76755516,agent
42,sells,businesswoman,well,This businesswoman sells something well.,-0.18846221,-1.9725713,agent,agent,1.78410909,agent
43,sells,trader,well,This trader sells something well.,-0.1039244,-2.3826277,agent,agent,2.2787033,agent
44,sells,peddler,well,This peddler sells something well.,-0.20243528,-1.9291468,agent,agent,1.72671152,agent
45,sells,telemarketer,well,This telemarketer sells something well.,-0.28470677,-1.5283667,agent,agent,1.2436599300000002,agent
46,sells,dealer,well,This dealer sells something well.,-0.1502989,-2.192187,agent,agent,2.0418881,agent
47,sells,shopkeeper,well,This shopkeeper sells something well.,-0.20613024,-1.8818276,agent,agent,1.67569736,agent
48,sells,toy,quickly,This toy sells something quickly.,-0.62161833,-0.8615972,agent,agent,0.23997886999999996,agent
49,sells,book,quickly,This book sells something quickly.,-0.47593722,-1.1388668,agent,agent,0.6629295799999999,agent
50,sells,novel,quickly,This novel sells something quickly.,-0.52024454,-1.0075874,agent,agent,0.48734286000000004,agent
51,sells,magazine,quickly,This magazine sells something quickly.,-0.8693004,-0.6299458,agent,patient,-0.23935459999999997,agent
