id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-2.2455079555511475,-0.1885620653629303,patient,patient,-2.056945890188217,patient
1,sells,book,easily,This book sells easily.,-1.085080862045288,-0.5160959362983704,patient,patient,-0.5689849257469177,agent
2,sells,novel,easily,This novel sells easily.,-1.0843424797058103,-0.5061563849449158,patient,patient,-0.5781860947608946,agent
3,sells,magazine,easily,This magazine sells easily.,-1.5741339921951294,-0.3032294511795044,patient,patient,-1.270904541015625,agent
4,sells,hat,easily,This hat sells easily.,-1.423539161682129,-0.3776711821556091,patient,patient,-1.0458679795265198,agent
5,sells,lotion,easily,This lotion sells easily.,-1.2768328189849854,-0.4110949039459228,patient,patient,-0.8657379150390625,agent
6,sells,album,easily,This album sells easily.,-2.158876657485962,-0.189699500799179,patient,patient,-1.9691771566867828,patient
7,sells,car,easily,This car sells easily.,-1.6171138286590576,-0.3461787402629852,patient,patient,-1.2709350883960724,agent
8,sells,suv,easily,This SUV sells easily.,-2.851816177368164,-0.1117038875818252,patient,patient,-2.740112289786339,patient
9,sells,product,easily,This product sells easily.,-1.264272928237915,-0.4407103657722473,patient,patient,-0.8235625624656677,agent
10,sells,make,easily,This make sells easily.,-1.0844612121582031,-0.5091591477394104,patient,patient,-0.5753020644187927,agent
11,sells,item,easily,This item sells easily.,-0.8156490325927734,-0.7921504974365234,patient,patient,-0.02349853515625,agent
12,sells,cd,easily,This CD sells easily.,-2.85803484916687,-0.1710842102766037,patient,patient,-2.6869506388902664,patient
13,sells,drug,easily,This drug sells easily.,-1.463592529296875,-0.4287033677101135,patient,patient,-1.0348891615867615,agent
14,sells,snack,easily,This snack sells easily.,-2.520301342010498,-0.1492074728012085,patient,patient,-2.3710938692092896,patient
15,sells,salesman,easily,This salesman sells easily.,-0.8120803833007812,-0.6796646118164062,agent,patient,-0.132415771484375,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.5415422320365906,-1.0109636783599854,agent,agent,0.4694214463233948,agent
17,sells,businessman,easily,This businessman sells easily.,-1.317254900932312,-0.4002169668674469,agent,patient,-0.9170379340648651,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-1.5931987762451172,-0.3323192894458771,agent,patient,-1.2608794867992401,agent
19,sells,trader,easily,This trader sells easily.,-0.9778831005096436,-0.5775763988494873,agent,patient,-0.40030670166015625,agent
20,sells,peddler,easily,This peddler sells easily.,-1.2579405307769775,-0.4362089335918426,agent,patient,-0.8217315971851349,agent
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.856482982635498,-0.731299877166748,agent,patient,-0.12518310546875,agent
22,sells,dealer,easily,This dealer sells easily.,-1.1810224056243896,-0.4635694622993469,agent,patient,-0.7174529433250427,agent
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-0.8947501182556152,-0.6399130821228027,agent,patient,-0.2548370361328125,agent
24,sells,toy,well,This toy sells well.,-2.2783079147338867,-0.1845350414514541,patient,patient,-2.0937728732824326,patient
25,sells,book,well,This book sells well.,-1.0914154052734375,-0.5133514404296875,patient,patient,-0.57806396484375,agent
26,sells,novel,well,This novel sells well.,-1.141124606132507,-0.4750327169895172,patient,patient,-0.6660918891429899,agent
27,sells,magazine,well,This magazine sells well.,-1.7017161846160889,-0.2685344219207763,patient,patient,-1.4331817626953125,agent
28,sells,hat,well,This hat sells well.,-1.513437271118164,-0.3525180518627167,patient,patient,-1.1609192192554474,agent
29,sells,lotion,well,This lotion sells well.,-1.3845866918563845,-0.3706706762313843,patient,patient,-1.0139160156250002,agent
30,sells,album,well,This album sells well.,-2.270949125289917,-0.1735064685344696,patient,patient,-2.0974426567554474,patient
31,sells,car,well,This car sells well.,-1.731709122657776,-0.319828599691391,patient,patient,-1.411880522966385,agent
32,sells,suv,well,This SUV sells well.,-3.0075018405914307,-0.1028386875987052,patient,patient,-2.9046631529927254,patient
33,sells,product,well,This product sells well.,-1.2566535472869873,-0.4435432553291321,patient,patient,-0.8131102919578552,agent
34,sells,make,well,This make sells well.,-1.1881011724472046,-0.461538702249527,patient,patient,-0.7265624701976776,agent
35,sells,item,well,This item sells well.,-0.8261362910270691,-0.7821833491325378,patient,patient,-0.04395294189453125,agent
36,sells,cd,well,This CD sells well.,-3.01343321800232,-0.1578348726034164,patient,patient,-2.8555983453989033,patient
37,sells,drug,well,This drug sells well.,-1.4913909435272217,-0.4164779186248779,patient,patient,-1.0749130249023438,agent
38,sells,snack,well,This snack sells well.,-2.663834571838379,-0.1384592056274414,patient,patient,-2.5253753662109375,patient
39,sells,salesman,well,This salesman sells well.,-0.9059993028640748,-0.6086207628250122,agent,patient,-0.2973785400390626,agent
40,sells,saleswoman,well,This saleswoman sells well.,-0.63644939661026,-0.8892112374305725,agent,agent,0.2527618408203125,agent
41,sells,businessman,well,This businessman sells well.,-1.3833450078964231,-0.3754257261753082,agent,patient,-1.007919281721115,agent
42,sells,businesswoman,well,This businesswoman sells well.,-1.766211748123169,-0.290702074766159,agent,patient,-1.4755096733570099,agent
43,sells,trader,well,This trader sells well.,-1.0497832298278809,-0.5346465110778809,agent,patient,-0.51513671875,agent
44,sells,peddler,well,This peddler sells well.,-1.3772008419036863,-0.3918949961662292,agent,patient,-0.985305845737457,agent
45,sells,telemarketer,well,This telemarketer sells well.,-0.9401134252548218,-0.6720699071884155,agent,patient,-0.26804351806640625,agent
46,sells,dealer,well,This dealer sells well.,-1.268223524093628,-0.4275252223014831,agent,patient,-0.8406983017921448,agent
47,sells,shopkeeper,well,This shopkeeper sells well.,-0.946647584438324,-0.6086501479148865,agent,patient,-0.3379974365234375,agent
48,sells,toy,quickly,This toy sells quickly.,-2.2526497840881348,-0.1862053424119949,patient,patient,-2.06644444167614,patient
49,sells,book,quickly,This book sells quickly.,-1.077624797821045,-0.5208011269569397,patient,patient,-0.5568236708641052,agent
50,sells,novel,quickly,This novel sells quickly.,-1.118031024932861,-0.4865689277648926,patient,patient,-0.6314620971679685,agent
51,sells,magazine,quickly,This magazine sells quickly.,-1.620427131652832,-0.2895098030567169,patient,patient,-1.3309173285961151,agent
52,sells,hat,quickly,This hat sells quickly.,-1.3995946645736694,-0.3868230879306793,patient,patient,-1.0127715766429901,agent
53,sells,lotion,quickly,This lotion sells quickly.,-1.2850065231323242,-0.4066800773143768,patient,patient,-0.8783264458179474,agent
54,sells,album,quickly,This album sells quickly.,-2.183724403381348,-0.1845789551734924,patient,patient,-1.9991454482078557,patient
55,sells,car,quickly,This car sells quickly.,-1.6154412031173706,-0.3495263159275055,patient,patient,-1.2659148871898651,agent
56,sells,suv,quickly,This SUV sells quickly.,-2.918375015258789,-0.1063785329461097,patient,patient,-2.8119964823126793,patient
57,sells,product,quickly,This product sells quickly.,-1.2637701034545898,-0.4406728446483612,patient,patient,-0.8230972588062286,agent
58,sells,make,quickly,This make sells quickly.,-1.071803331375122,-0.5178024172782898,patient,patient,-0.5540009140968323,agent
59,sells,item,quickly,This item sells quickly.,-0.8110426068305969,-0.7993238568305969,patient,patient,-0.01171875,agent
60,sells,cd,quickly,This CD sells quickly.,-2.99243712425232,-0.1573387682437896,patient,patient,-2.83509835600853,patient
61,sells,drug,quickly,This drug sells quickly.,-1.474475622177124,-0.4238241016864776,patient,patient,-1.0506515204906464,agent
62,sells,snack,quickly,This snack sells quickly.,-2.61578631401062,-0.1402308791875839,patient,patient,-2.475555434823036,patient
63,sells,salesman,quickly,This salesman sells quickly.,-0.8371429443359375,-0.6574249267578125,agent,patient,-0.179718017578125,agent
64,sells,saleswoman,quickly,This saleswoman sells quickly.,-0.5669062733650208,-0.9710505604743958,agent,agent,0.404144287109375,agent
65,sells,businessman,quickly,This businessman sells quickly.,-1.3458337783813477,-0.3854761719703674,agent,patient,-0.9603576064109802,agent
66,sells,businesswoman,quickly,This businesswoman sells quickly.,-1.654232144355774,-0.3117028176784515,agent,patient,-1.3425293266773224,agent
67,sells,trader,quickly,This trader sells quickly.,-0.9908047914505004,-0.5674039125442505,agent,patient,-0.4234008789062499,agent
68,sells,peddler,quickly,This peddler sells quickly.,-1.2711409330368042,-0.4280928671360016,agent,patient,-0.8430480659008026,agent
69,sells,telemarketer,quickly,This telemarketer sells quickly.,-0.8615027070045471,-0.7236395478248596,agent,patient,-0.1378631591796875,agent
70,sells,dealer,quickly,This dealer sells quickly.,-1.198439121246338,-0.4542222321033478,agent,patient,-0.7442168891429901,agent
71,sells,shopkeeper,quickly,This shopkeeper sells quickly.,-0.9205648899078368,-0.6189596652984619,agent,patient,-0.3016052246093749,agent
72,drives,car,nicely,This car drives nicely.,-1.829397439956665,-0.2521116733551025,patient,patient,-1.5772857666015625,agent
73,drives,suv,nicely,This SUV drives nicely.,-2.919196128845215,-0.0953894183039665,patient,patient,-2.8238067105412483,patient
74,drives,truck,nicely,This truck drives nicely.,-1.870512843132019,-0.2318867444992065,patient,patient,-1.6386260986328125,agent
75,drives,convertible,nicely,This convertible drives nicely.,-2.464397668838501,-0.12745301425457,patient,patient,-2.336944654583931,patient
76,drives,vehicle,nicely,This vehicle drives nicely.,-1.903457760810852,-0.2160035222768783,patient,patient,-1.6874542385339737,patient
