noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-1.6948356050000002
actor,1,0.0,-0.92944897
aircraft,3,0.0,-1.8096606166666664
album,3,0.0,-1.20419565
animal,2,0.0,-1.79772991
announcer,2,0.0,-1.25058935
artisan,4,0.0,-1.06024737
artist,4,0.0,-1.23026989
author,2,0.0,-1.1748361
aviator,3,0.0,-0.7931709866666665
backpack,2,0.0,-1.90333836
backpacker,2,0.0,-1.6830911
bag,2,0.0,-2.16930143
baker,6,0.0,-1.6583842816666665
barber,7,0.0,-1.5161521271428573
basket,2,0.0,-2.397880563
beard,3,0.0,-1.8744422566666668
bedding,5,0.0,-1.736957074
bike,4,0.0,-1.483743645
blanket,2,0.0,-2.3315916175
blogger,2,0.0,-1.508951175
board,4,0.0,-1.7506651425000002
book,3,0.0,-1.3547529066666666
bottle,2,0.0,-2.077592865
bowl,2,0.0,-2.2971581125
bread,3,0.0,-1.9169597200000001
broadcaster,2,0.0,-2.190737445
building,2,0.0,-1.791675125
bus,3,0.0,-1.6240151466666666
busboy,5,0.0,-1.590449124
businessman,3,0.0,-1.2190130166666668
businesswoman,3,0.0,-1.30128445
butcher,4,0.0,-1.7308115400000001
cake,3,0.0,-2.0344701466666666
cameraman,2,0.0,-1.6957213
camper,2,0.0,-1.597554085
canvas,4,0.0,-2.1737737000000004
captain,3,0.0,-0.94486422
car,12,0.0,-1.4682629441666668
cardboard,4,0.0,-1.764970275
carpet,3,0.0,-1.4809200833333334
carver,7,0.0,-1.6419974814285714
caterer,3,0.0,-1.3756914700000002
cd,3,0.0,-1.4284349833333332
cellist,2,0.0,-1.709151125
cello,2,0.0,-1.91910548
chauffeur,3,0.0,-1.2481263333333332
chef,10,0.0,-1.2859992519999999
choreography,1,0.0,-1.29179177
clarinet,2,0.0,-2.12880322
clarinetist,2,0.0,-1.7723092450000002
clay,6,0.0,-2.000291823
cleaner,5,0.0,-1.9029006679999998
clerk,2,0.0,-1.569771135
cloth,8,0.0,-2.2701827912500003
coat,2,0.0,-2.01712128
code,2,0.0,-1.324184495
comedian,1,0.0,-1.2558135
concerto,1,0.0,-1.12116225
confectioner,3,0.0,-2.1621359279999997
container,2,0.0,-2.32495598
convertible,3,0.0,-1.7781613033333334
cook,6,0.0,-1.71611778
cotton,4,0.0,-2.3061384675000003
countertop,3,0.0,-1.98539101
crate,2,0.0,-2.3992698924999996
cushion,4,0.0,-2.7927350725
cut,4,0.0,-1.9709038575
dancer,1,0.0,-1.69328307
dealer,3,0.0,-1.3170559566666666
dish,2,0.0,-2.0942174099999997
doctor,2,0.0,-1.6552181049999999
dough,3,0.0,-2.1053187033333334
dressmaker,4,0.0,-2.156951819
driver,7,0.0,-1.2017110757142857
drug,3,0.0,-1.7235124833333335
drummer,2,0.0,-1.42054375
duffle,2,0.0,-2.3404835999999998
essay,4,0.0,-1.4937643925
essayist,2,0.0,-1.51619816
fabric,20,0.0,-2.33264343155
fillet,3,0.0,-1.6085128966666666
fish,3,0.0,-1.8302568000000001
floor,3,0.0,-1.5229434666666668
flute,2,0.0,-2.22667892
flutist,2,0.0,-2.023593015
food,2,0.0,-1.8125419699999998
gem,4,0.0,-2.0799969925
glass,4,0.0,-2.2772893659999998
hairdresser,7,0.0,-1.5539822771428573
handle,4,0.0,-1.8392895025
hat,3,0.0,-1.5072160333333333
herb,3,0.0,-1.7274328333333333
hiker,2,0.0,-1.748833695
housekeeper,3,0.0,-1.33924811
ice,7,0.0,-1.6716600142857143
illustrator,4,0.0,-1.2593597300000001
ingredient,3,0.0,-1.4249152366666664
instrument,2,0.0,-1.7767485499999998
item,3,0.0,-1.4885062266666669
jacket,2,0.0,-1.907341
janitor,3,0.0,-1.1079215466666668
jet,3,0.0,-1.7870566333333333
jeweler,4,0.0,-1.6669272274999998
jewelry,3,0.0,-1.7949484966666667
journalist,2,0.0,-1.726541475
kite,3,0.0,-1.9293951299999998
knob,4,0.0,-2.2229961410000003
lady,5,0.0,-2.1754058952
lake,2,0.0,-2.143062522
landscape,2,0.0,-1.8675880900000001
letter,2,0.0,-1.455754255
line,2,0.0,-1.920551155
lotion,3,0.0,-1.9823040900000002
lunchbox,2,0.0,-2.1318938750000003
machine,8,0.0,-2.0542726118749997
magazine,3,0.0,-1.6104806299999999
maid,5,0.0,-1.431394826
make,3,0.0,-1.4906972333333333
man,5,0.0,-1.7695628540000001
marble,3,0.0,-1.9673121233333333
mason,3,0.0,-1.58774192
material,4,0.0,-1.9267454325000002
meat,7,0.0,-1.7514860600000002
mirror,3,0.0,-1.9075033933333332
model,2,0.0,-1.6795986850000002
motorcycle,4,0.0,-1.5038361075
motorist,4,0.0,-1.5700597
mountain,2,0.0,-1.8919619399999998
mover,2,0.0,-1.6742619199999997
mushroom,3,0.0,-2.0421815133333334
musician,3,0.0,-1.6046008166666665
narrator,2,0.0,-1.84105279
notetaker,2,0.0,-1.839564165
novel,3,0.0,-1.4313704366666666
novelist,2,0.0,-1.44677538
orator,2,0.0,-1.29957094
packaging,4,0.0,-1.809040445
painter,4,0.0,-1.6040253475
panel,4,0.0,-1.97839177
paper,4,0.0,-1.8432559549999998
passage,6,0.0,-1.7900325383333335
pastry,3,0.0,-2.37678502
patissier,3,0.0,-1.90863417
pattern,5,0.0,-1.9960638419999999
peddler,3,0.0,-1.6335479166666669
pepper,3,0.0,-1.8548170666666668
person,30,0.0,-1.759397347
photographer,2,0.0,-1.810374955
pianist,2,0.0,-1.56474216
piano,2,0.0,-1.72311864
pie,3,0.0,-2.1714972933333336
pilot,7,0.0,-1.3348317571428574
pizza,3,0.0,-1.90121962
plane,3,0.0,-2.000311996666667
poem,2,0.0,-2.0133150650000005
poet,2,0.0,-1.8465090000000002
portraitist,4,0.0,-1.6729721475000001
pot,3,0.0,-1.9121983266666664
potato,3,0.0,-2.162282565
potter,3,0.0,-1.80042335
product,3,0.0,-1.6071898666666666
professor,2,0.0,-1.47319125
proposal,2,0.0,-1.6020477949999998
pumpkin,4,0.0,-2.112867805
quilt,4,0.0,-2.392680626
racer,4,0.0,-1.4588656675
report,2,0.0,-1.780348675
roadtripper,2,0.0,-1.660987865
routine,1,0.0,-1.60694095
salesman,3,0.0,-1.3262622033333333
saleswoman,3,0.0,-1.5962943366666666
salmon,3,0.0,-1.7206296833333334
scene,1,0.0,-1.88460171
screw,4,0.0,-1.6221890075
scribe,2,0.0,-1.74588484
script,2,0.0,-1.646961255
sculptor,7,0.0,-1.7443221771428572
seamster,8,0.0,-2.466802939375
seamstress,4,0.0,-2.7784775425
section,2,0.0,-1.78120795
shirt,2,0.0,-1.921057615
shopkeeper,3,0.0,-1.5181676
sideburn,3,0.0,-2.1388466766666667
silk,4,0.0,-2.249846415
silverware,3,0.0,-1.6696580233333336
singer,1,0.0,-1.54207989
snack,3,0.0,-1.86857225
soloist,1,0.0,-1.60154506
sonata,1,0.0,-1.37392238
song,1,0.0,-1.43654812
steak,7,0.0,-1.904169574285714
stone,7,0.0,-1.937285242857143
stubble,3,0.0,-2.00197915
student,4,0.0,-2.1746849075
suitcase,2,0.0,-2.024823085
surface,7,0.0,-1.9283866257142859
surgeon,4,0.0,-1.9785184
suv,6,0.0,-1.3242558816666667
tailor,12,0.0,-1.9573852695833331
tank,3,0.0,-1.5162139200000002
teacher,2,0.0,-2.01499168
telemarketer,3,0.0,-1.2054938766666667
tent,2,0.0,-2.152555542
thread,4,0.0,-2.2875413140000003
toy,3,0.0,-1.9894762033333333
tractor,3,0.0,-1.63009887
trader,3,0.0,-1.2566051133333334
traveller,2,0.0,-1.792458445
truck,3,0.0,-1.8089642866666669
tub,2,0.0,-2.1602887500000003
tuna,3,0.0,-2.084699226666667
turkey,4,0.0,-1.85804977
upholsterer,4,0.0,-2.0580306
valve,4,0.0,-1.8952136449999997
van,3,0.0,-1.7194009866666669
vegetable,3,0.0,-1.9628178566666667
vehicle,3,0.0,-1.7521367433333335
verse,2,0.0,-1.91928389
view,2,0.0,-2.0573291350000003
violin,2,0.0,-1.83109183
violinist,2,0.0,-1.612992215
waiter,3,0.0,-1.7518587166666666
waitress,3,0.0,-2.182858723333333
wall,4,0.0,-2.0539092875000002
window,3,0.0,-1.6376507333333334
windshield,5,0.0,-1.651843796
woman,5,0.0,-2.3772017659999998
wood,11,0.0,-1.9095827881818186
wool,5,0.0,-2.270397878
worker,4,0.0,-1.9389061449999998
wound,4,0.0,-2.328711815
yarn,5,0.0,-2.517015196
