id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-2.0958235,-0.14735247,agent,patient,-1.9484710299999999,agent
1,sells,book,easily,This book sells something easily.,-1.554554,-0.26687044,agent,patient,-1.28768356,agent
2,sells,novel,easily,This novel sells something easily.,-1.5836226,-0.25300086,agent,patient,-1.33062174,agent
3,sells,magazine,easily,This magazine sells something easily.,-1.7304486,-0.2165841,agent,patient,-1.5138645,agent
4,sells,hat,easily,This hat sells something easily.,-1.6023028,-0.24643926,agent,patient,-1.3558635399999999,agent
5,sells,lotion,easily,This lotion sells something easily.,-2.1113696,-0.14722222,agent,patient,-1.9641473800000002,agent
6,sells,album,easily,This album sells something easily.,-1.420098,-0.30045387,agent,patient,-1.1196441300000002,agent
7,sells,car,easily,This car sells something easily.,-1.5059553,-0.27154222,agent,patient,-1.2344130800000002,agent
8,sells,suv,easily,This SUV sells something easily.,-1.4453155,-0.29512337,agent,patient,-1.15019213,agent
9,sells,product,easily,This product sells something easily.,-1.8356445,-0.2011572,agent,patient,-1.6344873,agent
10,sells,make,easily,This make sells something easily.,-1.6996056,-0.22285226,agent,patient,-1.47675334,agent
11,sells,item,easily,This item sells something easily.,-1.684376,-0.23630165,agent,patient,-1.4480743500000002,agent
12,sells,cd,easily,This CD sells something easily.,-1.5942116,-0.25536153,agent,patient,-1.33885007,agent
13,sells,drug,easily,This drug sells something easily.,-1.8939568,-0.18347143,agent,patient,-1.71048537,agent
14,sells,snack,easily,This snack sells something easily.,-2.031237,-0.16358964,agent,patient,-1.8676473599999999,agent
15,sells,salesman,easily,This salesman sells something easily.,-1.5516194,-0.26718226,agent,patient,-1.28443714,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-1.7764567,-0.21736534,agent,patient,-1.55909136,agent
17,sells,businessman,easily,This businessman sells something easily.,-1.4879385,-0.29448584,agent,patient,-1.1934526600000002,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-1.5444684,-0.2767796,agent,patient,-1.2676888,agent
19,sells,trader,easily,This trader sells something easily.,-1.5465578,-0.26993886,agent,patient,-1.27661894,agent
20,sells,peddler,easily,This peddler sells something easily.,-1.7665008,-0.2163415,agent,patient,-1.5501593,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-1.4771456,-0.2945839,agent,patient,-1.1825617,agent
22,sells,dealer,easily,This dealer sells something easily.,-1.5501639,-0.26850393,agent,patient,-1.28165997,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-1.7369765,-0.22307745,agent,patient,-1.51389905,agent
24,sells,toy,well,This toy sells something well.,-2.0650477,-0.15113501,agent,patient,-1.91391269,agent
25,sells,book,well,This book sells something well.,-1.5342139,-0.27424994,agent,patient,-1.2599639599999999,agent
26,sells,novel,well,This novel sells something well.,-1.6215544,-0.24424458,agent,patient,-1.37730982,agent
27,sells,magazine,well,This magazine sells something well.,-1.7857924,-0.20529467,agent,patient,-1.58049773,agent
28,sells,hat,well,This hat sells something well.,-1.7659869,-0.20870176,agent,patient,-1.5572851399999998,agent
29,sells,lotion,well,This lotion sells something well.,-2.108115,-0.14931738,agent,patient,-1.9587976200000001,agent
30,sells,album,well,This album sells something well.,-1.4844307,-0.28219825,agent,patient,-1.2022324500000001,agent
31,sells,car,well,This car sells something well.,-1.5677333,-0.25565282,agent,patient,-1.31208048,agent
32,sells,suv,well,This SUV sells something well.,-1.4445722,-0.2965734,agent,patient,-1.1479988,agent
33,sells,product,well,This product sells something well.,-1.775394,-0.214807,agent,patient,-1.560587,agent
34,sells,make,well,This make sells something well.,-1.6875861,-0.22695766,agent,patient,-1.46062844,agent
35,sells,item,well,This item sells something well.,-1.7222062,-0.2282392,agent,patient,-1.493967,agent
