noun,avg_LL_delta
abstract,0.4679832458496087
actor,0.8979837894439697
aircraft,-0.302990972995758
album,-0.4178313612937927
animal,0.2161011695861816
announcer,0.7509386539459229
artisan,0.3483469486236572
artist,-0.1885222792625428
author,1.0845966935157776
aviator,0.1903266906738281
backpack,-0.3082764148712158
backpacker,-0.0295057296752927
bag,-0.6459813117980957
baker,0.0818262696266174
barber,0.1199044585227966
basket,-0.1617345809936523
beard,0.262704849243164
bedding,-0.3101549148559568
bike,-0.310357987880707
blanket,-0.0489392280578613
blogger,0.0783529281616211
board,-0.3981176018714905
book,0.3246058821678161
bottle,-0.3471217751502989
bowl,-0.0792770385742188
bread,-0.1781254410743713
broadcaster,0.4608888626098633
building,0.0412126183509826
bus,-0.001053810119629
busboy,0.0659542083740234
businessman,0.6276322007179262
businesswoman,0.2332758903503416
butcher,0.0066976547241212
cake,-0.253179609775543
cameraman,-0.0182943344116212
camper,-0.0349874496459962
canvas,-0.2588915228843689
captain,0.4290289878845212
car,0.1296015381813048
cardboard,-0.2684001326560974
carpet,0.0983563065528869
carver,0.265268325805664
caterer,-0.1571007370948791
cd,-0.5939204096794128
cellist,0.2446984648704528
cello,-0.0297107696533203
chauffeur,0.3862190246582033
chef,0.0461206436157226
choreography,-0.4085862636566161
clarinet,-0.2670536637306213
clarinetist,-0.2885971665382385
clay,-0.1498851776123048
cleaner,0.4432897567749022
clerk,0.7272287607192993
cloth,0.5654219388961792
coat,0.4575743675231933
code,-0.2799863219261169
comedian,-0.032266616821289
concerto,-0.384796142578125
confectioner,-0.0492992401123048
container,-0.0148448944091796
convertible,0.0756721496582031
cook,0.0910577774047851
cotton,0.0643625259399411
countertop,0.03668212890625
crate,-0.3042584061622619
cushion,-0.2054023742675781
cut,-0.1017279624938964
dancer,0.0450963973999023
dealer,0.9443659782409668
dish,-0.1581489443778994
doctor,0.3540611267089841
dough,-0.1389617919921874
dressmaker,0.4817790389060974
driver,0.2560100555419922
drug,0.66888427734375
drummer,-0.1771908402442932
duffle,-0.0003376007080079
essay,0.4493527412414551
essayist,0.4069414138793945
fabric,-0.169961929321289
fillet,-0.2462462782859804
fish,0.1550932526588437
floor,-0.6639365553855896
flute,-0.3915033340454101
flutist,-0.0779743194580078
food,-0.2878613471984863
gem,-0.1879462599754333
glass,-0.0385780334472656
hairdresser,0.2477169632911682
handle,0.441962242126465
hat,0.3160380721092224
herb,0.1464099884033203
hiker,0.1626443862915039
housekeeper,0.1552028656005857
ice,-0.1611824035644531
illustrator,-0.1783080101013182
ingredient,-0.2118568420410156
instrument,0.0947046279907226
item,-0.22100830078125
jacket,0.3862838745117187
janitor,0.2031078338623047
jet,0.4743556380271911
jeweler,0.1752472519874572
jewelry,-0.0583171844482421
journalist,0.8320903778076172
kite,-0.0674915313720703
