verb,overall_acc,avg_LL_delta
bakes,1.0,-2.3548630052619046
carves,1.0,-2.1512907915833335
cleans,1.0,-2.1382967300185176
cooks,1.0,-2.215391055977778
cuts,1.0,-2.0947369473000004
drives,1.0,-1.760082176111111
embroiders,1.0,-2.5692768817857146
flies,1.0,-1.814660384791667
knits,1.0,-2.488010744085715
packs,1.0,-2.518706291
paints,1.0,-2.3222497495416667
performs,1.0,-1.8811021876923077
photographs,1.0,-2.185772999111111
plays,1.0,-2.1610052566923077
reads,1.0,-2.0834987419117645
sculpts,1.0,-2.231273623233333
sells,1.0,-1.8558095465277782
sews,1.0,-2.5611247411500004
shaves,1.0,-2.062585948533333
stitches,1.0,-2.5623408448749996
turns,1.0,-1.8838365529772725
washes,1.0,-2.309566241846154
writes,1.0,-1.8273861576470587
