id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-2.7221656,-0.078538604,patient,patient,-2.643626996,patient
1,sells,book,easily,This book sells easily.,-2.9025962,-0.064748436,patient,patient,-2.837847764,patient
2,sells,novel,easily,This novel sells easily.,-3.4255803,-0.039841786,patient,patient,-3.385738514,patient
3,sells,magazine,easily,This magazine sells easily.,-3.0461526,-0.061347682,patient,patient,-2.984804918,patient
4,sells,hat,easily,This hat sells easily.,-2.259379,-0.12425277,patient,patient,-2.13512623,agent
5,sells,lotion,easily,This lotion sells easily.,-2.9836848,-0.0664411,patient,patient,-2.9172436999999998,patient
6,sells,album,easily,This album sells easily.,-3.1806388,-0.052842595,patient,patient,-3.127796205,patient
7,sells,car,easily,This car sells easily.,-3.374379,-0.046770178,patient,patient,-3.3276088219999997,patient
8,sells,suv,easily,This SUV sells easily.,-3.0492907,-0.0588276,patient,patient,-2.9904631,patient
9,sells,product,easily,This product sells easily.,-2.9045043,-0.0653878,patient,patient,-2.8391165000000003,patient
10,sells,make,easily,This make sells easily.,-2.619136,-0.08798305,patient,patient,-2.53115295,patient
11,sells,item,easily,This item sells easily.,-2.1407833,-0.14100088,patient,patient,-1.9997824199999998,agent
12,sells,cd,easily,This CD sells easily.,-3.28774,-0.049384646,patient,patient,-3.238355354,patient
13,sells,drug,easily,This drug sells easily.,-2.730807,-0.07823092,patient,patient,-2.65257608,patient
14,sells,snack,easily,This snack sells easily.,-3.5676556,-0.041431118,patient,patient,-3.526224482,patient
15,sells,salesman,easily,This salesman sells easily.,-2.2121768,-0.12652174,agent,patient,-2.08565506,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-2.1449697,-0.14299752,agent,patient,-2.00197218,agent
17,sells,businessman,easily,This businessman sells easily.,-2.307857,-0.11701549,agent,patient,-2.19084151,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-2.2896721,-0.12785462,agent,patient,-2.1618174800000003,agent
19,sells,trader,easily,This trader sells easily.,-3.1563182,-0.055718657,agent,patient,-3.100599543,patient
20,sells,peddler,easily,This peddler sells easily.,-3.8908198,-0.032741956,agent,patient,-3.858077844,patient
21,sells,telemarketer,easily,This telemarketer sells easily.,-1.7931676,-0.20166826,agent,patient,-1.5914993400000002,agent
22,sells,dealer,easily,This dealer sells easily.,-2.9721208,-0.06494394,agent,patient,-2.90717686,patient
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-3.3396468,-0.052789494,agent,patient,-3.286857306,patient
24,sells,toy,well,This toy sells well.,-2.3594668,-0.11221733,patient,patient,-2.24724947,agent
25,sells,book,well,This book sells well.,-2.3409212,-0.11525522,patient,patient,-2.22566598,agent
26,sells,novel,well,This novel sells well.,-2.960428,-0.0638179,patient,patient,-2.8966100999999997,patient
27,sells,magazine,well,This magazine sells well.,-2.4824126,-0.10884069,patient,patient,-2.37357191,agent
28,sells,hat,well,This hat sells well.,-1.608204,-0.24417517,patient,patient,-1.36402883,agent
29,sells,lotion,well,This lotion sells well.,-2.664603,-0.08953461,patient,patient,-2.57506839,patient
30,sells,album,well,This album sells well.,-2.6513894,-0.07962966,patient,patient,-2.5717597399999996,patient
31,sells,car,well,This car sells well.,-2.7000651,-0.082019344,patient,patient,-2.6180457560000003,patient
32,sells,suv,well,This SUV sells well.,-2.6383896,-0.08641829,patient,patient,-2.55197131,patient
33,sells,product,well,This product sells well.,-2.6059678,-0.08647854,patient,patient,-2.5194892600000003,patient
34,sells,make,well,This make sells well.,-2.2014863,-0.13172117,patient,patient,-2.06976513,agent
35,sells,item,well,This item sells well.,-1.8672023,-0.18817474,patient,patient,-1.67902756,agent
36,sells,cd,well,This CD sells well.,-2.7925003,-0.07708473,patient,patient,-2.71541557,patient
37,sells,drug,well,This drug sells well.,-2.5939686,-0.08909729,patient,patient,-2.5048713100000004,patient
38,sells,snack,well,This snack sells well.,-3.4992435,-0.044655208,patient,patient,-3.454588292,patient
39,sells,salesman,well,This salesman sells well.,-1.6135288,-0.23694576,agent,patient,-1.37658304,agent
40,sells,saleswoman,well,This saleswoman sells well.,-1.3664241,-0.322597,agent,patient,-1.0438271,agent
41,sells,businessman,well,This businessman sells well.,-1.8544801,-0.18416168,agent,patient,-1.67031842,agent
42,sells,businesswoman,well,This businesswoman sells well.,-1.6083399,-0.24918425,agent,patient,-1.35915565,agent
43,sells,trader,well,This trader sells well.,-2.7658339,-0.07843681,agent,patient,-2.68739709,patient
44,sells,peddler,well,This peddler sells well.,-3.155555,-0.059409298,agent,patient,-3.0961457020000003,patient
45,sells,telemarketer,well,This telemarketer sells well.,-1.0870405,-0.4574307,agent,patient,-0.6296098000000001,agent
46,sells,dealer,well,This dealer sells well.,-2.4880152,-0.10207974,agent,patient,-2.38593546,agent
47,sells,shopkeeper,well,This shopkeeper sells well.,-2.6231337,-0.10101739,agent,patient,-2.52211631,patient
48,sells,toy,quickly,This toy sells quickly.,-2.6835556,-0.08261864,patient,patient,-2.60093696,patient
49,sells,book,quickly,This book sells quickly.,-3.2263002,-0.051308718,patient,patient,-3.174991482,patient
50,sells,novel,quickly,This novel sells quickly.,-3.6523402,-0.035601273,patient,patient,-3.6167389269999997,patient
51,sells,magazine,quickly,This magazine sells quickly.,-3.155982,-0.059241693,patient,patient,-3.0967403069999997,patient
52,sells,hat,quickly,This hat sells quickly.,-2.206104,-0.13256072,patient,patient,-2.07354328,agent
53,sells,lotion,quickly,This lotion sells quickly.,-3.104037,-0.059143607,patient,patient,-3.0448933929999997,patient
54,sells,album,quickly,This album sells quickly.,-3.2555187,-0.049963765,patient,patient,-3.205554935,patient
55,sells,car,quickly,This car sells quickly.,-3.3782582,-0.04486633,patient,patient,-3.33339187,patient
56,sells,suv,quickly,This SUV sells quickly.,-3.0546172,-0.059398737,patient,patient,-2.995218463,patient
57,sells,product,quickly,This product sells quickly.,-3.3646529,-0.042877786,patient,patient,-3.321775114,patient
58,sells,make,quickly,This make sells quickly.,-2.6458828,-0.09035702,patient,patient,-2.55552578,patient
59,sells,item,quickly,This item sells quickly.,-2.4555242,-0.104427405,patient,patient,-2.351096795,agent
60,sells,cd,quickly,This CD sells quickly.,-3.522059,-0.040397935,patient,patient,-3.481661065,patient
61,sells,drug,quickly,This drug sells quickly.,-2.9171267,-0.06585835,patient,patient,-2.85126835,patient
62,sells,snack,quickly,This snack sells quickly.,-3.7205615,-0.037002288,patient,patient,-3.683559212,patient
63,sells,salesman,quickly,This salesman sells quickly.,-1.9152374,-0.17212279,agent,patient,-1.7431146100000001,agent
64,sells,saleswoman,quickly,This saleswoman sells quickly.,-1.8817357,-0.18670185,agent,patient,-1.69503385,agent
65,sells,businessman,quickly,This businessman sells quickly.,-2.241123,-0.12524603,agent,patient,-2.11587697,agent
66,sells,businesswoman,quickly,This businesswoman sells quickly.,-2.2419405,-0.13439678,agent,patient,-2.1075437200000002,agent
67,sells,trader,quickly,This trader sells quickly.,-3.1197894,-0.057077486,agent,patient,-3.0627119140000003,patient
