id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-2.219278,-0.17282735,patient,patient,-2.04645065,patient
1,sells,book,easily,This book sells easily.,-1.8844569,-0.22068785,patient,patient,-1.66376905,patient
2,sells,novel,easily,This novel sells easily.,-1.9469769,-0.19043696,patient,patient,-1.75653994,patient
3,sells,magazine,easily,This magazine sells easily.,-2.049134,-0.18022597,patient,patient,-1.86890803,patient
4,sells,hat,easily,This hat sells easily.,-2.322698,-0.14280052,patient,patient,-2.17989748,patient
5,sells,lotion,easily,This lotion sells easily.,-2.1511123,-0.16059564,patient,patient,-1.99051666,patient
6,sells,album,easily,This album sells easily.,-1.9811211,-0.18463954,patient,patient,-1.79648156,patient
7,sells,car,easily,This car sells easily.,-1.4108264,-0.32789946,patient,patient,-1.08292694,patient
8,sells,suv,easily,This SUV sells easily.,-1.5626953,-0.3210647,patient,patient,-1.2416306,patient
9,sells,product,easily,This product sells easily.,-1.7022605,-0.30312574,patient,patient,-1.39913476,patient
10,sells,make,easily,This make sells easily.,-0.885146,-0.61825836,patient,patient,-0.26688764,agent
11,sells,item,easily,This item sells easily.,-2.2893822,-0.1597516,patient,patient,-2.1296306,patient
12,sells,cd,easily,This CD sells easily.,-2.3520877,-0.16688402,patient,patient,-2.18520368,patient
13,sells,drug,easily,This drug sells easily.,-1.6351962,-0.25308943,patient,patient,-1.38210677,patient
14,sells,snack,easily,This snack sells easily.,-2.0719085,-0.18891035,patient,patient,-1.8829981500000001,patient
15,sells,salesman,easily,This salesman sells easily.,-0.7138321,-0.7992622,agent,agent,0.08543010000000006,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.62806976,-0.77398074,agent,agent,0.1459109799999999,agent
17,sells,businessman,easily,This businessman sells easily.,-1.0201675,-0.5415938,agent,patient,-0.4785736999999999,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.6683289,-0.8527201,agent,agent,0.18439119999999998,agent
19,sells,trader,easily,This trader sells easily.,-0.7471184,-0.6759295,agent,patient,-0.0711889,agent
20,sells,peddler,easily,This peddler sells easily.,-0.9530567,-0.54201925,agent,patient,-0.41103745,agent
21,sells,telemarketer,easily,This telemarketer sells easily.,-1.3355199,-0.35182747,agent,patient,-0.9836924300000001,agent
22,sells,dealer,easily,This dealer sells easily.,-0.843869,-0.678982,agent,patient,-0.164887,agent
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-0.7370645,-0.7514957,agent,agent,0.014431199999999977,agent
24,sells,toy,well,This toy sells well.,-2.2764819,-0.15114312,patient,patient,-2.12533878,patient
25,sells,book,well,This book sells well.,-2.142141,-0.19331999,patient,patient,-1.94882101,patient
26,sells,novel,well,This novel sells well.,-2.1745212,-0.16471766,patient,patient,-2.00980354,patient
27,sells,magazine,well,This magazine sells well.,-2.2000732,-0.17092232,patient,patient,-2.02915088,patient
28,sells,hat,well,This hat sells well.,-2.5074089,-0.12813155,patient,patient,-2.37927735,patient
29,sells,lotion,well,This lotion sells well.,-2.4741197,-0.122206755,patient,patient,-2.351912945,patient
30,sells,album,well,This album sells well.,-2.2953997,-0.1506815,patient,patient,-2.1447182,patient
31,sells,car,well,This car sells well.,-1.8257178,-0.2991139,patient,patient,-1.5266039,patient
32,sells,suv,well,This SUV sells well.,-1.7349526,-0.272175,patient,patient,-1.4627776,patient
33,sells,product,well,This product sells well.,-1.9660271,-0.23558527,patient,patient,-1.73044183,patient
34,sells,make,well,This make sells well.,-1.1756126,-0.44337767,patient,patient,-0.73223493,agent
35,sells,item,well,This item sells well.,-2.3716578,-0.15201567,patient,patient,-2.21964213,patient
36,sells,cd,well,This CD sells well.,-2.4493737,-0.123162396,patient,patient,-2.326211304,patient
37,sells,drug,well,This drug sells well.,-2.003288,-0.19925922,patient,patient,-1.8040287799999999,patient
38,sells,snack,well,This snack sells well.,-2.2673917,-0.15696706,patient,patient,-2.11042464,patient
39,sells,salesman,well,This salesman sells well.,-0.84962225,-0.6696797,agent,patient,-0.17994255000000003,agent
40,sells,saleswoman,well,This saleswoman sells well.,-0.5081379,-0.8372899,agent,agent,0.329152,agent
41,sells,businessman,well,This businessman sells well.,-1.0748329,-0.4852258,agent,patient,-0.5896071,agent
42,sells,businesswoman,well,This businesswoman sells well.,-0.5697325,-0.9185408,agent,agent,0.34880830000000007,agent
43,sells,trader,well,This trader sells well.,-0.77414334,-0.6754062,agent,patient,-0.09873714,agent
44,sells,peddler,well,This peddler sells well.,-0.9759643,-0.5972292,agent,patient,-0.3787351,agent
45,sells,telemarketer,well,This telemarketer sells well.,-1.8459464,-0.25661382,agent,patient,-1.5893325800000002,patient
46,sells,dealer,well,This dealer sells well.,-0.83337325,-0.66325295,agent,patient,-0.1701203,agent
47,sells,shopkeeper,well,This shopkeeper sells well.,-0.6554808,-0.8967952,agent,agent,0.24131440000000004,agent
48,sells,toy,quickly,This toy sells quickly.,-2.4729726,-0.13130166,patient,patient,-2.3416709399999998,patient
49,sells,book,quickly,This book sells quickly.,-2.0558107,-0.18135235,patient,patient,-1.8744583499999998,patient
50,sells,novel,quickly,This novel sells quickly.,-2.3310196,-0.1551483,patient,patient,-2.1758713,patient
51,sells,magazine,quickly,This magazine sells quickly.,-2.113131,-0.16367269,patient,patient,-1.94945831,patient
52,sells,hat,quickly,This hat sells quickly.,-2.4613347,-0.12868424,patient,patient,-2.33265046,patient
53,sells,lotion,quickly,This lotion sells quickly.,-2.53633,-0.1254588,patient,patient,-2.4108712,patient
54,sells,album,quickly,This album sells quickly.,-2.2847087,-0.14698014,patient,patient,-2.1377285599999998,patient
55,sells,car,quickly,This car sells quickly.,-1.5250778,-0.3229725,patient,patient,-1.2021053,patient
56,sells,suv,quickly,This SUV sells quickly.,-1.5686092,-0.30325037,patient,patient,-1.26535883,patient
57,sells,product,quickly,This product sells quickly.,-2.0118213,-0.20350902,patient,patient,-1.8083122799999998,patient
58,sells,make,quickly,This make sells quickly.,-1.4778795,-0.3173074,patient,patient,-1.1605721,patient
59,sells,item,quickly,This item sells quickly.,-2.5382786,-0.13307288,patient,patient,-2.40520572,patient
60,sells,cd,quickly,This CD sells quickly.,-2.533376,-0.11689603,patient,patient,-2.41647997,patient
61,sells,drug,quickly,This drug sells quickly.,-1.9558299,-0.18254024,patient,patient,-1.7732896599999999,patient
62,sells,snack,quickly,This snack sells quickly.,-2.3546333,-0.13374011,patient,patient,-2.22089319,patient
63,sells,salesman,quickly,This salesman sells quickly.,-1.1625046,-0.48220217,agent,patient,-0.6803024300000001,agent
64,sells,saleswoman,quickly,This saleswoman sells quickly.,-0.8995482,-0.5842559,agent,patient,-0.31529229999999997,agent
65,sells,businessman,quickly,This businessman sells quickly.,-1.2350448,-0.3938545,agent,patient,-0.8411903000000001,agent
66,sells,businesswoman,quickly,This businesswoman sells quickly.,-0.63985205,-0.93330795,agent,agent,0.2934559,agent
67,sells,trader,quickly,This trader sells quickly.,-1.173743,-0.42133448,agent,patient,-0.7524085199999999,agent
68,sells,peddler,quickly,This peddler sells quickly.,-1.4294325,-0.30513993,agent,patient,-1.1242925700000002,patient
69,sells,telemarketer,quickly,This telemarketer sells quickly.,-1.7922636,-0.22650586,agent,patient,-1.56575774,patient
70,sells,dealer,quickly,This dealer sells quickly.,-1.0919725,-0.4917559,agent,patient,-0.6002166,agent
71,sells,shopkeeper,quickly,This shopkeeper sells quickly.,-0.87419075,-0.6526576,agent,patient,-0.22153315000000007,agent
72,drives,car,nicely,This car drives nicely.,-1.6756104,-0.25979733,patient,patient,-1.41581307,patient
73,drives,suv,nicely,This SUV drives nicely.,-1.8837068,-0.30414352,patient,patient,-1.57956328,patient
74,drives,truck,nicely,This truck drives nicely.,-1.7175441,-0.26099634,patient,patient,-1.45654776,patient
75,drives,convertible,nicely,This convertible drives nicely.,-1.7942624,-0.27427763,patient,patient,-1.51998477,patient
76,drives,vehicle,nicely,This vehicle drives nicely.,-1.5340698,-0.37600556,patient,patient,-1.1580642399999999,patient
77,drives,tank,nicely,This tank drives nicely.,-1.7623259,-0.2780173,patient,patient,-1.4843085999999999,patient
78,drives,bus,nicely,This bus drives nicely.,-2.1548033,-0.15216681,patient,patient,-2.00263649,patient
79,drives,tractor,nicely,This tractor drives nicely.,-1.3141127,-0.43583202,patient,patient,-0.8782806799999999,agent
80,drives,van,nicely,This van drives nicely.,-2.0548065,-0.19078785,patient,patient,-1.8640186500000002,patient
81,drives,driver,nicely,This driver drives nicely.,-1.0265701,-0.47494107,agent,patient,-0.55162903,agent
82,drives,person,nicely,This person drives nicely.,-1.4489731,-0.34035614,agent,patient,-1.10861696,patient
83,drives,chauffeur,nicely,This chauffeur drives nicely.,-1.1496532,-0.44962558,agent,patient,-0.70002762,agent
84,drives,car,smoothly,This car drives smoothly.,-1.4373552,-0.35256702,patient,patient,-1.08478818,patient
85,drives,suv,smoothly,This SUV drives smoothly.,-1.7431709,-0.30721194,patient,patient,-1.43595896,patient
86,drives,truck,smoothly,This truck drives smoothly.,-1.5367653,-0.32113966,patient,patient,-1.2156256399999998,patient
87,drives,convertible,smoothly,This convertible drives smoothly.,-1.8006624,-0.24983408,patient,patient,-1.55082832,patient
88,drives,vehicle,smoothly,This vehicle drives smoothly.,-1.2767037,-0.49336764,patient,patient,-0.7833360600000001,agent
89,drives,tank,smoothly,This tank drives smoothly.,-1.321023,-0.3657856,patient,patient,-0.9552374000000001,agent
90,drives,bus,smoothly,This bus drives smoothly.,-1.8730545,-0.22872178,patient,patient,-1.64433272,patient
91,drives,tractor,smoothly,This tractor drives smoothly.,-1.052267,-0.53874075,patient,patient,-0.5135262500000001,agent
92,drives,van,smoothly,This van drives smoothly.,-1.650071,-0.27237144,patient,patient,-1.37769956,patient
93,drives,driver,smoothly,This driver drives smoothly.,-0.67508054,-0.87386256,agent,agent,0.19878202,agent
94,drives,person,smoothly,This person drives smoothly.,-1.3240325,-0.384446,agent,patient,-0.9395864999999999,agent
95,drives,chauffeur,smoothly,This chauffeur drives smoothly.,-0.9412566,-0.5990701,agent,patient,-0.34218649999999995,agent
96,drives,car,well,This car drives well.,-1.5781052,-0.30040574,patient,patient,-1.27769946,patient
97,drives,suv,well,This SUV drives well.,-1.7407686,-0.32330894,patient,patient,-1.41745966,patient
98,drives,truck,well,This truck drives well.,-1.6098626,-0.29376286,patient,patient,-1.31609974,patient
99,drives,convertible,well,This convertible drives well.,-1.7545508,-0.24568258,patient,patient,-1.50886822,patient
100,drives,vehicle,well,This vehicle drives well.,-1.454848,-0.39552182,patient,patient,-1.0593261799999998,patient
101,drives,tank,well,This tank drives well.,-1.5772971,-0.29341543,patient,patient,-1.28388167,patient
102,drives,bus,well,This bus drives well.,-2.0996287,-0.19139884,patient,patient,-1.9082298599999998,patient
103,drives,tractor,well,This tractor drives well.,-1.0166459,-0.44312474,patient,patient,-0.5735211600000001,agent
104,drives,van,well,This van drives well.,-1.8560673,-0.22541413,patient,patient,-1.63065317,patient
105,drives,driver,well,This driver drives well.,-0.81952465,-0.6335059,agent,patient,-0.18601875,agent
106,drives,person,well,This person drives well.,-1.295763,-0.3892154,agent,patient,-0.9065476,agent
107,drives,chauffeur,well,This chauffeur drives well.,-1.077377,-0.46973762,agent,patient,-0.60763938,agent
108,flies,plane,nicely,This plane flies nicely.,-1.9247894,-0.20040733,patient,patient,-1.72438207,patient
109,flies,kite,nicely,This kite flies nicely.,-1.8535405,-0.19351375,patient,patient,-1.66002675,patient
110,flies,jet,nicely,This jet flies nicely.,-2.0138612,-0.21072434,patient,patient,-1.80313686,patient
111,flies,aircraft,nicely,This aircraft flies nicely.,-1.4674522,-0.35161316,patient,patient,-1.11583904,patient
112,flies,pilot,nicely,This pilot flies nicely.,-1.0798812,-0.4694959,agent,patient,-0.6103852999999999,agent
113,flies,person,nicely,This person flies nicely.,-1.9449619,-0.20439918,agent,patient,-1.74056272,patient
114,flies,aviator,nicely,This aviator flies nicely.,-1.0510834,-0.4832543,agent,patient,-0.5678291,agent
115,flies,captain,nicely,This captain flies nicely.,-1.0777608,-0.4709913,agent,patient,-0.6067695000000001,agent
116,flies,plane,smoothly,This plane flies smoothly.,-1.5956503,-0.272133,patient,patient,-1.3235173,patient
117,flies,kite,smoothly,This kite flies smoothly.,-1.7455052,-0.27376702,patient,patient,-1.47173818,patient
118,flies,jet,smoothly,This jet flies smoothly.,-1.6536037,-0.24247338,patient,patient,-1.4111303199999998,patient
119,flies,aircraft,smoothly,This aircraft flies smoothly.,-1.3384578,-0.38629028,patient,patient,-0.95216752,agent
120,flies,pilot,smoothly,This pilot flies smoothly.,-0.7569981,-0.6999656,agent,patient,-0.05703250000000004,agent
121,flies,person,smoothly,This person flies smoothly.,-1.727182,-0.2595999,agent,patient,-1.4675821,patient
122,flies,aviator,smoothly,This aviator flies smoothly.,-0.72791934,-0.7449582,agent,agent,0.01703885999999999,agent
123,flies,captain,smoothly,This captain flies smoothly.,-0.7381356,-0.739464,agent,agent,0.0013284000000000074,agent
124,flies,plane,well,This plane flies well.,-1.778881,-0.2250954,patient,patient,-1.5537855999999999,patient
125,flies,kite,well,This kite flies well.,-1.8881279,-0.21357177,patient,patient,-1.67455613,patient
126,flies,jet,well,This jet flies well.,-1.6746528,-0.23860744,patient,patient,-1.43604536,patient
127,flies,aircraft,well,This aircraft flies well.,-1.5126894,-0.32500148,patient,patient,-1.18768792,patient
128,flies,pilot,well,This pilot flies well.,-0.8194977,-0.68597883,agent,patient,-0.13351886999999996,agent
129,flies,person,well,This person flies well.,-1.7286575,-0.25550166,agent,patient,-1.47315584,patient
130,flies,aviator,well,This aviator flies well.,-0.84194034,-0.673459,agent,patient,-0.16848133999999992,agent
131,flies,captain,well,This captain flies well.,-0.8806951,-0.6033589,agent,patient,-0.2773361999999999,agent
132,cooks,mushroom,nicely,This mushroom cooks nicely.,-3.0593596,-0.07933002,patient,patient,-2.98002958,patient
133,cooks,pepper,nicely,This pepper cooks nicely.,-2.2406774,-0.12427429,patient,patient,-2.1164031100000003,patient
134,cooks,fish,nicely,This fish cooks nicely.,-2.6959534,-0.094833635,patient,patient,-2.601119765,patient
135,cooks,salmon,nicely,This salmon cooks nicely.,-2.277601,-0.13209549,patient,patient,-2.14550551,patient
136,cooks,tuna,nicely,This tuna cooks nicely.,-2.5720384,-0.09772305,patient,patient,-2.47431535,patient
137,cooks,fillet,nicely,This fillet cooks nicely.,-2.851171,-0.09038488,patient,patient,-2.7607861199999997,patient
138,cooks,vegetable,nicely,This vegetable cooks nicely.,-2.6750715,-0.108170964,patient,patient,-2.566900536,patient
139,cooks,herb,nicely,This herb cooks nicely.,-2.4958239,-0.11325719,patient,patient,-2.38256671,patient
140,cooks,meat,nicely,This meat cooks nicely.,-2.7857156,-0.09912189,patient,patient,-2.68659371,patient
141,cooks,ingredient,nicely,This ingredient cooks nicely.,-2.0642657,-0.20215005,patient,patient,-1.86211565,patient
142,cooks,steak,nicely,This steak cooks nicely.,-2.686375,-0.09550217,patient,patient,-2.59087283,patient
143,cooks,chef,nicely,This chef cooks nicely.,-0.6092712,-0.83613783,agent,agent,0.22686662999999996,agent
144,cooks,cook,nicely,This cook cooks nicely.,-0.61356884,-0.9129448,agent,agent,0.29937596,agent
145,cooks,baker,nicely,This baker cooks nicely.,-0.6519741,-0.7362872,agent,agent,0.08431310000000003,agent
146,cooks,caterer,nicely,This caterer cooks nicely.,-1.1959753,-0.3935869,agent,patient,-0.8023883999999999,agent
147,cooks,mushroom,well,This mushroom cooks well.,-2.8119707,-0.079060085,patient,patient,-2.7329106149999998,patient
148,cooks,pepper,well,This pepper cooks well.,-2.3626122,-0.1257348,patient,patient,-2.2368774,patient
149,cooks,fish,well,This fish cooks well.,-2.5640304,-0.12841684,patient,patient,-2.43561356,patient
150,cooks,salmon,well,This salmon cooks well.,-2.079261,-0.15749794,patient,patient,-1.9217630599999997,patient
151,cooks,tuna,well,This tuna cooks well.,-2.2129328,-0.14437124,patient,patient,-2.06856156,patient
152,cooks,fillet,well,This fillet cooks well.,-2.5779083,-0.10508624,patient,patient,-2.47282206,patient
