verb,overall_acc,avg_LL_delta
bakes,1.0,-3.277519289214286
carves,1.0,-3.3903103410354163
cleans,1.0,-2.2646881541851855
cooks,1.0,-2.7058106462666665
cuts,1.0,-3.34720135995
drives,0.9722222222222222,-1.0702982694444443
embroiders,1.0,-2.7028755162500007
flies,1.0,-1.8390081513749996
knits,1.0,-3.841822477885714
packs,1.0,-2.893831588275
paints,1.0,-3.4017358498958328
performs,1.0,-1.8674258203076923
photographs,1.0,-2.951666608333333
plays,1.0,-2.959272148538462
reads,1.0,-2.4544107532941184
sculpts,1.0,-3.40447287075
sells,0.9444444444444444,-2.021040928597222
sews,1.0,-3.096812738575001
shaves,1.0,-4.4071357222
stitches,1.0,-3.896571507304168
turns,1.0,-1.9871772661590905
washes,1.0,-1.9169045653461536
writes,1.0,-3.4662599104705873
