verb,overall_acc,avg_LL_delta
bakes,1.0,-1.6400067925952375
carves,0.8958333333333334,-0.46485762708333334
cleans,1.0,-0.5966701848148146
cooks,0.8222222222222222,-0.9378538077555555
cuts,0.675,-0.4043568572499999
drives,0.9722222222222222,-0.7728931027777778
embroiders,0.6428571428571429,-0.686985964
flies,0.5,-0.03786320166666666
knits,0.9428571428571428,-0.8859916726285714
packs,0.825,-0.4428555245
paints,0.7291666666666666,-0.5301508967708334
performs,0.6153846153846154,-0.2378539423076923
photographs,0.2222222222222222,0.21018896777777776
plays,0.8846153846153846,-0.26947288884615384
reads,0.11764705882352941,0.47404888617647056
sculpts,0.8333333333333334,-0.316931999
sells,0.3472222222222222,0.21641011416666672
sews,0.9,-1.0969970165
shaves,1.0,-1.308837747333333
stitches,0.9375,-1.2234568784166664
turns,0.9318181818181818,-0.6824080452272727
washes,1.0,-0.8877292653846154
writes,0.11764705882352941,0.4490494267647059
