verb,overall_acc,avg_LL_delta
bakes,0.0,-1.3551324045000002
carves,0.1875,-0.28211181687500003
cleans,0.3148148148148148,-0.22639687222222216
cooks,0.17777777777777778,-0.9010536884444443
cuts,0.4,-0.2322623414999998
drives,0.027777777777777776,-0.8296013183333332
embroiders,0.42857142857142855,-0.3860004757142857
flies,0.5,-0.10735111041666669
knits,0.4857142857142857,-0.5246935499142859
packs,0.125,-0.40097391274999994
paints,0.5208333333333334,-0.192398455625
performs,0.5384615384615384,0.056743823076923064
photographs,0.7222222222222222,0.31559062222222223
plays,0.46153846153846156,0.005701219615384622
reads,0.7058823529411765,0.5120808285294117
sculpts,0.3333333333333333,-0.12885062966666666
sells,0.7083333333333334,0.4201750087500001
sews,0.3,-0.7530001611
shaves,0.0,-0.7683521800000003
stitches,0.20833333333333334,-0.903954003833333
turns,0.09090909090909091,-0.6867833297727273
washes,0.07692307692307693,-0.5293056426923075
writes,0.8235294117647058,0.4394263973529412
